"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.133333333333333,1,"Beef"
"Moments 1,2",2,0.2,1,"Beef"
"Moments 1,2,3",3,0.333333333333333,1,"Beef"
"Moments 1,2,3,4",4,0.333333333333333,1,"Beef"
"catch22",23,0.2,1,"Beef"
"Moment 1",1,0.2,2,"Beef"
"Moments 1,2",2,0.1,2,"Beef"
"Moments 1,2,3",3,0.1,2,"Beef"
"Moments 1,2,3,4",4,0.166666666666667,2,"Beef"
"catch22",23,0.233333333333333,2,"Beef"
"Moment 1",1,0.166666666666667,3,"Beef"
"Moments 1,2",2,0.266666666666667,3,"Beef"
"Moments 1,2,3",3,0.266666666666667,3,"Beef"
"Moments 1,2,3,4",4,0.3,3,"Beef"
"catch22",23,0.2,3,"Beef"
"Moment 1",1,0.166666666666667,4,"Beef"
"Moments 1,2",2,0.166666666666667,4,"Beef"
"Moments 1,2,3",3,0.166666666666667,4,"Beef"
"Moments 1,2,3,4",4,0.233333333333333,4,"Beef"
"catch22",23,0.266666666666667,4,"Beef"
"Moment 1",1,0.2,5,"Beef"
"Moments 1,2",2,0.2,5,"Beef"
"Moments 1,2,3",3,0.133333333333333,5,"Beef"
"Moments 1,2,3,4",4,0.133333333333333,5,"Beef"
"catch22",23,0.233333333333333,5,"Beef"
"Moment 1",1,0.333333333333333,6,"Beef"
"Moments 1,2",2,0.333333333333333,6,"Beef"
"Moments 1,2,3",3,0.2,6,"Beef"
"Moments 1,2,3,4",4,0.333333333333333,6,"Beef"
"catch22",23,0.366666666666667,6,"Beef"
"Moment 1",1,0.0666666666666667,7,"Beef"
"Moments 1,2",2,0.1,7,"Beef"
"Moments 1,2,3",3,0.166666666666667,7,"Beef"
"Moments 1,2,3,4",4,0.166666666666667,7,"Beef"
"catch22",23,0.166666666666667,7,"Beef"
"Moment 1",1,0.166666666666667,8,"Beef"
"Moments 1,2",2,0.133333333333333,8,"Beef"
"Moments 1,2,3",3,0.2,8,"Beef"
"Moments 1,2,3,4",4,0.133333333333333,8,"Beef"
"catch22",23,0.166666666666667,8,"Beef"
"Moment 1",1,0.2,9,"Beef"
"Moments 1,2",2,0.2,9,"Beef"
"Moments 1,2,3",3,0.133333333333333,9,"Beef"
"Moments 1,2,3,4",4,0.166666666666667,9,"Beef"
"catch22",23,0.1,9,"Beef"
"Moment 1",1,0.233333333333333,10,"Beef"
"Moments 1,2",2,0.1,10,"Beef"
"Moments 1,2,3",3,0.1,10,"Beef"
"Moments 1,2,3,4",4,0.0333333333333333,10,"Beef"
"catch22",23,0.0666666666666667,10,"Beef"
"Moment 1",1,0.266666666666667,11,"Beef"
"Moments 1,2",2,0.1,11,"Beef"
"Moments 1,2,3",3,0.2,11,"Beef"
"Moments 1,2,3,4",4,0.166666666666667,11,"Beef"
"catch22",23,0.233333333333333,11,"Beef"
"Moment 1",1,0.1,12,"Beef"
"Moments 1,2",2,0.0666666666666667,12,"Beef"
"Moments 1,2,3",3,0.1,12,"Beef"
"Moments 1,2,3,4",4,0.166666666666667,12,"Beef"
"catch22",23,0.2,12,"Beef"
"Moment 1",1,0.266666666666667,13,"Beef"
"Moments 1,2",2,0.2,13,"Beef"
"Moments 1,2,3",3,0.266666666666667,13,"Beef"
"Moments 1,2,3,4",4,0.3,13,"Beef"
"catch22",23,0.166666666666667,13,"Beef"
"Moment 1",1,0.266666666666667,14,"Beef"
"Moments 1,2",2,0.333333333333333,14,"Beef"
"Moments 1,2,3",3,0.2,14,"Beef"
"Moments 1,2,3,4",4,0.233333333333333,14,"Beef"
"catch22",23,0.2,14,"Beef"
"Moment 1",1,0.166666666666667,15,"Beef"
"Moments 1,2",2,0.2,15,"Beef"
"Moments 1,2,3",3,0.266666666666667,15,"Beef"
"Moments 1,2,3,4",4,0.266666666666667,15,"Beef"
"catch22",23,0.166666666666667,15,"Beef"
"Moment 1",1,0.233333333333333,16,"Beef"
"Moments 1,2",2,0.366666666666667,16,"Beef"
"Moments 1,2,3",3,0.233333333333333,16,"Beef"
"Moments 1,2,3,4",4,0.1,16,"Beef"
"catch22",23,0.266666666666667,16,"Beef"
"Moment 1",1,0.166666666666667,17,"Beef"
"Moments 1,2",2,0.166666666666667,17,"Beef"
"Moments 1,2,3",3,0.233333333333333,17,"Beef"
"Moments 1,2,3,4",4,0.266666666666667,17,"Beef"
"catch22",23,0.3,17,"Beef"
"Moment 1",1,0.266666666666667,18,"Beef"
"Moments 1,2",2,0.2,18,"Beef"
"Moments 1,2,3",3,0.366666666666667,18,"Beef"
"Moments 1,2,3,4",4,0.233333333333333,18,"Beef"
"catch22",23,0.166666666666667,18,"Beef"
"Moment 1",1,0.133333333333333,19,"Beef"
"Moments 1,2",2,0.166666666666667,19,"Beef"
"Moments 1,2,3",3,0.233333333333333,19,"Beef"
"Moments 1,2,3,4",4,0.166666666666667,19,"Beef"
"catch22",23,0.233333333333333,19,"Beef"
"Moment 1",1,0.233333333333333,20,"Beef"
"Moments 1,2",2,0.3,20,"Beef"
"Moments 1,2,3",3,0.3,20,"Beef"
"Moments 1,2,3,4",4,0.3,20,"Beef"
"catch22",23,0.233333333333333,20,"Beef"
"Moment 1",1,0.1,21,"Beef"
