"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.422740524781341,1,"Chinatown"
"Moments 1,2",2,0.39067055393586,1,"Chinatown"
"Moments 1,2,3",3,0.355685131195335,1,"Chinatown"
"Moments 1,2,3,4",4,0.358600583090379,1,"Chinatown"
"catch22",22,0.46064139941691,1,"Chinatown"
"Moment 1",1,0.524781341107872,2,"Chinatown"
"Moments 1,2",2,0.518950437317784,2,"Chinatown"
"Moments 1,2,3",3,0.425655976676385,2,"Chinatown"
"Moments 1,2,3,4",4,0.446064139941691,2,"Chinatown"
"catch22",21,0.551020408163265,2,"Chinatown"
"Moment 1",1,0.457725947521866,3,"Chinatown"
"Moments 1,2",2,0.448979591836735,3,"Chinatown"
"Moments 1,2,3",3,0.454810495626822,3,"Chinatown"
"Moments 1,2,3,4",4,0.451895043731778,3,"Chinatown"
"catch22",21,0.545189504373178,3,"Chinatown"
"Moment 1",1,0.457725947521866,4,"Chinatown"
"Moments 1,2",2,0.448979591836735,4,"Chinatown"
"Moments 1,2,3",3,0.46064139941691,4,"Chinatown"
"Moments 1,2,3,4",4,0.583090379008746,4,"Chinatown"
"catch22",21,0.521865889212828,4,"Chinatown"
"Moment 1",1,0.370262390670554,5,"Chinatown"
"Moments 1,2",2,0.402332361516035,5,"Chinatown"
"Moments 1,2,3",3,0.43731778425656,5,"Chinatown"
"Moments 1,2,3,4",4,0.536443148688047,5,"Chinatown"
"catch22",22,0.486880466472303,5,"Chinatown"
"Moment 1",1,0.542274052478134,6,"Chinatown"
"Moments 1,2",2,0.542274052478134,6,"Chinatown"
"Moments 1,2,3",3,0.518950437317784,6,"Chinatown"
"Moments 1,2,3,4",4,0.51603498542274,6,"Chinatown"
"catch22",21,0.536443148688047,6,"Chinatown"
"Moment 1",1,0.533527696793003,7,"Chinatown"
"Moments 1,2",2,0.510204081632653,7,"Chinatown"
"Moments 1,2,3",3,0.472303206997085,7,"Chinatown"
"Moments 1,2,3,4",4,0.472303206997085,7,"Chinatown"
"catch22",22,0.434402332361516,7,"Chinatown"
"Moment 1",1,0.556851311953353,8,"Chinatown"
"Moments 1,2",2,0.545189504373178,8,"Chinatown"
"Moments 1,2,3",3,0.597667638483965,8,"Chinatown"
"Moments 1,2,3,4",4,0.542274052478134,8,"Chinatown"
"catch22",22,0.507288629737609,8,"Chinatown"
"Moment 1",1,0.48396501457726,9,"Chinatown"
"Moments 1,2",2,0.463556851311953,9,"Chinatown"
"Moments 1,2,3",3,0.545189504373178,9,"Chinatown"
"Moments 1,2,3,4",4,0.545189504373178,9,"Chinatown"
"catch22",21,0.466472303206997,9,"Chinatown"
"Moment 1",1,0.501457725947522,10,"Chinatown"
"Moments 1,2",2,0.501457725947522,10,"Chinatown"
"Moments 1,2,3",3,0.548104956268222,10,"Chinatown"
"Moments 1,2,3,4",4,0.574344023323615,10,"Chinatown"
"catch22",21,0.451895043731778,10,"Chinatown"
"Moment 1",1,0.548104956268222,11,"Chinatown"
"Moments 1,2",2,0.568513119533528,11,"Chinatown"
"Moments 1,2,3",3,0.411078717201166,11,"Chinatown"
"Moments 1,2,3,4",4,0.405247813411079,11,"Chinatown"
"catch22",21,0.43731778425656,11,"Chinatown"
"Moment 1",1,0.469387755102041,12,"Chinatown"
"Moments 1,2",2,0.475218658892128,12,"Chinatown"
"Moments 1,2,3",3,0.448979591836735,12,"Chinatown"
"Moments 1,2,3,4",4,0.448979591836735,12,"Chinatown"
"catch22",21,0.469387755102041,12,"Chinatown"
"Moment 1",1,0.440233236151603,13,"Chinatown"
"Moments 1,2",2,0.43731778425656,13,"Chinatown"
"Moments 1,2,3",3,0.434402332361516,13,"Chinatown"
"Moments 1,2,3,4",4,0.434402332361516,13,"Chinatown"
"catch22",22,0.518950437317784,13,"Chinatown"
"Moment 1",1,0.513119533527697,14,"Chinatown"
"Moments 1,2",2,0.507288629737609,14,"Chinatown"
"Moments 1,2,3",3,0.501457725947522,14,"Chinatown"
"Moments 1,2,3,4",4,0.510204081632653,14,"Chinatown"
"catch22",22,0.533527696793003,14,"Chinatown"
"Moment 1",1,0.451895043731778,15,"Chinatown"
