"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.277227722772277,1,"Colposcopy"
"Moments 1,2",2,0.277227722772277,1,"Colposcopy"
"Moments 1,2,3",3,0.237623762376238,1,"Colposcopy"
"Moments 1,2,3,4",4,0.277227722772277,1,"Colposcopy"
"catch22",24,0.257425742574257,1,"Colposcopy"
"Moment 1",1,0.267326732673267,2,"Colposcopy"
"Moments 1,2",2,0.287128712871287,2,"Colposcopy"
"Moments 1,2,3",3,0.267326732673267,2,"Colposcopy"
"Moments 1,2,3,4",4,0.316831683168317,2,"Colposcopy"
"catch22",24,0.217821782178218,2,"Colposcopy"
"Moment 1",1,0.277227722772277,3,"Colposcopy"
"Moments 1,2",2,0.247524752475248,3,"Colposcopy"
"Moments 1,2,3",3,0.247524752475248,3,"Colposcopy"
"Moments 1,2,3,4",4,0.267326732673267,3,"Colposcopy"
"catch22",24,0.158415841584158,3,"Colposcopy"
"Moment 1",1,0.277227722772277,4,"Colposcopy"
"Moments 1,2",2,0.257425742574257,4,"Colposcopy"
"Moments 1,2,3",3,0.257425742574257,4,"Colposcopy"
"Moments 1,2,3,4",4,0.217821782178218,4,"Colposcopy"
"catch22",24,0.207920792079208,4,"Colposcopy"
"Moment 1",1,0.217821782178218,5,"Colposcopy"
"Moments 1,2",2,0.237623762376238,5,"Colposcopy"
"Moments 1,2,3",3,0.237623762376238,5,"Colposcopy"
"Moments 1,2,3,4",4,0.207920792079208,5,"Colposcopy"
"catch22",24,0.158415841584158,5,"Colposcopy"
"Moment 1",1,0.277227722772277,6,"Colposcopy"
"Moments 1,2",2,0.277227722772277,6,"Colposcopy"
"Moments 1,2,3",3,0.277227722772277,6,"Colposcopy"
"Moments 1,2,3,4",4,0.297029702970297,6,"Colposcopy"
"catch22",24,0.198019801980198,6,"Colposcopy"
"Moment 1",1,0.277227722772277,7,"Colposcopy"
"Moments 1,2",2,0.306930693069307,7,"Colposcopy"
"Moments 1,2,3",3,0.306930693069307,7,"Colposcopy"
"Moments 1,2,3,4",4,0.287128712871287,7,"Colposcopy"
"catch22",24,0.158415841584158,7,"Colposcopy"
"Moment 1",1,0.217821782178218,8,"Colposcopy"
"Moments 1,2",2,0.257425742574257,8,"Colposcopy"
"Moments 1,2,3",3,0.257425742574257,8,"Colposcopy"
"Moments 1,2,3,4",4,0.257425742574257,8,"Colposcopy"
"catch22",24,0.158415841584158,8,"Colposcopy"
"Moment 1",1,0.257425742574257,9,"Colposcopy"
"Moments 1,2",2,0.257425742574257,9,"Colposcopy"
"Moments 1,2,3",3,0.287128712871287,9,"Colposcopy"
"Moments 1,2,3,4",4,0.247524752475248,9,"Colposcopy"
"catch22",24,0.198019801980198,9,"Colposcopy"
"Moment 1",1,0.277227722772277,10,"Colposcopy"
"Moments 1,2",2,0.277227722772277,10,"Colposcopy"
"Moments 1,2,3",3,0.237623762376238,10,"Colposcopy"
"Moments 1,2,3,4",4,0.217821782178218,10,"Colposcopy"
"catch22",24,0.217821782178218,10,"Colposcopy"
"Moment 1",1,0.277227722772277,11,"Colposcopy"
"Moments 1,2",2,0.277227722772277,11,"Colposcopy"
"Moments 1,2,3",3,0.277227722772277,11,"Colposcopy"
"Moments 1,2,3,4",4,0.247524752475248,11,"Colposcopy"
"catch22",24,0.148514851485149,11,"Colposcopy"
"Moment 1",1,0.277227722772277,12,"Colposcopy"
"Moments 1,2",2,0.277227722772277,12,"Colposcopy"
"Moments 1,2,3",3,0.227722772277228,12,"Colposcopy"
"Moments 1,2,3,4",4,0.306930693069307,12,"Colposcopy"
"catch22",24,0.257425742574257,12,"Colposcopy"
"Moment 1",1,0.287128712871287,13,"Colposcopy"
"Moments 1,2",2,0.287128712871287,13,"Colposcopy"
"Moments 1,2,3",3,0.267326732673267,13,"Colposcopy"
"Moments 1,2,3,4",4,0.287128712871287,13,"Colposcopy"
"catch22",24,0.168316831683168,13,"Colposcopy"
"Moment 1",1,0.277227722772277,14,"Colposcopy"
"Moments 1,2",2,0.277227722772277,14,"Colposcopy"
"Moments 1,2,3",3,0.257425742574257,14,"Colposcopy"
"Moments 1,2,3,4",4,0.267326732673267,14,"Colposcopy"
"catch22",24,0.217821782178218,14,"Colposcopy"
"Moment 1",1,0.277227722772277,15,"Colposcopy"
"Moments 1,2",2,0.277227722772277,15,"Colposcopy"
"Moments 1,2,3",3,0.277227722772277,15,"Colposcopy"
"Moments 1,2,3,4",4,0.306930693069307,15,"Colposcopy"
"catch22",24,0.168316831683168,15,"Colposcopy"
"Moment 1",1,0.277227722772277,16,"Colposcopy"
"Moments 1,2",2,0.277227722772277,16,"Colposcopy"
"Moments 1,2,3",3,0.277227722772277,16,"Colposcopy"
"Moments 1,2,3,4",4,0.257425742574257,16,"Colposcopy"
"catch22",24,0.217821782178218,16,"Colposcopy"
"Moment 1",1,0.217821782178218,17,"Colposcopy"
"Moments 1,2",2,0.227722772277228,17,"Colposcopy"
"Moments 1,2,3",3,0.227722772277228,17,"Colposcopy"
"Moments 1,2,3,4",4,0.227722772277228,17,"Colposcopy"
"catch22",24,0.168316831683168,17,"Colposcopy"
"Moment 1",1,0.277227722772277,18,"Colposcopy"
"Moments 1,2",2,0.247524752475248,18,"Colposcopy"
"Moments 1,2,3",3,0.306930693069307,18,"Colposcopy"
"Moments 1,2,3,4",4,0.287128712871287,18,"Colposcopy"
"catch22",24,0.188118811881188,18,"Colposcopy"
"Moment 1",1,0.277227722772277,19,"Colposcopy"
"Moments 1,2",2,0.267326732673267,19,"Colposcopy"
"Moments 1,2,3",3,0.247524752475248,19,"Colposcopy"
"Moments 1,2,3,4",4,0.188118811881188,19,"Colposcopy"
"catch22",24,0.227722772277228,19,"Colposcopy"
"Moment 1",1,0.257425742574257,20,"Colposcopy"
"Moments 1,2",2,0.247524752475248,20,"Colposcopy"
"Moments 1,2,3",3,0.257425742574257,20,"Colposcopy"
"Moments 1,2,3,4",4,0.247524752475248,20,"Colposcopy"
"catch22",24,0.207920792079208,20,"Colposcopy"
"Moment 1",1,0.297029702970297,21,"Colposcopy"
"Moments 1,2",2,0.306930693069307,21,"Colposcopy"
"Moments 1,2,3",3,0.306930693069307,21,"Colposcopy"
"Moments 1,2,3,4",4,0.306930693069307,21,"Colposcopy"
"catch22",24,0.217821782178218,21,"Colposcopy"
"Moment 1",1,0.257425742574257,22,"Colposcopy"
"Moments 1,2",2,0.257425742574257,22,"Colposcopy"
"Moments 1,2,3",3,0.267326732673267,22,"Colposcopy"
"Moments 1,2,3,4",4,0.227722772277228,22,"Colposcopy"
"catch22",24,0.188118811881188,22,"Colposcopy"
"Moment 1",1,0.277227722772277,23,"Colposcopy"
"Moments 1,2",2,0.297029702970297,23,"Colposcopy"
"Moments 1,2,3",3,0.287128712871287,23,"Colposcopy"
"Moments 1,2,3,4",4,0.267326732673267,23,"Colposcopy"
"catch22",24,0.168316831683168,23,"Colposcopy"
"Moment 1",1,0.257425742574257,24,"Colposcopy"
"Moments 1,2",2,0.257425742574257,24,"Colposcopy"
"Moments 1,2,3",3,0.237623762376238,24,"Colposcopy"
"Moments 1,2,3,4",4,0.217821782178218,24,"Colposcopy"
"catch22",24,0.257425742574257,24,"Colposcopy"
"Moment 1",1,0.277227722772277,25,"Colposcopy"
"Moments 1,2",2,0.277227722772277,25,"Colposcopy"
"Moments 1,2,3",3,0.227722772277228,25,"Colposcopy"
"Moments 1,2,3,4",4,0.237623762376238,25,"Colposcopy"
"catch22",24,0.207920792079208,25,"Colposcopy"
"Moment 1",1,0.287128712871287,26,"Colposcopy"
"Moments 1,2",2,0.277227722772277,26,"Colposcopy"
"Moments 1,2,3",3,0.267326732673267,26,"Colposcopy"
"Moments 1,2,3,4",4,0.287128712871287,26,"Colposcopy"
"catch22",24,0.207920792079208,26,"Colposcopy"
"Moment 1",1,0.277227722772277,27,"Colposcopy"
"Moments 1,2",2,0.277227722772277,27,"Colposcopy"
"Moments 1,2,3",3,0.297029702970297,27,"Colposcopy"
"Moments 1,2,3,4",4,0.227722772277228,27,"Colposcopy"
"catch22",24,0.188118811881188,27,"Colposcopy"
"Moment 1",1,0.277227722772277,28,"Colposcopy"
"Moments 1,2",2,0.257425742574257,28,"Colposcopy"
"Moments 1,2,3",3,0.217821782178218,28,"Colposcopy"
"Moments 1,2,3,4",4,0.237623762376238,28,"Colposcopy"
"catch22",24,0.138613861386139,28,"Colposcopy"
"Moment 1",1,0.277227722772277,29,"Colposcopy"
