"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.0666666666666667,1,"CricketX"
"Moments 1,2",2,0.0538461538461538,1,"CricketX"
"Moments 1,2,3",3,0.0641025641025641,1,"CricketX"
"Moments 1,2,3,4",4,0.0641025641025641,1,"CricketX"
"catch22",24,0.0794871794871795,1,"CricketX"
"Moment 1",1,0.0512820512820513,2,"CricketX"
"Moments 1,2",2,0.0564102564102564,2,"CricketX"
"Moments 1,2,3",3,0.0615384615384615,2,"CricketX"
"Moments 1,2,3,4",4,0.0538461538461538,2,"CricketX"
"catch22",24,0.058974358974359,2,"CricketX"
"Moment 1",1,0.0717948717948718,3,"CricketX"
"Moments 1,2",2,0.0692307692307692,3,"CricketX"
"Moments 1,2,3",3,0.0615384615384615,3,"CricketX"
"Moments 1,2,3,4",4,0.0846153846153846,3,"CricketX"
"catch22",24,0.0666666666666667,3,"CricketX"
"Moment 1",1,0.0692307692307692,4,"CricketX"
"Moments 1,2",2,0.0666666666666667,4,"CricketX"
"Moments 1,2,3",3,0.0641025641025641,4,"CricketX"
"Moments 1,2,3,4",4,0.0692307692307692,4,"CricketX"
"catch22",24,0.0923076923076923,4,"CricketX"
"Moment 1",1,0.0641025641025641,5,"CricketX"
"Moments 1,2",2,0.0794871794871795,5,"CricketX"
"Moments 1,2,3",3,0.0871794871794872,5,"CricketX"
"Moments 1,2,3,4",4,0.0743589743589744,5,"CricketX"
"catch22",24,0.0641025641025641,5,"CricketX"
"Moment 1",1,0.058974358974359,6,"CricketX"
"Moments 1,2",2,0.0769230769230769,6,"CricketX"
"Moments 1,2,3",3,0.0641025641025641,6,"CricketX"
"Moments 1,2,3,4",4,0.0615384615384615,6,"CricketX"
"catch22",24,0.0794871794871795,6,"CricketX"
"Moment 1",1,0.0717948717948718,7,"CricketX"
"Moments 1,2",2,0.0794871794871795,7,"CricketX"
"Moments 1,2,3",3,0.0717948717948718,7,"CricketX"
"Moments 1,2,3,4",4,0.0794871794871795,7,"CricketX"
"catch22",24,0.0743589743589744,7,"CricketX"
"Moment 1",1,0.058974358974359,8,"CricketX"
"Moments 1,2",2,0.0692307692307692,8,"CricketX"
"Moments 1,2,3",3,0.0666666666666667,8,"CricketX"
"Moments 1,2,3,4",4,0.0717948717948718,8,"CricketX"
"catch22",24,0.0871794871794872,8,"CricketX"
"Moment 1",1,0.0666666666666667,9,"CricketX"
"Moments 1,2",2,0.058974358974359,9,"CricketX"
