"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.0692307692307692,1,"CricketY"
"Moments 1,2",2,0.0692307692307692,1,"CricketY"
"Moments 1,2,3",3,0.0615384615384615,1,"CricketY"
"Moments 1,2,3,4",4,0.0769230769230769,1,"CricketY"
"catch22",24,0.107692307692308,1,"CricketY"
"Moment 1",1,0.082051282051282,2,"CricketY"
"Moments 1,2",2,0.0923076923076923,2,"CricketY"
"Moments 1,2,3",3,0.115384615384615,2,"CricketY"
"Moments 1,2,3,4",4,0.0794871794871795,2,"CricketY"
"catch22",24,0.0794871794871795,2,"CricketY"
"Moment 1",1,0.0846153846153846,3,"CricketY"
"Moments 1,2",2,0.0897435897435897,3,"CricketY"
"Moments 1,2,3",3,0.0871794871794872,3,"CricketY"
"Moments 1,2,3,4",4,0.0564102564102564,3,"CricketY"
"catch22",24,0.0717948717948718,3,"CricketY"
"Moment 1",1,0.0743589743589744,4,"CricketY"
"Moments 1,2",2,0.0846153846153846,4,"CricketY"
"Moments 1,2,3",3,0.0948717948717949,4,"CricketY"
"Moments 1,2,3,4",4,0.0948717948717949,4,"CricketY"
"catch22",24,0.0692307692307692,4,"CricketY"
"Moment 1",1,0.0846153846153846,5,"CricketY"
"Moments 1,2",2,0.0871794871794872,5,"CricketY"
"Moments 1,2,3",3,0.102564102564103,5,"CricketY"
"Moments 1,2,3,4",4,0.115384615384615,5,"CricketY"
"catch22",24,0.0794871794871795,5,"CricketY"
"Moment 1",1,0.0641025641025641,6,"CricketY"
"Moments 1,2",2,0.0974358974358974,6,"CricketY"
"Moments 1,2,3",3,0.102564102564103,6,"CricketY"
"Moments 1,2,3,4",4,0.0846153846153846,6,"CricketY"
"catch22",24,0.105128205128205,6,"CricketY"
"Moment 1",1,0.0794871794871795,7,"CricketY"
"Moments 1,2",2,0.0897435897435897,7,"CricketY"
"Moments 1,2,3",3,0.0923076923076923,7,"CricketY"
"Moments 1,2,3,4",4,0.0974358974358974,7,"CricketY"
"catch22",24,0.105128205128205,7,"CricketY"
"Moment 1",1,0.0769230769230769,8,"CricketY"
"Moments 1,2",2,0.0871794871794872,8,"CricketY"
"Moments 1,2,3",3,0.0743589743589744,8,"CricketY"
"Moments 1,2,3,4",4,0.0717948717948718,8,"CricketY"
"catch22",24,0.112820512820513,8,"CricketY"
