"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.587301587301587,1,"DodgerLoopWeekend"
"Moments 1,2",2,0.658730158730159,1,"DodgerLoopWeekend"
"Moments 1,2,3",3,0.666666666666667,1,"DodgerLoopWeekend"
"Moments 1,2,3,4",4,0.611111111111111,1,"DodgerLoopWeekend"
"catch22",24,0.531746031746032,1,"DodgerLoopWeekend"
"Moment 1",1,0.484126984126984,2,"DodgerLoopWeekend"
"Moments 1,2",2,0.492063492063492,2,"DodgerLoopWeekend"
"Moments 1,2,3",3,0.5,2,"DodgerLoopWeekend"
"Moments 1,2,3,4",4,0.492063492063492,2,"DodgerLoopWeekend"
"catch22",24,0.444444444444444,2,"DodgerLoopWeekend"
"Moment 1",1,0.349206349206349,3,"DodgerLoopWeekend"
"Moments 1,2",2,0.452380952380952,3,"DodgerLoopWeekend"
"Moments 1,2,3",3,0.468253968253968,3,"DodgerLoopWeekend"
"Moments 1,2,3,4",4,0.444444444444444,3,"DodgerLoopWeekend"
"catch22",24,0.507936507936508,3,"DodgerLoopWeekend"
"Moment 1",1,0.26984126984127,4,"DodgerLoopWeekend"
"Moments 1,2",2,0.53968253968254,4,"DodgerLoopWeekend"
"Moments 1,2,3",3,0.579365079365079,4,"DodgerLoopWeekend"
"Moments 1,2,3,4",4,0.444444444444444,4,"DodgerLoopWeekend"
"catch22",24,0.579365079365079,4,"DodgerLoopWeekend"
"Moment 1",1,0.357142857142857,5,"DodgerLoopWeekend"
"Moments 1,2",2,0.26984126984127,5,"DodgerLoopWeekend"
"Moments 1,2,3",3,0.444444444444444,5,"DodgerLoopWeekend"
"Moments 1,2,3,4",4,0.436507936507937,5,"DodgerLoopWeekend"
"catch22",24,0.436507936507937,5,"DodgerLoopWeekend"
"Moment 1",1,0.26984126984127,6,"DodgerLoopWeekend"
"Moments 1,2",2,0.325396825396825,6,"DodgerLoopWeekend"
"Moments 1,2,3",3,0.333333333333333,6,"DodgerLoopWeekend"
"Moments 1,2,3,4",4,0.349206349206349,6,"DodgerLoopWeekend"
