"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.0856353591160221,1,"EOGVerticalSignal"
"Moments 1,2",2,0.0994475138121547,1,"EOGVerticalSignal"
"Moments 1,2,3",3,0.11878453038674,1,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.102209944751381,1,"EOGVerticalSignal"
"catch22",24,0.06353591160221,1,"EOGVerticalSignal"
"Moment 1",1,0.0718232044198895,2,"EOGVerticalSignal"
"Moments 1,2",2,0.0801104972375691,2,"EOGVerticalSignal"
"Moments 1,2,3",3,0.0828729281767956,2,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.0939226519337017,2,"EOGVerticalSignal"
"catch22",24,0.0497237569060773,2,"EOGVerticalSignal"
"Moment 1",1,0.0911602209944751,3,"EOGVerticalSignal"
"Moments 1,2",2,0.104972375690608,3,"EOGVerticalSignal"
"Moments 1,2,3",3,0.0856353591160221,3,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.0883977900552486,3,"EOGVerticalSignal"
"catch22",24,0.0662983425414365,3,"EOGVerticalSignal"
"Moment 1",1,0.107734806629834,4,"EOGVerticalSignal"
"Moments 1,2",2,0.0966850828729282,4,"EOGVerticalSignal"
"Moments 1,2,3",3,0.0828729281767956,4,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.0939226519337017,4,"EOGVerticalSignal"
"catch22",24,0.0580110497237569,4,"EOGVerticalSignal"
"Moment 1",1,0.0911602209944751,5,"EOGVerticalSignal"
"Moments 1,2",2,0.0801104972375691,5,"EOGVerticalSignal"
"Moments 1,2,3",3,0.0718232044198895,5,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.0580110497237569,5,"EOGVerticalSignal"
"catch22",24,0.0883977900552486,5,"EOGVerticalSignal"
"Moment 1",1,0.0856353591160221,6,"EOGVerticalSignal"
"Moments 1,2",2,0.0773480662983425,6,"EOGVerticalSignal"
"Moments 1,2,3",3,0.0773480662983425,6,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.0773480662983425,6,"EOGVerticalSignal"
"catch22",24,0.102209944751381,6,"EOGVerticalSignal"
"Moment 1",1,0.0828729281767956,7,"EOGVerticalSignal"
"Moments 1,2",2,0.0939226519337017,7,"EOGVerticalSignal"
