"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.747524752475248,1,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,1,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,1,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,1,"FloodModeling1"
"catch22",24,0.747524752475248,1,"FloodModeling1"
"Moment 1",1,0.747524752475248,2,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,2,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,2,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,2,"FloodModeling1"
"catch22",24,0.747524752475248,2,"FloodModeling1"
"Moment 1",1,0.747524752475248,3,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,3,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,3,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,3,"FloodModeling1"
"catch22",24,0.747524752475248,3,"FloodModeling1"
"Moment 1",1,0.747524752475248,4,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,4,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,4,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,4,"FloodModeling1"
"catch22",24,0.747524752475248,4,"FloodModeling1"
"Moment 1",1,0.747524752475248,5,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,5,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,5,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,5,"FloodModeling1"
"catch22",24,0.747524752475248,5,"FloodModeling1"
"Moment 1",1,0.747524752475248,6,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,6,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,6,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,6,"FloodModeling1"
"catch22",24,0.747524752475248,6,"FloodModeling1"
"Moment 1",1,0.747524752475248,7,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,7,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,7,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,7,"FloodModeling1"
"catch22",24,0.747524752475248,7,"FloodModeling1"
"Moment 1",1,0.747524752475248,8,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,8,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,8,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,8,"FloodModeling1"
"catch22",24,0.747524752475248,8,"FloodModeling1"
"Moment 1",1,0.747524752475248,9,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,9,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,9,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,9,"FloodModeling1"
"catch22",24,0.747524752475248,9,"FloodModeling1"
"Moment 1",1,0.747524752475248,10,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,10,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,10,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,10,"FloodModeling1"
"catch22",24,0.747524752475248,10,"FloodModeling1"
"Moment 1",1,0.747524752475248,11,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,11,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,11,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,11,"FloodModeling1"
"catch22",24,0.747524752475248,11,"FloodModeling1"
"Moment 1",1,0.747524752475248,12,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,12,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,12,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,12,"FloodModeling1"
"catch22",24,0.747524752475248,12,"FloodModeling1"
"Moment 1",1,0.747524752475248,13,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,13,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,13,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,13,"FloodModeling1"
"catch22",24,0.747524752475248,13,"FloodModeling1"
"Moment 1",1,0.747524752475248,14,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,14,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,14,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,14,"FloodModeling1"
"catch22",24,0.747524752475248,14,"FloodModeling1"
"Moment 1",1,0.747524752475248,15,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,15,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,15,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,15,"FloodModeling1"
"catch22",24,0.747524752475248,15,"FloodModeling1"
"Moment 1",1,0.747524752475248,16,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,16,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,16,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,16,"FloodModeling1"
"catch22",24,0.747524752475248,16,"FloodModeling1"
"Moment 1",1,0.747524752475248,17,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,17,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,17,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,17,"FloodModeling1"
"catch22",24,0.747524752475248,17,"FloodModeling1"
"Moment 1",1,0.747524752475248,18,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,18,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,18,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,18,"FloodModeling1"
"catch22",24,0.747524752475248,18,"FloodModeling1"
"Moment 1",1,0.747524752475248,19,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,19,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,19,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,19,"FloodModeling1"
"catch22",24,0.732673267326733,19,"FloodModeling1"
"Moment 1",1,0.747524752475248,20,"FloodModeling1"
"Moments 1,2",2,0.747524752475248,20,"FloodModeling1"
"Moments 1,2,3",3,0.747524752475248,20,"FloodModeling1"
"Moments 1,2,3,4",4,0.747524752475248,20,"FloodModeling1"
"catch22",24,0.747524752475248,20,"FloodModeling1"
"Moment 1",1,0.747524752475248,21,"FloodModeling1"
