"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.515909090909091,1,"FordA"
"Moments 1,2",2,0.515909090909091,1,"FordA"
"Moments 1,2,3",3,0.515909090909091,1,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,1,"FordA"
"catch22",24,0.507575757575758,1,"FordA"
"Moment 1",1,0.515909090909091,2,"FordA"
"Moments 1,2",2,0.515909090909091,2,"FordA"
"Moments 1,2,3",3,0.515909090909091,2,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,2,"FordA"
"catch22",24,0.512878787878788,2,"FordA"
"Moment 1",1,0.515909090909091,3,"FordA"
"Moments 1,2",2,0.515909090909091,3,"FordA"
"Moments 1,2,3",3,0.515909090909091,3,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,3,"FordA"
"catch22",24,0.508333333333333,3,"FordA"
"Moment 1",1,0.515909090909091,4,"FordA"
"Moments 1,2",2,0.515909090909091,4,"FordA"
"Moments 1,2,3",3,0.515909090909091,4,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,4,"FordA"
"catch22",24,0.506818181818182,4,"FordA"
"Moment 1",1,0.515909090909091,5,"FordA"
"Moments 1,2",2,0.515909090909091,5,"FordA"
"Moments 1,2,3",3,0.515909090909091,5,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,5,"FordA"
"catch22",24,0.484090909090909,5,"FordA"
"Moment 1",1,0.515909090909091,6,"FordA"
"Moments 1,2",2,0.515909090909091,6,"FordA"
"Moments 1,2,3",3,0.515909090909091,6,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,6,"FordA"
"catch22",24,0.51969696969697,6,"FordA"
"Moment 1",1,0.515909090909091,7,"FordA"
"Moments 1,2",2,0.515909090909091,7,"FordA"
"Moments 1,2,3",3,0.515909090909091,7,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,7,"FordA"
"catch22",24,0.516666666666667,7,"FordA"
"Moment 1",1,0.515909090909091,8,"FordA"
"Moments 1,2",2,0.515909090909091,8,"FordA"
"Moments 1,2,3",3,0.515909090909091,8,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,8,"FordA"
"catch22",24,0.511363636363636,8,"FordA"
"Moment 1",1,0.515909090909091,9,"FordA"
"Moments 1,2",2,0.515909090909091,9,"FordA"
"Moments 1,2,3",3,0.515909090909091,9,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,9,"FordA"
"catch22",24,0.51969696969697,9,"FordA"
"Moment 1",1,0.515909090909091,10,"FordA"
"Moments 1,2",2,0.515909090909091,10,"FordA"
"Moments 1,2,3",3,0.515909090909091,10,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,10,"FordA"
"catch22",24,0.5,10,"FordA"
"Moment 1",1,0.515909090909091,11,"FordA"
"Moments 1,2",2,0.515909090909091,11,"FordA"
"Moments 1,2,3",3,0.515909090909091,11,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,11,"FordA"
"catch22",24,0.50530303030303,11,"FordA"
"Moment 1",1,0.515909090909091,12,"FordA"
"Moments 1,2",2,0.515909090909091,12,"FordA"
"Moments 1,2,3",3,0.515909090909091,12,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,12,"FordA"
"catch22",24,0.495454545454545,12,"FordA"
"Moment 1",1,0.515909090909091,13,"FordA"
"Moments 1,2",2,0.515909090909091,13,"FordA"
"Moments 1,2,3",3,0.515909090909091,13,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,13,"FordA"
"catch22",24,0.537878787878788,13,"FordA"
"Moment 1",1,0.515909090909091,14,"FordA"
"Moments 1,2",2,0.515909090909091,14,"FordA"
"Moments 1,2,3",3,0.515909090909091,14,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,14,"FordA"
"catch22",24,0.491666666666667,14,"FordA"
"Moment 1",1,0.515909090909091,15,"FordA"
"Moments 1,2",2,0.515909090909091,15,"FordA"
"Moments 1,2,3",3,0.515909090909091,15,"FordA"
"Moments 1,2,3,4",4,0.515909090909091,15,"FordA"
"catch22",24,0.506060606060606,15,"FordA"
