"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.523809523809524,1,"GunPointOldVersusYoung"
"Moments 1,2",2,0.482539682539683,1,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.476190476190476,1,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.485714285714286,1,"GunPointOldVersusYoung"
"catch22",24,0.542857142857143,1,"GunPointOldVersusYoung"
"Moment 1",1,0.536507936507936,2,"GunPointOldVersusYoung"
"Moments 1,2",2,0.53968253968254,2,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.514285714285714,2,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.498412698412698,2,"GunPointOldVersusYoung"
"catch22",24,0.523809523809524,2,"GunPointOldVersusYoung"
"Moment 1",1,0.514285714285714,3,"GunPointOldVersusYoung"
"Moments 1,2",2,0.501587301587302,3,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.501587301587302,3,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.501587301587302,3,"GunPointOldVersusYoung"
"catch22",24,0.561904761904762,3,"GunPointOldVersusYoung"
"Moment 1",1,0.479365079365079,4,"GunPointOldVersusYoung"
"Moments 1,2",2,0.479365079365079,4,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.479365079365079,4,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.479365079365079,4,"GunPointOldVersusYoung"
"catch22",24,0.501587301587302,4,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,5,"GunPointOldVersusYoung"
"Moments 1,2",2,0.533333333333333,5,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.533333333333333,5,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.533333333333333,5,"GunPointOldVersusYoung"
"catch22",24,0.555555555555556,5,"GunPointOldVersusYoung"
"Moment 1",1,0.46031746031746,6,"GunPointOldVersusYoung"
"Moments 1,2",2,0.498412698412698,6,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.498412698412698,6,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.492063492063492,6,"GunPointOldVersusYoung"
"catch22",24,0.492063492063492,6,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,7,"GunPointOldVersusYoung"
"Moments 1,2",2,0.526984126984127,7,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.501587301587302,7,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.476190476190476,7,"GunPointOldVersusYoung"
"catch22",24,0.536507936507936,7,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,8,"GunPointOldVersusYoung"
"Moments 1,2",2,0.520634920634921,8,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.520634920634921,8,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.520634920634921,8,"GunPointOldVersusYoung"
"catch22",24,0.536507936507936,8,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,9,"GunPointOldVersusYoung"
"Moments 1,2",2,0.517460317460318,9,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.517460317460318,9,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.517460317460318,9,"GunPointOldVersusYoung"
"catch22",24,0.495238095238095,9,"GunPointOldVersusYoung"
"Moment 1",1,0.504761904761905,10,"GunPointOldVersusYoung"
"Moments 1,2",2,0.517460317460318,10,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.504761904761905,10,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.498412698412698,10,"GunPointOldVersusYoung"
"catch22",24,0.53968253968254,10,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,11,"GunPointOldVersusYoung"
"Moments 1,2",2,0.565079365079365,11,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.53968253968254,11,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.53015873015873,11,"GunPointOldVersusYoung"
"catch22",24,0.485714285714286,11,"GunPointOldVersusYoung"
"Moment 1",1,0.485714285714286,12,"GunPointOldVersusYoung"
"Moments 1,2",2,0.485714285714286,12,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.485714285714286,12,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.492063492063492,12,"GunPointOldVersusYoung"
"catch22",24,0.488888888888889,12,"GunPointOldVersusYoung"
"Moment 1",1,0.53968253968254,13,"GunPointOldVersusYoung"
"Moments 1,2",2,0.53968253968254,13,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.561904761904762,13,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.526984126984127,13,"GunPointOldVersusYoung"
"catch22",24,0.542857142857143,13,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,14,"GunPointOldVersusYoung"
"Moments 1,2",2,0.523809523809524,14,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.523809523809524,14,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.523809523809524,14,"GunPointOldVersusYoung"
"catch22",24,0.536507936507936,14,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,15,"GunPointOldVersusYoung"
"Moments 1,2",2,0.514285714285714,15,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.514285714285714,15,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.514285714285714,15,"GunPointOldVersusYoung"
"catch22",24,0.441269841269841,15,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,16,"GunPointOldVersusYoung"
"Moments 1,2",2,0.523809523809524,16,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.523809523809524,16,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.580952380952381,16,"GunPointOldVersusYoung"
"catch22",24,0.498412698412698,16,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,17,"GunPointOldVersusYoung"
"Moments 1,2",2,0.523809523809524,17,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.523809523809524,17,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.507936507936508,17,"GunPointOldVersusYoung"
"catch22",24,0.495238095238095,17,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,18,"GunPointOldVersusYoung"
"Moments 1,2",2,0.523809523809524,18,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.53968253968254,18,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.520634920634921,18,"GunPointOldVersusYoung"
"catch22",24,0.53015873015873,18,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,19,"GunPointOldVersusYoung"
"Moments 1,2",2,0.555555555555556,19,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.555555555555556,19,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.53015873015873,19,"GunPointOldVersusYoung"
"catch22",24,0.514285714285714,19,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,20,"GunPointOldVersusYoung"
"Moments 1,2",2,0.447619047619048,20,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.479365079365079,20,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.485714285714286,20,"GunPointOldVersusYoung"
"catch22",24,0.53015873015873,20,"GunPointOldVersusYoung"
"Moment 1",1,0.507936507936508,21,"GunPointOldVersusYoung"
"Moments 1,2",2,0.504761904761905,21,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.504761904761905,21,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.511111111111111,21,"GunPointOldVersusYoung"
"catch22",24,0.46031746031746,21,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,22,"GunPointOldVersusYoung"
"Moments 1,2",2,0.542857142857143,22,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.558730158730159,22,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.523809523809524,22,"GunPointOldVersusYoung"
"catch22",24,0.453968253968254,22,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,23,"GunPointOldVersusYoung"
"Moments 1,2",2,0.520634920634921,23,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.520634920634921,23,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.520634920634921,23,"GunPointOldVersusYoung"
"catch22",24,0.53015873015873,23,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,24,"GunPointOldVersusYoung"
"Moments 1,2",2,0.523809523809524,24,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.523809523809524,24,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.523809523809524,24,"GunPointOldVersusYoung"
"catch22",24,0.498412698412698,24,"GunPointOldVersusYoung"
"Moment 1",1,0.488888888888889,25,"GunPointOldVersusYoung"
"Moments 1,2",2,0.488888888888889,25,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.488888888888889,25,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.488888888888889,25,"GunPointOldVersusYoung"
"catch22",24,0.476190476190476,25,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,26,"GunPointOldVersusYoung"
"Moments 1,2",2,0.536507936507936,26,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.536507936507936,26,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.552380952380952,26,"GunPointOldVersusYoung"
"catch22",24,0.526984126984127,26,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,27,"GunPointOldVersusYoung"
"Moments 1,2",2,0.482539682539683,27,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.447619047619048,27,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.444444444444444,27,"GunPointOldVersusYoung"
"catch22",24,0.476190476190476,27,"GunPointOldVersusYoung"
"Moment 1",1,0.53015873015873,28,"GunPointOldVersusYoung"
"Moments 1,2",2,0.53968253968254,28,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.501587301587302,28,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.514285714285714,28,"GunPointOldVersusYoung"
"catch22",24,0.552380952380952,28,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,29,"GunPointOldVersusYoung"
"Moments 1,2",2,0.523809523809524,29,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.495238095238095,29,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.517460317460318,29,"GunPointOldVersusYoung"
"catch22",24,0.568253968253968,29,"GunPointOldVersusYoung"
"Moment 1",1,0.523809523809524,30,"GunPointOldVersusYoung"
"Moments 1,2",2,0.514285714285714,30,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.46984126984127,30,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.485714285714286,30,"GunPointOldVersusYoung"
"catch22",24,0.533333333333333,30,"GunPointOldVersusYoung"
"Moment 1",1,0.466666666666667,31,"GunPointOldVersusYoung"
"Moments 1,2",2,0.473015873015873,31,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.473015873015873,31,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.473015873015873,31,"GunPointOldVersusYoung"
"catch22",24,0.501587301587302,31,"GunPointOldVersusYoung"
"Moment 1",1,0.495238095238095,32,"GunPointOldVersusYoung"
"Moments 1,2",2,0.425396825396825,32,"GunPointOldVersusYoung"
"Moments 1,2,3",3,0.425396825396825,32,"GunPointOldVersusYoung"
"Moments 1,2,3,4",4,0.419047619047619,32,"GunPointOldVersusYoung"
