"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.64054054054054,1,"HandOutlines"
"Moments 1,2",2,0.64054054054054,1,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,1,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,1,"HandOutlines"
"catch22",22,0.64054054054054,1,"HandOutlines"
"Moment 1",1,0.64054054054054,2,"HandOutlines"
"Moments 1,2",2,0.64054054054054,2,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,2,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,2,"HandOutlines"
"catch22",22,0.64054054054054,2,"HandOutlines"
"Moment 1",1,0.64054054054054,3,"HandOutlines"
"Moments 1,2",2,0.64054054054054,3,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,3,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,3,"HandOutlines"
"catch22",22,0.64054054054054,3,"HandOutlines"
"Moment 1",1,0.64054054054054,4,"HandOutlines"
"Moments 1,2",2,0.64054054054054,4,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,4,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,4,"HandOutlines"
"catch22",22,0.64054054054054,4,"HandOutlines"
"Moment 1",1,0.64054054054054,5,"HandOutlines"
"Moments 1,2",2,0.64054054054054,5,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,5,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,5,"HandOutlines"
"catch22",22,0.64054054054054,5,"HandOutlines"
"Moment 1",1,0.64054054054054,6,"HandOutlines"
"Moments 1,2",2,0.64054054054054,6,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,6,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,6,"HandOutlines"
"catch22",22,0.64054054054054,6,"HandOutlines"
"Moment 1",1,0.64054054054054,7,"HandOutlines"
"Moments 1,2",2,0.64054054054054,7,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,7,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,7,"HandOutlines"
"catch22",22,0.64054054054054,7,"HandOutlines"
"Moment 1",1,0.64054054054054,8,"HandOutlines"
"Moments 1,2",2,0.64054054054054,8,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,8,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,8,"HandOutlines"
"catch22",22,0.637837837837838,8,"HandOutlines"
"Moment 1",1,0.64054054054054,9,"HandOutlines"
"Moments 1,2",2,0.64054054054054,9,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,9,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,9,"HandOutlines"
"catch22",22,0.64054054054054,9,"HandOutlines"
"Moment 1",1,0.64054054054054,10,"HandOutlines"
"Moments 1,2",2,0.64054054054054,10,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,10,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,10,"HandOutlines"
"catch22",22,0.64054054054054,10,"HandOutlines"
"Moment 1",1,0.64054054054054,11,"HandOutlines"
"Moments 1,2",2,0.64054054054054,11,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,11,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,11,"HandOutlines"
"catch22",22,0.64054054054054,11,"HandOutlines"
"Moment 1",1,0.64054054054054,12,"HandOutlines"
"Moments 1,2",2,0.64054054054054,12,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,12,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,12,"HandOutlines"
"catch22",22,0.64054054054054,12,"HandOutlines"
"Moment 1",1,0.64054054054054,13,"HandOutlines"
"Moments 1,2",2,0.64054054054054,13,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,13,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,13,"HandOutlines"
"catch22",22,0.64054054054054,13,"HandOutlines"
"Moment 1",1,0.64054054054054,14,"HandOutlines"
"Moments 1,2",2,0.64054054054054,14,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,14,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,14,"HandOutlines"
"catch22",22,0.64054054054054,14,"HandOutlines"
"Moment 1",1,0.64054054054054,15,"HandOutlines"
"Moments 1,2",2,0.64054054054054,15,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,15,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,15,"HandOutlines"
"catch22",22,0.62972972972973,15,"HandOutlines"
"Moment 1",1,0.64054054054054,16,"HandOutlines"
"Moments 1,2",2,0.64054054054054,16,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,16,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,16,"HandOutlines"
"catch22",22,0.64054054054054,16,"HandOutlines"
"Moment 1",1,0.64054054054054,17,"HandOutlines"
"Moments 1,2",2,0.64054054054054,17,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,17,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,17,"HandOutlines"
"catch22",22,0.64054054054054,17,"HandOutlines"
"Moment 1",1,0.64054054054054,18,"HandOutlines"
"Moments 1,2",2,0.64054054054054,18,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,18,"HandOutlines"
"Moments 1,2,3,4",4,0.64054054054054,18,"HandOutlines"
"catch22",22,0.64054054054054,18,"HandOutlines"
"Moment 1",1,0.64054054054054,19,"HandOutlines"
"Moments 1,2",2,0.64054054054054,19,"HandOutlines"
"Moments 1,2,3",3,0.64054054054054,19,"HandOutlines"
