"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.094949494949495,1,"InsectWingbeatSound"
"Moments 1,2",2,0.0848484848484849,1,"InsectWingbeatSound"
"Moments 1,2,3",3,0.107070707070707,1,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.10959595959596,1,"InsectWingbeatSound"
"catch22",24,0.0873737373737374,1,"InsectWingbeatSound"
"Moment 1",1,0.0858585858585859,2,"InsectWingbeatSound"
"Moments 1,2",2,0.0823232323232323,2,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0782828282828283,2,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0843434343434343,2,"InsectWingbeatSound"
"catch22",24,0.103030303030303,2,"InsectWingbeatSound"
"Moment 1",1,0.095959595959596,3,"InsectWingbeatSound"
"Moments 1,2",2,0.0843434343434343,3,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0934343434343434,3,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.095959595959596,3,"InsectWingbeatSound"
"catch22",24,0.0893939393939394,3,"InsectWingbeatSound"
"Moment 1",1,0.0934343434343434,4,"InsectWingbeatSound"
"Moments 1,2",2,0.0848484848484849,4,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0858585858585859,4,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0934343434343434,4,"InsectWingbeatSound"
"catch22",24,0.095959595959596,4,"InsectWingbeatSound"
"Moment 1",1,0.0944444444444444,5,"InsectWingbeatSound"
"Moments 1,2",2,0.0898989898989899,5,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0904040404040404,5,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0878787878787879,5,"InsectWingbeatSound"
"catch22",24,0.0924242424242424,5,"InsectWingbeatSound"
"Moment 1",1,0.0853535353535353,6,"InsectWingbeatSound"
"Moments 1,2",2,0.0924242424242424,6,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0848484848484849,6,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0818181818181818,6,"InsectWingbeatSound"
"catch22",24,0.0944444444444444,6,"InsectWingbeatSound"
"Moment 1",1,0.0904040404040404,7,"InsectWingbeatSound"
"Moments 1,2",2,0.0934343434343434,7,"InsectWingbeatSound"
"Moments 1,2,3",3,0.102020202020202,7,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.10050505050505,7,"InsectWingbeatSound"
"catch22",24,0.0934343434343434,7,"InsectWingbeatSound"
"Moment 1",1,0.0904040404040404,8,"InsectWingbeatSound"
"Moments 1,2",2,0.0934343434343434,8,"InsectWingbeatSound"
"Moments 1,2,3",3,0.096969696969697,8,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0954545454545455,8,"InsectWingbeatSound"
"catch22",24,0.0808080808080808,8,"InsectWingbeatSound"
"Moment 1",1,0.0954545454545455,9,"InsectWingbeatSound"
"Moments 1,2",2,0.0888888888888889,9,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0914141414141414,9,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.094949494949495,9,"InsectWingbeatSound"
"catch22",24,0.0909090909090909,9,"InsectWingbeatSound"
"Moment 1",1,0.0909090909090909,10,"InsectWingbeatSound"
"Moments 1,2",2,0.0893939393939394,10,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0954545454545455,10,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.096969696969697,10,"InsectWingbeatSound"
"catch22",24,0.0924242424242424,10,"InsectWingbeatSound"
"Moment 1",1,0.096969696969697,11,"InsectWingbeatSound"
"Moments 1,2",2,0.098989898989899,11,"InsectWingbeatSound"
"Moments 1,2,3",3,0.102020202020202,11,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.103535353535354,11,"InsectWingbeatSound"
"catch22",24,0.0924242424242424,11,"InsectWingbeatSound"
"Moment 1",1,0.0873737373737374,12,"InsectWingbeatSound"
"Moments 1,2",2,0.0883838383838384,12,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0828282828282828,12,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0868686868686869,12,"InsectWingbeatSound"
"catch22",24,0.0914141414141414,12,"InsectWingbeatSound"
"Moment 1",1,0.0813131313131313,13,"InsectWingbeatSound"
"Moments 1,2",2,0.0934343434343434,13,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0914141414141414,13,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0944444444444444,13,"InsectWingbeatSound"
"catch22",24,0.0818181818181818,13,"InsectWingbeatSound"
"Moment 1",1,0.0873737373737374,14,"InsectWingbeatSound"
"Moments 1,2",2,0.0994949494949495,14,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0919191919191919,14,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0934343434343434,14,"InsectWingbeatSound"
"catch22",24,0.0909090909090909,14,"InsectWingbeatSound"
"Moment 1",1,0.0893939393939394,15,"InsectWingbeatSound"
"Moments 1,2",2,0.10050505050505,15,"InsectWingbeatSound"
"Moments 1,2,3",3,0.106565656565657,15,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.107575757575758,15,"InsectWingbeatSound"
"catch22",24,0.103535353535354,15,"InsectWingbeatSound"
"Moment 1",1,0.0924242424242424,16,"InsectWingbeatSound"
"Moments 1,2",2,0.096969696969697,16,"InsectWingbeatSound"
"Moments 1,2,3",3,0.101010101010101,16,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.098989898989899,16,"InsectWingbeatSound"
"catch22",24,0.0984848484848485,16,"InsectWingbeatSound"
"Moment 1",1,0.0838383838383838,17,"InsectWingbeatSound"
"Moments 1,2",2,0.103030303030303,17,"InsectWingbeatSound"
"Moments 1,2,3",3,0.102020202020202,17,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.096969696969697,17,"InsectWingbeatSound"
"catch22",24,0.101515151515152,17,"InsectWingbeatSound"
"Moment 1",1,0.10050505050505,18,"InsectWingbeatSound"
"Moments 1,2",2,0.0924242424242424,18,"InsectWingbeatSound"
"Moments 1,2,3",3,0.097979797979798,18,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.101515151515152,18,"InsectWingbeatSound"
"catch22",24,0.0813131313131313,18,"InsectWingbeatSound"
"Moment 1",1,0.1,19,"InsectWingbeatSound"
"Moments 1,2",2,0.0929292929292929,19,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0823232323232323,19,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0873737373737374,19,"InsectWingbeatSound"
"catch22",24,0.0929292929292929,19,"InsectWingbeatSound"
"Moment 1",1,0.0954545454545455,20,"InsectWingbeatSound"
"Moments 1,2",2,0.0929292929292929,20,"InsectWingbeatSound"
"Moments 1,2,3",3,0.0914141414141414,20,"InsectWingbeatSound"
"Moments 1,2,3,4",4,0.0924242424242424,20,"InsectWingbeatSound"
"catch22",24,0.0944444444444444,20,"InsectWingbeatSound"
"Moment 1",1,0.0929292929292929,21,"InsectWingbeatSound"
"Moments 1,2",2,0.0934343434343434,21,"InsectWingbeatSound"
