"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.273972602739726,1,"Lightning7"
"Moments 1,2",2,0.273972602739726,1,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,1,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,1,"Lightning7"
"catch22",24,0.150684931506849,1,"Lightning7"
"Moment 1",1,0.26027397260274,2,"Lightning7"
"Moments 1,2",2,0.26027397260274,2,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,2,"Lightning7"
"Moments 1,2,3,4",4,0.246575342465753,2,"Lightning7"
"catch22",24,0.150684931506849,2,"Lightning7"
"Moment 1",1,0.26027397260274,3,"Lightning7"
"Moments 1,2",2,0.26027397260274,3,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,3,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,3,"Lightning7"
"catch22",24,0.205479452054795,3,"Lightning7"
"Moment 1",1,0.287671232876712,4,"Lightning7"
"Moments 1,2",2,0.273972602739726,4,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,4,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,4,"Lightning7"
"catch22",24,0.191780821917808,4,"Lightning7"
"Moment 1",1,0.26027397260274,5,"Lightning7"
"Moments 1,2",2,0.26027397260274,5,"Lightning7"
"Moments 1,2,3",3,0.136986301369863,5,"Lightning7"
"Moments 1,2,3,4",4,0.123287671232877,5,"Lightning7"
"catch22",24,0.10958904109589,5,"Lightning7"
"Moment 1",1,0.246575342465753,6,"Lightning7"
"Moments 1,2",2,0.232876712328767,6,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,6,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,6,"Lightning7"
"catch22",24,0.191780821917808,6,"Lightning7"
"Moment 1",1,0.26027397260274,7,"Lightning7"
"Moments 1,2",2,0.26027397260274,7,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,7,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,7,"Lightning7"
"catch22",24,0.0958904109589041,7,"Lightning7"
"Moment 1",1,0.287671232876712,8,"Lightning7"
"Moments 1,2",2,0.287671232876712,8,"Lightning7"
"Moments 1,2,3",3,0.287671232876712,8,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,8,"Lightning7"
"catch22",24,0.232876712328767,8,"Lightning7"
"Moment 1",1,0.301369863013699,9,"Lightning7"
"Moments 1,2",2,0.301369863013699,9,"Lightning7"
"Moments 1,2,3",3,0.315068493150685,9,"Lightning7"
"Moments 1,2,3,4",4,0.287671232876712,9,"Lightning7"
"catch22",24,0.287671232876712,9,"Lightning7"
"Moment 1",1,0.246575342465753,10,"Lightning7"
"Moments 1,2",2,0.26027397260274,10,"Lightning7"
"Moments 1,2,3",3,0.246575342465753,10,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,10,"Lightning7"
"catch22",24,0.178082191780822,10,"Lightning7"
"Moment 1",1,0.26027397260274,11,"Lightning7"
"Moments 1,2",2,0.246575342465753,11,"Lightning7"
"Moments 1,2,3",3,0.246575342465753,11,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,11,"Lightning7"
"catch22",24,0.232876712328767,11,"Lightning7"
"Moment 1",1,0.246575342465753,12,"Lightning7"
"Moments 1,2",2,0.246575342465753,12,"Lightning7"
"Moments 1,2,3",3,0.246575342465753,12,"Lightning7"
"Moments 1,2,3,4",4,0.246575342465753,12,"Lightning7"
"catch22",24,0.10958904109589,12,"Lightning7"
"Moment 1",1,0.26027397260274,13,"Lightning7"
"Moments 1,2",2,0.26027397260274,13,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,13,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,13,"Lightning7"
"catch22",24,0.246575342465753,13,"Lightning7"
"Moment 1",1,0.26027397260274,14,"Lightning7"
"Moments 1,2",2,0.26027397260274,14,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,14,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,14,"Lightning7"
"catch22",24,0.232876712328767,14,"Lightning7"
"Moment 1",1,0.26027397260274,15,"Lightning7"
"Moments 1,2",2,0.26027397260274,15,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,15,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,15,"Lightning7"
"catch22",24,0.150684931506849,15,"Lightning7"
"Moment 1",1,0.26027397260274,16,"Lightning7"
"Moments 1,2",2,0.273972602739726,16,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,16,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,16,"Lightning7"
"catch22",24,0.205479452054795,16,"Lightning7"
"Moment 1",1,0.26027397260274,17,"Lightning7"
"Moments 1,2",2,0.26027397260274,17,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,17,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,17,"Lightning7"
"catch22",24,0.164383561643836,17,"Lightning7"
"Moment 1",1,0.26027397260274,18,"Lightning7"
"Moments 1,2",2,0.246575342465753,18,"Lightning7"
"Moments 1,2,3",3,0.246575342465753,18,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,18,"Lightning7"
"catch22",24,0.178082191780822,18,"Lightning7"
"Moment 1",1,0.273972602739726,19,"Lightning7"
"Moments 1,2",2,0.273972602739726,19,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,19,"Lightning7"
"Moments 1,2,3,4",4,0.219178082191781,19,"Lightning7"
"catch22",24,0.219178082191781,19,"Lightning7"
"Moment 1",1,0.26027397260274,20,"Lightning7"
"Moments 1,2",2,0.26027397260274,20,"Lightning7"
"Moments 1,2,3",3,0.273972602739726,20,"Lightning7"
"Moments 1,2,3,4",4,0.273972602739726,20,"Lightning7"
"catch22",24,0.246575342465753,20,"Lightning7"
"Moment 1",1,0.26027397260274,21,"Lightning7"
"Moments 1,2",2,0.26027397260274,21,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,21,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,21,"Lightning7"
"catch22",24,0.10958904109589,21,"Lightning7"
"Moment 1",1,0.26027397260274,22,"Lightning7"
"Moments 1,2",2,0.26027397260274,22,"Lightning7"
"Moments 1,2,3",3,0.205479452054795,22,"Lightning7"
"Moments 1,2,3,4",4,0.219178082191781,22,"Lightning7"
"catch22",24,0.191780821917808,22,"Lightning7"
"Moment 1",1,0.273972602739726,23,"Lightning7"
"Moments 1,2",2,0.287671232876712,23,"Lightning7"
"Moments 1,2,3",3,0.301369863013699,23,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,23,"Lightning7"
"catch22",24,0.164383561643836,23,"Lightning7"
"Moment 1",1,0.26027397260274,24,"Lightning7"
"Moments 1,2",2,0.26027397260274,24,"Lightning7"
"Moments 1,2,3",3,0.26027397260274,24,"Lightning7"
"Moments 1,2,3,4",4,0.26027397260274,24,"Lightning7"
"catch22",24,0.123287671232877,24,"Lightning7"
"Moment 1",1,0.232876712328767,25,"Lightning7"
"Moments 1,2",2,0.232876712328767,25,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,25,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,25,"Lightning7"
"catch22",24,0.164383561643836,25,"Lightning7"
"Moment 1",1,0.219178082191781,26,"Lightning7"
"Moments 1,2",2,0.232876712328767,26,"Lightning7"
"Moments 1,2,3",3,0.205479452054795,26,"Lightning7"
"Moments 1,2,3,4",4,0.205479452054795,26,"Lightning7"
"catch22",24,0.191780821917808,26,"Lightning7"
"Moment 1",1,0.26027397260274,27,"Lightning7"
"Moments 1,2",2,0.26027397260274,27,"Lightning7"
"Moments 1,2,3",3,0.246575342465753,27,"Lightning7"
"Moments 1,2,3,4",4,0.246575342465753,27,"Lightning7"
"catch22",24,0.0958904109589041,27,"Lightning7"
"Moment 1",1,0.246575342465753,28,"Lightning7"
"Moments 1,2",2,0.26027397260274,28,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,28,"Lightning7"
"Moments 1,2,3,4",4,0.219178082191781,28,"Lightning7"
"catch22",24,0.191780821917808,28,"Lightning7"
"Moment 1",1,0.232876712328767,29,"Lightning7"
"Moments 1,2",2,0.232876712328767,29,"Lightning7"
"Moments 1,2,3",3,0.232876712328767,29,"Lightning7"
"Moments 1,2,3,4",4,0.232876712328767,29,"Lightning7"
"catch22",24,0.191780821917808,29,"Lightning7"
