"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.123240938166311,1,"Mallat"
"Moments 1,2",2,0.121108742004264,1,"Mallat"
"Moments 1,2,3",3,0.122388059701493,1,"Mallat"
"Moments 1,2,3,4",4,0.127078891257996,1,"Mallat"
"catch22",22,0.111727078891258,1,"Mallat"
"Moment 1",1,0.123240938166311,2,"Mallat"
"Moments 1,2",2,0.115991471215352,2,"Mallat"
"Moments 1,2,3",3,0.120682302771855,2,"Mallat"
"Moments 1,2,3,4",4,0.119829424307036,2,"Mallat"
"catch22",22,0.120255863539446,2,"Mallat"
"Moment 1",1,0.122814498933902,3,"Mallat"
"Moments 1,2",2,0.119402985074627,3,"Mallat"
"Moments 1,2,3",3,0.120682302771855,3,"Mallat"
"Moments 1,2,3,4",4,0.121535181236674,3,"Mallat"
"catch22",22,0.123240938166311,3,"Mallat"
"Moment 1",1,0.122388059701493,4,"Mallat"
"Moments 1,2",2,0.115991471215352,4,"Mallat"
"Moments 1,2,3",3,0.115565031982942,4,"Mallat"
"Moments 1,2,3,4",4,0.118976545842217,4,"Mallat"
"catch22",22,0.126652452025586,4,"Mallat"
"Moment 1",1,0.133475479744136,5,"Mallat"
"Moments 1,2",2,0.128358208955224,5,"Mallat"
"Moments 1,2,3",3,0.122388059701493,5,"Mallat"
"Moments 1,2,3,4",4,0.120255863539446,5,"Mallat"
"catch22",22,0.122388059701493,5,"Mallat"
"Moment 1",1,0.115991471215352,6,"Mallat"
"Moments 1,2",2,0.121961620469083,6,"Mallat"
"Moments 1,2,3",3,0.121535181236674,6,"Mallat"
"Moments 1,2,3,4",4,0.118550106609808,6,"Mallat"
"catch22",22,0.114712153518124,6,"Mallat"
"Moment 1",1,0.121961620469083,7,"Mallat"
"Moments 1,2",2,0.118976545842217,7,"Mallat"
"Moments 1,2,3",3,0.122388059701493,7,"Mallat"
"Moments 1,2,3,4",4,0.122388059701493,7,"Mallat"
"catch22",22,0.127078891257996,7,"Mallat"
"Moment 1",1,0.121961620469083,8,"Mallat"
"Moments 1,2",2,0.128784648187633,8,"Mallat"
"Moments 1,2,3",3,0.131769722814499,8,"Mallat"
"Moments 1,2,3,4",4,0.132622601279318,8,"Mallat"
"catch22",22,0.125799573560768,8,"Mallat"
"Moment 1",1,0.123240938166311,9,"Mallat"
"Moments 1,2",2,0.126652452025586,9,"Mallat"
"Moments 1,2,3",3,0.116417910447761,9,"Mallat"
"Moments 1,2,3,4",4,0.121108742004264,9,"Mallat"
"catch22",22,0.128784648187633,9,"Mallat"
"Moment 1",1,0.124946695095949,10,"Mallat"
"Moments 1,2",2,0.127505330490405,10,"Mallat"
"Moments 1,2,3",3,0.134754797441365,10,"Mallat"
"Moments 1,2,3,4",4,0.133049040511727,10,"Mallat"
"catch22",22,0.125373134328358,10,"Mallat"
"Moment 1",1,0.124520255863539,11,"Mallat"
"Moments 1,2",2,0.128784648187633,11,"Mallat"
"Moments 1,2,3",3,0.120682302771855,11,"Mallat"
"Moments 1,2,3,4",4,0.123240938166311,11,"Mallat"
"catch22",22,0.114712153518124,11,"Mallat"
"Moment 1",1,0.128784648187633,12,"Mallat"
"Moments 1,2",2,0.120682302771855,12,"Mallat"
"Moments 1,2,3",3,0.119402985074627,12,"Mallat"
"Moments 1,2,3,4",4,0.133475479744136,12,"Mallat"
"catch22",22,0.127078891257996,12,"Mallat"
"Moment 1",1,0.128784648187633,13,"Mallat"
"Moments 1,2",2,0.118123667377399,13,"Mallat"
"Moments 1,2,3",3,0.129211087420043,13,"Mallat"
"Moments 1,2,3,4",4,0.127505330490405,13,"Mallat"
"catch22",22,0.132196162046908,13,"Mallat"
"Moment 1",1,0.127078891257996,14,"Mallat"
"Moments 1,2",2,0.132196162046908,14,"Mallat"
"Moments 1,2,3",3,0.136886993603412,14,"Mallat"
"Moments 1,2,3,4",4,0.140298507462687,14,"Mallat"
"catch22",22,0.121108742004264,14,"Mallat"
"Moment 1",1,0.130490405117271,15,"Mallat"
"Moments 1,2",2,0.125799573560768,15,"Mallat"
"Moments 1,2,3",3,0.114712153518124,15,"Mallat"
"Moments 1,2,3,4",4,0.11727078891258,15,"Mallat"
"catch22",22,0.117697228144989,15,"Mallat"
"Moment 1",1,0.121535181236674,16,"Mallat"
"Moments 1,2",2,0.129637526652452,16,"Mallat"
"Moments 1,2,3",3,0.127505330490405,16,"Mallat"
"Moments 1,2,3,4",4,0.128784648187633,16,"Mallat"
"catch22",22,0.128784648187633,16,"Mallat"
"Moment 1",1,0.124520255863539,17,"Mallat"
"Moments 1,2",2,0.132622601279318,17,"Mallat"
"Moments 1,2,3",3,0.141577825159915,17,"Mallat"
"Moments 1,2,3,4",4,0.139872068230277,17,"Mallat"
"catch22",22,0.132622601279318,17,"Mallat"
"Moment 1",1,0.123240938166311,18,"Mallat"
"Moments 1,2",2,0.11044776119403,18,"Mallat"
"Moments 1,2,3",3,0.115138592750533,18,"Mallat"
"Moments 1,2,3,4",4,0.119829424307036,18,"Mallat"
"catch22",22,0.121535181236674,18,"Mallat"
"Moment 1",1,0.123240938166311,19,"Mallat"
"Moments 1,2",2,0.131769722814499,19,"Mallat"
"Moments 1,2,3",3,0.130063965884861,19,"Mallat"
"Moments 1,2,3,4",4,0.127505330490405,19,"Mallat"
"catch22",22,0.132622601279318,19,"Mallat"
"Moment 1",1,0.114712153518124,20,"Mallat"
"Moments 1,2",2,0.118550106609808,20,"Mallat"
"Moments 1,2,3",3,0.122388059701493,20,"Mallat"
"Moments 1,2,3,4",4,0.127505330490405,20,"Mallat"
"catch22",22,0.136034115138593,20,"Mallat"
"Moment 1",1,0.123240938166311,21,"Mallat"
"Moments 1,2",2,0.127078891257996,21,"Mallat"
"Moments 1,2,3",3,0.125373134328358,21,"Mallat"
"Moments 1,2,3,4",4,0.119829424307036,21,"Mallat"
