"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.383333333333333,1,"Meat"
"Moments 1,2",2,0.433333333333333,1,"Meat"
"Moments 1,2,3",3,0.433333333333333,1,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,1,"Meat"
"catch22",20,0.4,1,"Meat"
"Moment 1",1,0.35,2,"Meat"
"Moments 1,2",2,0.283333333333333,2,"Meat"
"Moments 1,2,3",3,0.3,2,"Meat"
"Moments 1,2,3,4",4,0.333333333333333,2,"Meat"
"catch22",21,0.283333333333333,2,"Meat"
"Moment 1",1,0.216666666666667,3,"Meat"
"Moments 1,2",2,0.233333333333333,3,"Meat"
"Moments 1,2,3",3,0.266666666666667,3,"Meat"
"Moments 1,2,3,4",4,0.266666666666667,3,"Meat"
"catch22",20,0.333333333333333,3,"Meat"
"Moment 1",1,0.3,4,"Meat"
"Moments 1,2",2,0.283333333333333,4,"Meat"
"Moments 1,2,3",3,0.266666666666667,4,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,4,"Meat"
"catch22",20,0.4,4,"Meat"
"Moment 1",1,0.216666666666667,5,"Meat"
"Moments 1,2",2,0.316666666666667,5,"Meat"
"Moments 1,2,3",3,0.333333333333333,5,"Meat"
"Moments 1,2,3,4",4,0.333333333333333,5,"Meat"
"catch22",21,0.266666666666667,5,"Meat"
"Moment 1",1,0.233333333333333,6,"Meat"
"Moments 1,2",2,0.266666666666667,6,"Meat"
"Moments 1,2,3",3,0.283333333333333,6,"Meat"
"Moments 1,2,3,4",4,0.283333333333333,6,"Meat"
"catch22",21,0.366666666666667,6,"Meat"
"Moment 1",1,0.383333333333333,7,"Meat"
"Moments 1,2",2,0.383333333333333,7,"Meat"
"Moments 1,2,3",3,0.416666666666667,7,"Meat"
"Moments 1,2,3,4",4,0.433333333333333,7,"Meat"
"catch22",21,0.366666666666667,7,"Meat"
"Moment 1",1,0.4,8,"Meat"
"Moments 1,2",2,0.233333333333333,8,"Meat"
"Moments 1,2,3",3,0.35,8,"Meat"
"Moments 1,2,3,4",4,0.316666666666667,8,"Meat"
"catch22",21,0.25,8,"Meat"
"Moment 1",1,0.333333333333333,9,"Meat"
"Moments 1,2",2,0.316666666666667,9,"Meat"
"Moments 1,2,3",3,0.316666666666667,9,"Meat"
"Moments 1,2,3,4",4,0.283333333333333,9,"Meat"
"catch22",20,0.35,9,"Meat"
"Moment 1",1,0.3,10,"Meat"
"Moments 1,2",2,0.4,10,"Meat"
"Moments 1,2,3",3,0.216666666666667,10,"Meat"
"Moments 1,2,3,4",4,0.25,10,"Meat"
"catch22",21,0.35,10,"Meat"
"Moment 1",1,0.333333333333333,11,"Meat"
"Moments 1,2",2,0.35,11,"Meat"
"Moments 1,2,3",3,0.383333333333333,11,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,11,"Meat"
"catch22",21,0.216666666666667,11,"Meat"
"Moment 1",1,0.35,12,"Meat"
"Moments 1,2",2,0.333333333333333,12,"Meat"
"Moments 1,2,3",3,0.4,12,"Meat"
"Moments 1,2,3,4",4,0.35,12,"Meat"
"catch22",21,0.333333333333333,12,"Meat"
"Moment 1",1,0.25,13,"Meat"
"Moments 1,2",2,0.25,13,"Meat"
"Moments 1,2,3",3,0.266666666666667,13,"Meat"
"Moments 1,2,3,4",4,0.25,13,"Meat"
"catch22",21,0.3,13,"Meat"
"Moment 1",1,0.35,14,"Meat"
"Moments 1,2",2,0.283333333333333,14,"Meat"
"Moments 1,2,3",3,0.233333333333333,14,"Meat"
"Moments 1,2,3,4",4,0.283333333333333,14,"Meat"
"catch22",21,0.3,14,"Meat"
"Moment 1",1,0.416666666666667,15,"Meat"
"Moments 1,2",2,0.383333333333333,15,"Meat"
"Moments 1,2,3",3,0.35,15,"Meat"
"Moments 1,2,3,4",4,0.3,15,"Meat"
"catch22",21,0.483333333333333,15,"Meat"
"Moment 1",1,0.2,16,"Meat"
"Moments 1,2",2,0.25,16,"Meat"
"Moments 1,2,3",3,0.3,16,"Meat"
"Moments 1,2,3,4",4,0.316666666666667,16,"Meat"
"catch22",21,0.35,16,"Meat"
"Moment 1",1,0.333333333333333,17,"Meat"
"Moments 1,2",2,0.35,17,"Meat"
"Moments 1,2,3",3,0.366666666666667,17,"Meat"
"Moments 1,2,3,4",4,0.35,17,"Meat"
"catch22",20,0.35,17,"Meat"
"Moment 1",1,0.3,18,"Meat"
"Moments 1,2",2,0.4,18,"Meat"
"Moments 1,2,3",3,0.316666666666667,18,"Meat"
"Moments 1,2,3,4",4,0.3,18,"Meat"
"catch22",20,0.333333333333333,18,"Meat"
"Moment 1",1,0.4,19,"Meat"
"Moments 1,2",2,0.416666666666667,19,"Meat"
"Moments 1,2,3",3,0.45,19,"Meat"
"Moments 1,2,3,4",4,0.433333333333333,19,"Meat"
"catch22",21,0.35,19,"Meat"
"Moment 1",1,0.35,20,"Meat"
"Moments 1,2",2,0.4,20,"Meat"
"Moments 1,2,3",3,0.383333333333333,20,"Meat"
"Moments 1,2,3,4",4,0.4,20,"Meat"
"catch22",21,0.35,20,"Meat"
"Moment 1",1,0.416666666666667,21,"Meat"
"Moments 1,2",2,0.3,21,"Meat"
"Moments 1,2,3",3,0.266666666666667,21,"Meat"
"Moments 1,2,3,4",4,0.283333333333333,21,"Meat"
"catch22",21,0.233333333333333,21,"Meat"
"Moment 1",1,0.333333333333333,22,"Meat"
"Moments 1,2",2,0.383333333333333,22,"Meat"
"Moments 1,2,3",3,0.366666666666667,22,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,22,"Meat"
"catch22",21,0.333333333333333,22,"Meat"
"Moment 1",1,0.366666666666667,23,"Meat"
"Moments 1,2",2,0.35,23,"Meat"
"Moments 1,2,3",3,0.35,23,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,23,"Meat"
"catch22",21,0.416666666666667,23,"Meat"
"Moment 1",1,0.25,24,"Meat"
"Moments 1,2",2,0.25,24,"Meat"
"Moments 1,2,3",3,0.316666666666667,24,"Meat"
"Moments 1,2,3,4",4,0.316666666666667,24,"Meat"
"catch22",21,0.45,24,"Meat"
"Moment 1",1,0.433333333333333,25,"Meat"
"Moments 1,2",2,0.516666666666667,25,"Meat"
"Moments 1,2,3",3,0.483333333333333,25,"Meat"
"Moments 1,2,3,4",4,0.483333333333333,25,"Meat"
"catch22",21,0.433333333333333,25,"Meat"
"Moment 1",1,0.333333333333333,26,"Meat"
"Moments 1,2",2,0.4,26,"Meat"
"Moments 1,2,3",3,0.35,26,"Meat"
"Moments 1,2,3,4",4,0.433333333333333,26,"Meat"
"catch22",21,0.45,26,"Meat"
"Moment 1",1,0.416666666666667,27,"Meat"
"Moments 1,2",2,0.316666666666667,27,"Meat"
"Moments 1,2,3",3,0.316666666666667,27,"Meat"
"Moments 1,2,3,4",4,0.3,27,"Meat"
"catch22",20,0.3,27,"Meat"
"Moment 1",1,0.35,28,"Meat"
"Moments 1,2",2,0.3,28,"Meat"
"Moments 1,2,3",3,0.333333333333333,28,"Meat"
"Moments 1,2,3,4",4,0.416666666666667,28,"Meat"
"catch22",21,0.266666666666667,28,"Meat"
"Moment 1",1,0.316666666666667,29,"Meat"
"Moments 1,2",2,0.366666666666667,29,"Meat"
"Moments 1,2,3",3,0.3,29,"Meat"
"Moments 1,2,3,4",4,0.283333333333333,29,"Meat"
"catch22",21,0.433333333333333,29,"Meat"
"Moment 1",1,0.366666666666667,30,"Meat"
"Moments 1,2",2,0.45,30,"Meat"
"Moments 1,2,3",3,0.383333333333333,30,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,30,"Meat"
"catch22",21,0.316666666666667,30,"Meat"
"Moment 1",1,0.35,31,"Meat"
"Moments 1,2",2,0.3,31,"Meat"
"Moments 1,2,3",3,0.366666666666667,31,"Meat"
"Moments 1,2,3,4",4,0.366666666666667,31,"Meat"
"catch22",20,0.25,31,"Meat"
"Moment 1",1,0.366666666666667,32,"Meat"
"Moments 1,2",2,0.3,32,"Meat"
"Moments 1,2,3",3,0.383333333333333,32,"Meat"
"Moments 1,2,3,4",4,0.383333333333333,32,"Meat"
"catch22",21,0.333333333333333,32,"Meat"
"Moment 1",1,0.316666666666667,33,"Meat"
"Moments 1,2",2,0.383333333333333,33,"Meat"
"Moments 1,2,3",3,0.3,33,"Meat"
"Moments 1,2,3,4",4,0.35,33,"Meat"
"catch22",21,0.316666666666667,33,"Meat"
"Moment 1",1,0.333333333333333,34,"Meat"
"Moments 1,2",2,0.3,34,"Meat"
"Moments 1,2,3",3,0.333333333333333,34,"Meat"
"Moments 1,2,3,4",4,0.316666666666667,34,"Meat"
"catch22",21,0.35,34,"Meat"
"Moment 1",1,0.383333333333333,35,"Meat"
"Moments 1,2",2,0.35,35,"Meat"
"Moments 1,2,3",3,0.333333333333333,35,"Meat"
"Moments 1,2,3,4",4,0.416666666666667,35,"Meat"
"catch22",21,0.45,35,"Meat"
"Moment 1",1,0.283333333333333,36,"Meat"
"Moments 1,2",2,0.283333333333333,36,"Meat"
"Moments 1,2,3",3,0.333333333333333,36,"Meat"
"Moments 1,2,3,4",4,0.333333333333333,36,"Meat"
"catch22",21,0.316666666666667,36,"Meat"
"Moment 1",1,0.333333333333333,37,"Meat"
"Moments 1,2",2,0.283333333333333,37,"Meat"
"Moments 1,2,3",3,0.3,37,"Meat"
"Moments 1,2,3,4",4,0.316666666666667,37,"Meat"
"catch22",21,0.316666666666667,37,"Meat"
"Moment 1",1,0.433333333333333,38,"Meat"
"Moments 1,2",2,0.316666666666667,38,"Meat"
"Moments 1,2,3",3,0.3,38,"Meat"
"Moments 1,2,3,4",4,0.283333333333333,38,"Meat"
"catch22",21,0.35,38,"Meat"
"Moment 1",1,0.35,39,"Meat"
"Moments 1,2",2,0.333333333333333,39,"Meat"
"Moments 1,2,3",3,0.283333333333333,39,"Meat"
"Moments 1,2,3,4",4,0.25,39,"Meat"
"catch22",20,0.2,39,"Meat"
"Moment 1",1,0.3,40,"Meat"
"Moments 1,2",2,0.283333333333333,40,"Meat"
"Moments 1,2,3",3,0.383333333333333,40,"Meat"
"Moments 1,2,3,4",4,0.416666666666667,40,"Meat"
"catch22",21,0.433333333333333,40,"Meat"
"Moment 1",1,0.416666666666667,41,"Meat"
"Moments 1,2",2,0.266666666666667,41,"Meat"
"Moments 1,2,3",3,0.266666666666667,41,"Meat"
"Moments 1,2,3,4",4,0.3,41,"Meat"
"catch22",21,0.266666666666667,41,"Meat"
"Moment 1",1,0.366666666666667,42,"Meat"
"Moments 1,2",2,0.266666666666667,42,"Meat"
"Moments 1,2,3",3,0.4,42,"Meat"
"Moments 1,2,3,4",4,0.333333333333333,42,"Meat"
"catch22",21,0.35,42,"Meat"
"Moment 1",1,0.4,43,"Meat"
"Moments 1,2",2,0.35,43,"Meat"
"Moments 1,2,3",3,0.483333333333333,43,"Meat"
"Moments 1,2,3,4",4,0.5,43,"Meat"
"catch22",21,0.316666666666667,43,"Meat"
"Moment 1",1,0.333333333333333,44,"Meat"
"Moments 1,2",2,0.333333333333333,44,"Meat"
"Moments 1,2,3",3,0.366666666666667,44,"Meat"
"Moments 1,2,3,4",4,0.3,44,"Meat"
"catch22",20,0.333333333333333,44,"Meat"
"Moment 1",1,0.333333333333333,45,"Meat"
"Moments 1,2",2,0.316666666666667,45,"Meat"
"Moments 1,2,3",3,0.4,45,"Meat"
"Moments 1,2,3,4",4,0.4,45,"Meat"
"catch22",21,0.3,45,"Meat"
"Moment 1",1,0.316666666666667,46,"Meat"
