"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.570446735395189,1,"MiddlePhalanxOutlineCorrect"
"Moments 1,2",2,0.570446735395189,1,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3",3,0.570446735395189,1,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.570446735395189,1,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.570446735395189,1,"MiddlePhalanxOutlineCorrect"
"Moment 1",1,0.570446735395189,2,"MiddlePhalanxOutlineCorrect"
"Moments 1,2",2,0.570446735395189,2,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3",3,0.570446735395189,2,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.570446735395189,2,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.570446735395189,2,"MiddlePhalanxOutlineCorrect"
"Moment 1",1,0.570446735395189,3,"MiddlePhalanxOutlineCorrect"
"Moments 1,2",2,0.570446735395189,3,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3",3,0.570446735395189,3,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.570446735395189,3,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.56701030927835,3,"MiddlePhalanxOutlineCorrect"
"Moment 1",1,0.570446735395189,4,"MiddlePhalanxOutlineCorrect"
"Moments 1,2",2,0.570446735395189,4,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3",3,0.570446735395189,4,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.570446735395189,4,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.570446735395189,4,"MiddlePhalanxOutlineCorrect"
"Moment 1",1,0.570446735395189,5,"MiddlePhalanxOutlineCorrect"
"Moments 1,2",2,0.570446735395189,5,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3",3,0.570446735395189,5,"MiddlePhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.570446735395189,5,"MiddlePhalanxOutlineCorrect"
