"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.191752577319588,1,"MixedShapesRegularTrain"
"Moments 1,2",2,0.181443298969072,1,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.179381443298969,1,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.190927835051546,1,"MixedShapesRegularTrain"
"catch22",24,0.190103092783505,1,"MixedShapesRegularTrain"
"Moment 1",1,0.184329896907216,2,"MixedShapesRegularTrain"
"Moments 1,2",2,0.185567010309278,2,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.185979381443299,2,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.175257731958763,2,"MixedShapesRegularTrain"
"catch22",23,0.206185567010309,2,"MixedShapesRegularTrain"
"Moment 1",1,0.231340206185567,3,"MixedShapesRegularTrain"
"Moments 1,2",2,0.190515463917526,3,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.218556701030928,3,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.218556701030928,3,"MixedShapesRegularTrain"
"catch22",23,0.19340206185567,3,"MixedShapesRegularTrain"
"Moment 1",1,0.195463917525773,4,"MixedShapesRegularTrain"
"Moments 1,2",2,0.21360824742268,4,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.2,4,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.199175257731959,4,"MixedShapesRegularTrain"
"catch22",23,0.202886597938144,4,"MixedShapesRegularTrain"
"Moment 1",1,0.195876288659794,5,"MixedShapesRegularTrain"
"Moments 1,2",2,0.169896907216495,5,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.205360824742268,5,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.209484536082474,5,"MixedShapesRegularTrain"
"catch22",23,0.207422680412371,5,"MixedShapesRegularTrain"
"Moment 1",1,0.163298969072165,6,"MixedShapesRegularTrain"
"Moments 1,2",2,0.20701030927835,6,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.198762886597938,6,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.203711340206186,6,"MixedShapesRegularTrain"
"catch22",24,0.183092783505155,6,"MixedShapesRegularTrain"
"Moment 1",1,0.24659793814433,7,"MixedShapesRegularTrain"
"Moments 1,2",2,0.228865979381443,7,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.2,7,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.202474226804124,7,"MixedShapesRegularTrain"
"catch22",23,0.199175257731959,7,"MixedShapesRegularTrain"
"Moment 1",1,0.195051546391753,8,"MixedShapesRegularTrain"
"Moments 1,2",2,0.21319587628866,8,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.240412371134021,8,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.221030927835052,8,"MixedShapesRegularTrain"
"catch22",23,0.204123711340206,8,"MixedShapesRegularTrain"
"Moment 1",1,0.170721649484536,9,"MixedShapesRegularTrain"
"Moments 1,2",2,0.182680412371134,9,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.183917525773196,9,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.181030927835052,9,"MixedShapesRegularTrain"
"catch22",23,0.174432989690722,9,"MixedShapesRegularTrain"
"Moment 1",1,0.214432989690722,10,"MixedShapesRegularTrain"
"Moments 1,2",2,0.195876288659794,10,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.207835051546392,10,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.212371134020619,10,"MixedShapesRegularTrain"
"catch22",24,0.183917525773196,10,"MixedShapesRegularTrain"
