"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.539137380191693,1,"MoteStrain"
"Moments 1,2",2,0.54073482428115,1,"MoteStrain"
"Moments 1,2,3",3,0.463258785942492,1,"MoteStrain"
"Moments 1,2,3,4",4,0.460862619808307,1,"MoteStrain"
"catch22",24,0.492012779552716,1,"MoteStrain"
"Moment 1",1,0.492811501597444,2,"MoteStrain"
"Moments 1,2",2,0.484025559105431,2,"MoteStrain"
"Moments 1,2,3",3,0.494408945686901,2,"MoteStrain"
"Moments 1,2,3,4",4,0.490415335463259,2,"MoteStrain"
"catch22",24,0.486421725239617,2,"MoteStrain"
"Moment 1",1,0.48482428115016,3,"MoteStrain"
"Moments 1,2",2,0.46964856230032,3,"MoteStrain"
"Moments 1,2,3",3,0.462460063897764,3,"MoteStrain"
"Moments 1,2,3,4",4,0.485623003194888,3,"MoteStrain"
"catch22",24,0.509584664536741,3,"MoteStrain"
"Moment 1",1,0.503194888178914,4,"MoteStrain"
"Moments 1,2",2,0.501597444089457,4,"MoteStrain"
"Moments 1,2,3",3,0.504792332268371,4,"MoteStrain"
"Moments 1,2,3,4",4,0.516773162939297,4,"MoteStrain"
"catch22",24,0.512779552715655,4,"MoteStrain"
"Moment 1",1,0.507987220447284,5,"MoteStrain"
"Moments 1,2",2,0.516773162939297,5,"MoteStrain"
"Moments 1,2,3",3,0.521565495207668,5,"MoteStrain"
"Moments 1,2,3,4",4,0.507987220447284,5,"MoteStrain"
"catch22",24,0.511980830670926,5,"MoteStrain"
"Moment 1",1,0.492012779552716,6,"MoteStrain"
"Moments 1,2",2,0.492012779552716,6,"MoteStrain"
"Moments 1,2,3",3,0.495207667731629,6,"MoteStrain"
"Moments 1,2,3,4",4,0.490415335463259,6,"MoteStrain"
"catch22",24,0.511182108626198,6,"MoteStrain"
"Moment 1",1,0.53035143769968,7,"MoteStrain"
"Moments 1,2",2,0.509584664536741,7,"MoteStrain"
"Moments 1,2,3",3,0.509584664536741,7,"MoteStrain"
"Moments 1,2,3,4",4,0.51038338658147,7,"MoteStrain"
"catch22",24,0.511182108626198,7,"MoteStrain"
"Moment 1",1,0.505591054313099,8,"MoteStrain"
"Moments 1,2",2,0.508785942492013,8,"MoteStrain"
"Moments 1,2,3",3,0.51038338658147,8,"MoteStrain"
"Moments 1,2,3,4",4,0.509584664536741,8,"MoteStrain"
"catch22",24,0.515974440894569,8,"MoteStrain"
"Moment 1",1,0.498402555910543,9,"MoteStrain"
"Moments 1,2",2,0.485623003194888,9,"MoteStrain"
"Moments 1,2,3",3,0.492811501597444,9,"MoteStrain"
"Moments 1,2,3,4",4,0.496006389776358,9,"MoteStrain"
"catch22",24,0.51517571884984,9,"MoteStrain"
"Moment 1",1,0.487220447284345,10,"MoteStrain"
"Moments 1,2",2,0.48482428115016,10,"MoteStrain"
"Moments 1,2,3",3,0.48961661341853,10,"MoteStrain"
"Moments 1,2,3,4",4,0.487220447284345,10,"MoteStrain"
"catch22",24,0.488817891373802,10,"MoteStrain"
"Moment 1",1,0.484025559105431,11,"MoteStrain"
"Moments 1,2",2,0.483226837060703,11,"MoteStrain"
"Moments 1,2,3",3,0.522364217252396,11,"MoteStrain"
"Moments 1,2,3,4",4,0.521565495207668,11,"MoteStrain"
"catch22",24,0.504792332268371,11,"MoteStrain"
"Moment 1",1,0.491214057507987,12,"MoteStrain"
"Moments 1,2",2,0.486421725239617,12,"MoteStrain"
"Moments 1,2,3",3,0.48482428115016,12,"MoteStrain"
"Moments 1,2,3,4",4,0.493610223642172,12,"MoteStrain"
"catch22",24,0.503194888178914,12,"MoteStrain"
"Moment 1",1,0.458466453674121,13,"MoteStrain"
"Moments 1,2",2,0.461661341853035,13,"MoteStrain"
"Moments 1,2,3",3,0.46405750798722,13,"MoteStrain"
"Moments 1,2,3,4",4,0.464856230031949,13,"MoteStrain"
"catch22",24,0.481629392971246,13,"MoteStrain"
"Moment 1",1,0.508785942492013,14,"MoteStrain"
"Moments 1,2",2,0.514376996805112,14,"MoteStrain"
"Moments 1,2,3",3,0.495207667731629,14,"MoteStrain"
"Moments 1,2,3,4",4,0.504792332268371,14,"MoteStrain"
"catch22",24,0.51517571884984,14,"MoteStrain"
"Moment 1",1,0.511980830670926,15,"MoteStrain"
"Moments 1,2",2,0.504792332268371,15,"MoteStrain"
"Moments 1,2,3",3,0.521565495207668,15,"MoteStrain"
"Moments 1,2,3,4",4,0.524760383386581,15,"MoteStrain"
"catch22",24,0.500798722044728,15,"MoteStrain"
"Moment 1",1,0.460063897763578,16,"MoteStrain"
"Moments 1,2",2,0.48482428115016,16,"MoteStrain"
"Moments 1,2,3",3,0.492012779552716,16,"MoteStrain"
"Moments 1,2,3,4",4,0.509584664536741,16,"MoteStrain"
"catch22",24,0.523961661341853,16,"MoteStrain"
"Moment 1",1,0.491214057507987,17,"MoteStrain"
"Moments 1,2",2,0.476837060702875,17,"MoteStrain"
"Moments 1,2,3",3,0.479233226837061,17,"MoteStrain"
"Moments 1,2,3,4",4,0.472044728434505,17,"MoteStrain"
"catch22",24,0.503993610223642,17,"MoteStrain"
"Moment 1",1,0.495207667731629,18,"MoteStrain"
"Moments 1,2",2,0.497603833865815,18,"MoteStrain"
"Moments 1,2,3",3,0.500798722044728,18,"MoteStrain"
"Moments 1,2,3,4",4,0.48961661341853,18,"MoteStrain"
"catch22",24,0.494408945686901,18,"MoteStrain"
"Moment 1",1,0.470447284345048,19,"MoteStrain"
"Moments 1,2",2,0.498402555910543,19,"MoteStrain"
"Moments 1,2,3",3,0.492811501597444,19,"MoteStrain"
"Moments 1,2,3,4",4,0.491214057507987,19,"MoteStrain"
"catch22",24,0.494408945686901,19,"MoteStrain"
"Moment 1",1,0.537539936102236,20,"MoteStrain"
"Moments 1,2",2,0.473642172523962,20,"MoteStrain"
"Moments 1,2,3",3,0.477635782747604,20,"MoteStrain"
"Moments 1,2,3,4",4,0.479233226837061,20,"MoteStrain"
"catch22",24,0.480031948881789,20,"MoteStrain"
"Moment 1",1,0.512779552715655,21,"MoteStrain"
