"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.181818181818182,1,"OSULeaf"
"Moments 1,2",2,0.181818181818182,1,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,1,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,1,"OSULeaf"
"catch22",24,0.136363636363636,1,"OSULeaf"
"Moment 1",1,0.181818181818182,2,"OSULeaf"
"Moments 1,2",2,0.181818181818182,2,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,2,"OSULeaf"
"Moments 1,2,3,4",4,0.190082644628099,2,"OSULeaf"
"catch22",24,0.15702479338843,2,"OSULeaf"
"Moment 1",1,0.181818181818182,3,"OSULeaf"
"Moments 1,2",2,0.181818181818182,3,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,3,"OSULeaf"
"Moments 1,2,3,4",4,0.198347107438017,3,"OSULeaf"
"catch22",24,0.12396694214876,3,"OSULeaf"
"Moment 1",1,0.181818181818182,4,"OSULeaf"
"Moments 1,2",2,0.181818181818182,4,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,4,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,4,"OSULeaf"
"catch22",24,0.165289256198347,4,"OSULeaf"
"Moment 1",1,0.181818181818182,5,"OSULeaf"
"Moments 1,2",2,0.181818181818182,5,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,5,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,5,"OSULeaf"
"catch22",24,0.136363636363636,5,"OSULeaf"
"Moment 1",1,0.181818181818182,6,"OSULeaf"
"Moments 1,2",2,0.181818181818182,6,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,6,"OSULeaf"
"Moments 1,2,3,4",4,0.15702479338843,6,"OSULeaf"
"catch22",24,0.210743801652893,6,"OSULeaf"
"Moment 1",1,0.181818181818182,7,"OSULeaf"
"Moments 1,2",2,0.181818181818182,7,"OSULeaf"
"Moments 1,2,3",3,0.18595041322314,7,"OSULeaf"
"Moments 1,2,3,4",4,0.18595041322314,7,"OSULeaf"
"catch22",24,0.169421487603306,7,"OSULeaf"
"Moment 1",1,0.181818181818182,8,"OSULeaf"
"Moments 1,2",2,0.181818181818182,8,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,8,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,8,"OSULeaf"
"catch22",24,0.18595041322314,8,"OSULeaf"
"Moment 1",1,0.181818181818182,9,"OSULeaf"
"Moments 1,2",2,0.181818181818182,9,"OSULeaf"
"Moments 1,2,3",3,0.206611570247934,9,"OSULeaf"
"Moments 1,2,3,4",4,0.206611570247934,9,"OSULeaf"
"catch22",24,0.169421487603306,9,"OSULeaf"
"Moment 1",1,0.181818181818182,10,"OSULeaf"
"Moments 1,2",2,0.181818181818182,10,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,10,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,10,"OSULeaf"
"catch22",24,0.177685950413223,10,"OSULeaf"
"Moment 1",1,0.181818181818182,11,"OSULeaf"
"Moments 1,2",2,0.181818181818182,11,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,11,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,11,"OSULeaf"
"catch22",24,0.165289256198347,11,"OSULeaf"
"Moment 1",1,0.181818181818182,12,"OSULeaf"
"Moments 1,2",2,0.181818181818182,12,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,12,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,12,"OSULeaf"
"catch22",24,0.190082644628099,12,"OSULeaf"
"Moment 1",1,0.181818181818182,13,"OSULeaf"
"Moments 1,2",2,0.181818181818182,13,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,13,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,13,"OSULeaf"
"catch22",24,0.173553719008264,13,"OSULeaf"
"Moment 1",1,0.181818181818182,14,"OSULeaf"
"Moments 1,2",2,0.173553719008264,14,"OSULeaf"
"Moments 1,2,3",3,0.177685950413223,14,"OSULeaf"
"Moments 1,2,3,4",4,0.18595041322314,14,"OSULeaf"
"catch22",24,0.198347107438017,14,"OSULeaf"
"Moment 1",1,0.181818181818182,15,"OSULeaf"
"Moments 1,2",2,0.181818181818182,15,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,15,"OSULeaf"
"Moments 1,2,3,4",4,0.181818181818182,15,"OSULeaf"
"catch22",24,0.190082644628099,15,"OSULeaf"
"Moment 1",1,0.181818181818182,16,"OSULeaf"
"Moments 1,2",2,0.181818181818182,16,"OSULeaf"
"Moments 1,2,3",3,0.181818181818182,16,"OSULeaf"
