"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.54945054945055,1,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,1,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,1,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,1,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,1,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,2,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,2,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,2,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,2,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,2,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,3,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,3,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,3,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,3,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,3,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,4,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,4,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,4,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,4,"PhoneHeartbeatSound"
"catch22",24,0.527472527472527,4,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,5,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,5,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,5,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,5,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,5,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,6,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,6,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,6,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,6,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,6,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,7,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,7,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,7,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,7,"PhoneHeartbeatSound"
"catch22",24,0.543956043956044,7,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,8,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,8,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,8,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,8,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,8,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,9,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,9,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,9,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,9,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,9,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,10,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,10,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,10,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,10,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,10,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,11,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,11,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,11,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,11,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,11,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,12,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,12,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,12,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,12,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,12,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,13,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,13,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,13,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,13,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,13,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,14,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,14,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,14,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,14,"PhoneHeartbeatSound"
"catch22",24,0.543956043956044,14,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,15,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,15,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,15,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,15,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,15,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,16,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,16,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,16,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,16,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,16,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,17,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,17,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,17,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,17,"PhoneHeartbeatSound"
"catch22",24,0.532967032967033,17,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,18,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,18,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,18,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,18,"PhoneHeartbeatSound"
"catch22",24,0.543956043956044,18,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,19,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,19,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,19,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,19,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,19,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,20,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,20,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,20,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,20,"PhoneHeartbeatSound"
"catch22",24,0.54945054945055,20,"PhoneHeartbeatSound"
"Moment 1",1,0.54945054945055,21,"PhoneHeartbeatSound"
"Moments 1,2",2,0.54945054945055,21,"PhoneHeartbeatSound"
"Moments 1,2,3",3,0.54945054945055,21,"PhoneHeartbeatSound"
"Moments 1,2,3,4",4,0.54945054945055,21,"PhoneHeartbeatSound"
