"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.351219512195122,1,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,1,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,1,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,1,"ProximalPhalanxTW"
"catch22",24,0.375609756097561,1,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,2,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,2,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,2,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,2,"ProximalPhalanxTW"
"catch22",23,0.351219512195122,2,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,3,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,3,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,3,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,3,"ProximalPhalanxTW"
"catch22",24,0.341463414634146,3,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,4,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,4,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,4,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,4,"ProximalPhalanxTW"
"catch22",23,0.35609756097561,4,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,5,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,5,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,5,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,5,"ProximalPhalanxTW"
"catch22",24,0.365853658536585,5,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,6,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,6,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,6,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,6,"ProximalPhalanxTW"
"catch22",24,0.35609756097561,6,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,7,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,7,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,7,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,7,"ProximalPhalanxTW"
"catch22",24,0.351219512195122,7,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,8,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,8,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,8,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,8,"ProximalPhalanxTW"
"catch22",23,0.351219512195122,8,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,9,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,9,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,9,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,9,"ProximalPhalanxTW"
"catch22",24,0.331707317073171,9,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,10,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,10,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,10,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,10,"ProximalPhalanxTW"
"catch22",24,0.326829268292683,10,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,11,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,11,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,11,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,11,"ProximalPhalanxTW"
"catch22",24,0.346341463414634,11,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,12,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,12,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,12,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,12,"ProximalPhalanxTW"
"catch22",24,0.351219512195122,12,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,13,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,13,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,13,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,13,"ProximalPhalanxTW"
"catch22",24,0.351219512195122,13,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,14,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,14,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,14,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,14,"ProximalPhalanxTW"
"catch22",24,0.360975609756098,14,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,15,"ProximalPhalanxTW"
"Moments 1,2",2,0.351219512195122,15,"ProximalPhalanxTW"
"Moments 1,2,3",3,0.351219512195122,15,"ProximalPhalanxTW"
"Moments 1,2,3,4",4,0.351219512195122,15,"ProximalPhalanxTW"
"catch22",24,0.360975609756098,15,"ProximalPhalanxTW"
"Moment 1",1,0.351219512195122,16,"ProximalPhalanxTW"
