"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.354666666666667,1,"RefrigerationDevices"
"Moments 1,2",2,0.36,1,"RefrigerationDevices"
"Moments 1,2,3",3,0.352,1,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.336,1,"RefrigerationDevices"
"catch22",24,0.338666666666667,1,"RefrigerationDevices"
"Moment 1",1,0.330666666666667,2,"RefrigerationDevices"
"Moments 1,2",2,0.354666666666667,2,"RefrigerationDevices"
"Moments 1,2,3",3,0.325333333333333,2,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.322666666666667,2,"RefrigerationDevices"
"catch22",24,0.301333333333333,2,"RefrigerationDevices"
"Moment 1",1,0.314666666666667,3,"RefrigerationDevices"
"Moments 1,2",2,0.306666666666667,3,"RefrigerationDevices"
"Moments 1,2,3",3,0.306666666666667,3,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.309333333333333,3,"RefrigerationDevices"
"catch22",24,0.325333333333333,3,"RefrigerationDevices"
"Moment 1",1,0.336,4,"RefrigerationDevices"
"Moments 1,2",2,0.333333333333333,4,"RefrigerationDevices"
"Moments 1,2,3",3,0.333333333333333,4,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.328,4,"RefrigerationDevices"
"catch22",24,0.314666666666667,4,"RefrigerationDevices"
"Moment 1",1,0.352,5,"RefrigerationDevices"
"Moments 1,2",2,0.330666666666667,5,"RefrigerationDevices"
"Moments 1,2,3",3,0.336,5,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.306666666666667,5,"RefrigerationDevices"
"catch22",24,0.346666666666667,5,"RefrigerationDevices"
"Moment 1",1,0.333333333333333,6,"RefrigerationDevices"
"Moments 1,2",2,0.370666666666667,6,"RefrigerationDevices"
"Moments 1,2,3",3,0.36,6,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.352,6,"RefrigerationDevices"
"catch22",24,0.354666666666667,6,"RefrigerationDevices"
"Moment 1",1,0.314666666666667,7,"RefrigerationDevices"
"Moments 1,2",2,0.330666666666667,7,"RefrigerationDevices"
"Moments 1,2,3",3,0.338666666666667,7,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.346666666666667,7,"RefrigerationDevices"
"catch22",24,0.32,7,"RefrigerationDevices"
"Moment 1",1,0.322666666666667,8,"RefrigerationDevices"
"Moments 1,2",2,0.362666666666667,8,"RefrigerationDevices"
