"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.0166666666666667,1,"ShapesAll"
"Moments 1,2",2,0.0183333333333333,1,"ShapesAll"
"Moments 1,2,3",3,0.0183333333333333,1,"ShapesAll"
"Moments 1,2,3,4",4,0.0166666666666667,1,"ShapesAll"
"catch22",24,0.02,1,"ShapesAll"
"Moment 1",1,0.02,2,"ShapesAll"
"Moments 1,2",2,0.0233333333333333,2,"ShapesAll"
"Moments 1,2,3",3,0.0233333333333333,2,"ShapesAll"
"Moments 1,2,3,4",4,0.015,2,"ShapesAll"
"catch22",24,0.015,2,"ShapesAll"
"Moment 1",1,0.015,3,"ShapesAll"
"Moments 1,2",2,0.0166666666666667,3,"ShapesAll"
"Moments 1,2,3",3,0.0216666666666667,3,"ShapesAll"
"Moments 1,2,3,4",4,0.0183333333333333,3,"ShapesAll"
"catch22",24,0.0166666666666667,3,"ShapesAll"
"Moment 1",1,0.0166666666666667,4,"ShapesAll"
"Moments 1,2",2,0.01,4,"ShapesAll"
"Moments 1,2,3",3,0.0166666666666667,4,"ShapesAll"
"Moments 1,2,3,4",4,0.00833333333333333,4,"ShapesAll"
"catch22",24,0.015,4,"ShapesAll"
"Moment 1",1,0.0216666666666667,5,"ShapesAll"
"Moments 1,2",2,0.015,5,"ShapesAll"
"Moments 1,2,3",3,0.015,5,"ShapesAll"
"Moments 1,2,3,4",4,0.0133333333333333,5,"ShapesAll"
"catch22",24,0.00833333333333333,5,"ShapesAll"
"Moment 1",1,0.0133333333333333,6,"ShapesAll"
"Moments 1,2",2,0.015,6,"ShapesAll"
"Moments 1,2,3",3,0.015,6,"ShapesAll"
"Moments 1,2,3,4",4,0.00166666666666667,6,"ShapesAll"
"catch22",24,0.01,6,"ShapesAll"
"Moment 1",1,0.015,7,"ShapesAll"
"Moments 1,2",2,0.015,7,"ShapesAll"
"Moments 1,2,3",3,0.005,7,"ShapesAll"
"Moments 1,2,3,4",4,0.0183333333333333,7,"ShapesAll"
"catch22",24,0.0166666666666667,7,"ShapesAll"
"Moment 1",1,0.01,8,"ShapesAll"
"Moments 1,2",2,0.0216666666666667,8,"ShapesAll"
"Moments 1,2,3",3,0.0166666666666667,8,"ShapesAll"
"Moments 1,2,3,4",4,0.0116666666666667,8,"ShapesAll"
"catch22",24,0.0133333333333333,8,"ShapesAll"
"Moment 1",1,0.0166666666666667,9,"ShapesAll"
"Moments 1,2",2,0.0183333333333333,9,"ShapesAll"
"Moments 1,2,3",3,0.015,9,"ShapesAll"
"Moments 1,2,3,4",4,0.0133333333333333,9,"ShapesAll"
"catch22",24,0.0133333333333333,9,"ShapesAll"
"Moment 1",1,0.0183333333333333,10,"ShapesAll"
"Moments 1,2",2,0.0166666666666667,10,"ShapesAll"
"Moments 1,2,3",3,0.00833333333333333,10,"ShapesAll"
"Moments 1,2,3,4",4,0.0116666666666667,10,"ShapesAll"
"catch22",24,0.02,10,"ShapesAll"
"Moment 1",1,0.0166666666666667,11,"ShapesAll"
"Moments 1,2",2,0.0183333333333333,11,"ShapesAll"
"Moments 1,2,3",3,0.0166666666666667,11,"ShapesAll"
"Moments 1,2,3,4",4,0.01,11,"ShapesAll"
"catch22",24,0.015,11,"ShapesAll"
"Moment 1",1,0.02,12,"ShapesAll"
"Moments 1,2",2,0.00833333333333333,12,"ShapesAll"
"Moments 1,2,3",3,0.015,12,"ShapesAll"
"Moments 1,2,3,4",4,0.0116666666666667,12,"ShapesAll"
"catch22",24,0.0233333333333333,12,"ShapesAll"
"Moment 1",1,0.0233333333333333,13,"ShapesAll"
"Moments 1,2",2,0.0266666666666667,13,"ShapesAll"
"Moments 1,2,3",3,0.01,13,"ShapesAll"
"Moments 1,2,3,4",4,0.0216666666666667,13,"ShapesAll"
"catch22",24,0.0166666666666667,13,"ShapesAll"
"Moment 1",1,0.02,14,"ShapesAll"
"Moments 1,2",2,0.0183333333333333,14,"ShapesAll"
"Moments 1,2,3",3,0.0233333333333333,14,"ShapesAll"
"Moments 1,2,3,4",4,0.0183333333333333,14,"ShapesAll"
"catch22",24,0.0133333333333333,14,"ShapesAll"
"Moment 1",1,0.0116666666666667,15,"ShapesAll"
"Moments 1,2",2,0.02,15,"ShapesAll"
"Moments 1,2,3",3,0.0116666666666667,15,"ShapesAll"
"Moments 1,2,3,4",4,0.00666666666666667,15,"ShapesAll"
"catch22",24,0.0133333333333333,15,"ShapesAll"
"Moment 1",1,0.00833333333333333,16,"ShapesAll"
"Moments 1,2",2,0.015,16,"ShapesAll"
"Moments 1,2,3",3,0.01,16,"ShapesAll"
"Moments 1,2,3,4",4,0.0183333333333333,16,"ShapesAll"
"catch22",24,0.015,16,"ShapesAll"
"Moment 1",1,0.01,17,"ShapesAll"
"Moments 1,2",2,0.0116666666666667,17,"ShapesAll"
"Moments 1,2,3",3,0.0116666666666667,17,"ShapesAll"
"Moments 1,2,3,4",4,0.025,17,"ShapesAll"
"catch22",24,0.0183333333333333,17,"ShapesAll"
"Moment 1",1,0.0133333333333333,18,"ShapesAll"
"Moments 1,2",2,0.02,18,"ShapesAll"
"Moments 1,2,3",3,0.005,18,"ShapesAll"
"Moments 1,2,3,4",4,0.00833333333333333,18,"ShapesAll"
"catch22",24,0.015,18,"ShapesAll"
"Moment 1",1,0.025,19,"ShapesAll"
"Moments 1,2",2,0.0216666666666667,19,"ShapesAll"
"Moments 1,2,3",3,0.0133333333333333,19,"ShapesAll"
"Moments 1,2,3,4",4,0.015,19,"ShapesAll"
"catch22",24,0.0116666666666667,19,"ShapesAll"
"Moment 1",1,0.0183333333333333,20,"ShapesAll"
"Moments 1,2",2,0.0216666666666667,20,"ShapesAll"
"Moments 1,2,3",3,0.025,20,"ShapesAll"
"Moments 1,2,3,4",4,0.0166666666666667,20,"ShapesAll"
"catch22",24,0.0233333333333333,20,"ShapesAll"
"Moment 1",1,0.015,21,"ShapesAll"
"Moments 1,2",2,0.0233333333333333,21,"ShapesAll"
"Moments 1,2,3",3,0.0166666666666667,21,"ShapesAll"
"Moments 1,2,3,4",4,0.0266666666666667,21,"ShapesAll"
"catch22",24,0.0183333333333333,21,"ShapesAll"
"Moment 1",1,0.0216666666666667,22,"ShapesAll"
"Moments 1,2",2,0.00833333333333333,22,"ShapesAll"
"Moments 1,2,3",3,0.0183333333333333,22,"ShapesAll"
"Moments 1,2,3,4",4,0.02,22,"ShapesAll"
"catch22",24,0.015,22,"ShapesAll"
"Moment 1",1,0.02,23,"ShapesAll"
"Moments 1,2",2,0.0166666666666667,23,"ShapesAll"
"Moments 1,2,3",3,0.0116666666666667,23,"ShapesAll"
"Moments 1,2,3,4",4,0.0166666666666667,23,"ShapesAll"
"catch22",24,0.0183333333333333,23,"ShapesAll"
"Moment 1",1,0.0116666666666667,24,"ShapesAll"
"Moments 1,2",2,0.0166666666666667,24,"ShapesAll"
"Moments 1,2,3",3,0.02,24,"ShapesAll"
"Moments 1,2,3,4",4,0.0116666666666667,24,"ShapesAll"
"catch22",24,0.0216666666666667,24,"ShapesAll"
"Moment 1",1,0.00666666666666667,25,"ShapesAll"
"Moments 1,2",2,0.0133333333333333,25,"ShapesAll"
"Moments 1,2,3",3,0.0116666666666667,25,"ShapesAll"
"Moments 1,2,3,4",4,0.0116666666666667,25,"ShapesAll"
"catch22",24,0.015,25,"ShapesAll"
"Moment 1",1,0.0133333333333333,26,"ShapesAll"
"Moments 1,2",2,0.02,26,"ShapesAll"
"Moments 1,2,3",3,0.0166666666666667,26,"ShapesAll"
"Moments 1,2,3,4",4,0.0183333333333333,26,"ShapesAll"
"catch22",24,0.0216666666666667,26,"ShapesAll"
"Moment 1",1,0.015,27,"ShapesAll"
"Moments 1,2",2,0.015,27,"ShapesAll"
"Moments 1,2,3",3,0.005,27,"ShapesAll"
"Moments 1,2,3,4",4,0.00666666666666667,27,"ShapesAll"
"catch22",24,0.015,27,"ShapesAll"
"Moment 1",1,0.0183333333333333,28,"ShapesAll"
"Moments 1,2",2,0.0216666666666667,28,"ShapesAll"
"Moments 1,2,3",3,0.02,28,"ShapesAll"
"Moments 1,2,3,4",4,0.015,28,"ShapesAll"
"catch22",24,0.015,28,"ShapesAll"
