"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.124511446119486,1,"UWaveGestureLibraryX"
"Moments 1,2",2,0.125628140703518,1,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.125907314349525,1,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.127024008933557,1,"UWaveGestureLibraryX"
"catch22",24,0.126465661641541,1,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,2,"UWaveGestureLibraryX"
"Moments 1,2",2,0.117532104969291,2,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.124232272473478,2,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.122557230597432,2,"UWaveGestureLibraryX"
"catch22",24,0.123115577889447,2,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,3,"UWaveGestureLibraryX"
"Moments 1,2",2,0.114461194863205,3,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.117811278615299,3,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.115857063093244,3,"UWaveGestureLibraryX"
"catch22",24,0.125907314349525,3,"UWaveGestureLibraryX"
"Moment 1",1,0.113065326633166,4,"UWaveGestureLibraryX"
"Moments 1,2",2,0.114461194863205,4,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.119486320491346,4,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.118648799553322,4,"UWaveGestureLibraryX"
"catch22",24,0.11641541038526,4,"UWaveGestureLibraryX"
"Moment 1",1,0.120882188721385,5,"UWaveGestureLibraryX"
"Moments 1,2",2,0.120882188721385,5,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.1214405360134,5,"UWaveGestureLibraryX"
"Moments 1,2,3,4",4,0.125907314349525,5,"UWaveGestureLibraryX"
"catch22",24,0.126465661641541,5,"UWaveGestureLibraryX"
"Moment 1",1,0.122278056951424,6,"UWaveGestureLibraryX"
"Moments 1,2",2,0.125069793411502,6,"UWaveGestureLibraryX"
"Moments 1,2,3",3,0.122278056951424,6,"UWaveGestureLibraryX"
