"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.892115509409474,1,"Wafer"
"Moments 1,2",2,0.892115509409474,1,"Wafer"
"Moments 1,2,3",3,0.892115509409474,1,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,1,"Wafer"
"catch22",24,0.892115509409474,1,"Wafer"
"Moment 1",1,0.892115509409474,2,"Wafer"
"Moments 1,2",2,0.892115509409474,2,"Wafer"
"Moments 1,2,3",3,0.892115509409474,2,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,2,"Wafer"
"catch22",24,0.892115509409474,2,"Wafer"
"Moment 1",1,0.892115509409474,3,"Wafer"
"Moments 1,2",2,0.892115509409474,3,"Wafer"
"Moments 1,2,3",3,0.892115509409474,3,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,3,"Wafer"
"catch22",24,0.892115509409474,3,"Wafer"
"Moment 1",1,0.892115509409474,4,"Wafer"
"Moments 1,2",2,0.892115509409474,4,"Wafer"
"Moments 1,2,3",3,0.892115509409474,4,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,4,"Wafer"
"catch22",24,0.892115509409474,4,"Wafer"
"Moment 1",1,0.892115509409474,5,"Wafer"
"Moments 1,2",2,0.892115509409474,5,"Wafer"
"Moments 1,2,3",3,0.892115509409474,5,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,5,"Wafer"
"catch22",24,0.892115509409474,5,"Wafer"
"Moment 1",1,0.892115509409474,6,"Wafer"
"Moments 1,2",2,0.892115509409474,6,"Wafer"
"Moments 1,2,3",3,0.892115509409474,6,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,6,"Wafer"
"catch22",24,0.892115509409474,6,"Wafer"
"Moment 1",1,0.892115509409474,7,"Wafer"
"Moments 1,2",2,0.892115509409474,7,"Wafer"
"Moments 1,2,3",3,0.892115509409474,7,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,7,"Wafer"
"catch22",24,0.892115509409474,7,"Wafer"
"Moment 1",1,0.892115509409474,8,"Wafer"
"Moments 1,2",2,0.892115509409474,8,"Wafer"
"Moments 1,2,3",3,0.892115509409474,8,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,8,"Wafer"
"catch22",24,0.892115509409474,8,"Wafer"
"Moment 1",1,0.892115509409474,9,"Wafer"
"Moments 1,2",2,0.892115509409474,9,"Wafer"
"Moments 1,2,3",3,0.892115509409474,9,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,9,"Wafer"
"catch22",24,0.892115509409474,9,"Wafer"
"Moment 1",1,0.892115509409474,10,"Wafer"
"Moments 1,2",2,0.892115509409474,10,"Wafer"
"Moments 1,2,3",3,0.892115509409474,10,"Wafer"
"Moments 1,2,3,4",4,0.892115509409474,10,"Wafer"
"catch22",24,0.892115509409474,10,"Wafer"
"Moment 1",1,0.892115509409474,11,"Wafer"
