"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.934931506849315,1,"AconityMINIPrinterSmall"
"User",2,0.863013698630137,1,"AconityMINIPrinterSmall"
"catch22",24,0.934931506849315,2,"AconityMINIPrinterSmall"
"User",2,0.818493150684932,2,"AconityMINIPrinterSmall"
"catch22",24,0.941780821917808,3,"AconityMINIPrinterSmall"
"User",2,0.835616438356164,3,"AconityMINIPrinterSmall"
"catch22",24,0.928082191780822,4,"AconityMINIPrinterSmall"
"User",2,0.852739726027397,4,"AconityMINIPrinterSmall"
"catch22",24,0.941780821917808,5,"AconityMINIPrinterSmall"
"User",2,0.856164383561644,5,"AconityMINIPrinterSmall"
"catch22",24,0.979452054794521,6,"AconityMINIPrinterSmall"
"User",2,0.866438356164384,6,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,7,"AconityMINIPrinterSmall"
"User",2,0.839041095890411,7,"AconityMINIPrinterSmall"
"catch22",24,0.928082191780822,8,"AconityMINIPrinterSmall"
"User",2,0.849315068493151,8,"AconityMINIPrinterSmall"
"catch22",24,0.962328767123288,9,"AconityMINIPrinterSmall"
"User",2,0.85958904109589,9,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,10,"AconityMINIPrinterSmall"
"User",2,0.828767123287671,10,"AconityMINIPrinterSmall"
"catch22",24,0.948630136986301,11,"AconityMINIPrinterSmall"
"User",2,0.85958904109589,11,"AconityMINIPrinterSmall"
"catch22",24,0.931506849315068,12,"AconityMINIPrinterSmall"
"User",2,0.842465753424658,12,"AconityMINIPrinterSmall"
"catch22",24,0.962328767123288,13,"AconityMINIPrinterSmall"
"User",2,0.842465753424658,13,"AconityMINIPrinterSmall"
"catch22",24,0.934931506849315,14,"AconityMINIPrinterSmall"
"User",2,0.849315068493151,14,"AconityMINIPrinterSmall"
"catch22",24,0.938356164383562,15,"AconityMINIPrinterSmall"
"User",2,0.856164383561644,15,"AconityMINIPrinterSmall"
"catch22",24,0.934931506849315,16,"AconityMINIPrinterSmall"
"User",2,0.828767123287671,16,"AconityMINIPrinterSmall"
"catch22",24,0.924657534246575,17,"AconityMINIPrinterSmall"
"User",2,0.835616438356164,17,"AconityMINIPrinterSmall"
"catch22",24,0.941780821917808,18,"AconityMINIPrinterSmall"
"User",2,0.85958904109589,18,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,19,"AconityMINIPrinterSmall"
"User",2,0.845890410958904,19,"AconityMINIPrinterSmall"
"catch22",24,0.962328767123288,20,"AconityMINIPrinterSmall"
"User",2,0.849315068493151,20,"AconityMINIPrinterSmall"
"catch22",24,0.910958904109589,21,"AconityMINIPrinterSmall"
"User",2,0.842465753424658,21,"AconityMINIPrinterSmall"
"catch22",24,0.928082191780822,22,"AconityMINIPrinterSmall"
"User",2,0.842465753424658,22,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,23,"AconityMINIPrinterSmall"
"User",2,0.825342465753425,23,"AconityMINIPrinterSmall"
"catch22",24,0.941780821917808,24,"AconityMINIPrinterSmall"
"User",2,0.873287671232877,24,"AconityMINIPrinterSmall"
"catch22",24,0.945205479452055,25,"AconityMINIPrinterSmall"
"User",2,0.852739726027397,25,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,26,"AconityMINIPrinterSmall"
"User",2,0.876712328767123,26,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,27,"AconityMINIPrinterSmall"
"User",2,0.866438356164384,27,"AconityMINIPrinterSmall"
"catch22",24,0.945205479452055,28,"AconityMINIPrinterSmall"
"User",2,0.86986301369863,28,"AconityMINIPrinterSmall"
"catch22",24,0.941780821917808,29,"AconityMINIPrinterSmall"
"User",2,0.835616438356164,29,"AconityMINIPrinterSmall"
"catch22",24,0.952054794520548,30,"AconityMINIPrinterSmall"
"User",2,0.852739726027397,30,"AconityMINIPrinterSmall"
