"feature_set","num_features","accuracy","resample","problem"
"catch22",23,0.565217391304348,1,"Adiac"
"User",2,0.020460358056266,1,"Adiac"
"catch22",22,0.59846547314578,2,"Adiac"
"User",2,0.0255754475703325,2,"Adiac"
"catch22",23,0.578005115089514,3,"Adiac"
"User",2,0.010230179028133,3,"Adiac"
"catch22",22,0.580562659846547,4,"Adiac"
"User",2,0.0230179028132992,4,"Adiac"
"catch22",23,0.516624040920716,5,"Adiac"
"User",2,0.0127877237851662,5,"Adiac"
"catch22",22,0.519181585677749,6,"Adiac"
"User",2,0.0179028132992327,6,"Adiac"
"catch22",23,0.578005115089514,7,"Adiac"
"User",2,0.020460358056266,7,"Adiac"
"catch22",23,0.59079283887468,8,"Adiac"
"User",2,0.0255754475703325,8,"Adiac"
"catch22",23,0.531969309462916,9,"Adiac"
"User",2,0.0179028132992327,9,"Adiac"
"catch22",22,0.529411764705882,10,"Adiac"
"User",2,0.020460358056266,10,"Adiac"
"catch22",23,0.578005115089514,11,"Adiac"
"User",2,0.0153452685421995,11,"Adiac"
"catch22",23,0.542199488491049,12,"Adiac"
"User",2,0.00767263427109974,12,"Adiac"
"catch22",23,0.595907928388747,13,"Adiac"
"User",2,0.0127877237851662,13,"Adiac"
"catch22",23,0.585677749360614,14,"Adiac"
"User",2,0.0127877237851662,14,"Adiac"
"catch22",22,0.565217391304348,15,"Adiac"
"User",2,0.0358056265984655,15,"Adiac"
"catch22",23,0.61381074168798,16,"Adiac"
"User",2,0.0230179028132992,16,"Adiac"
"catch22",23,0.560102301790281,17,"Adiac"
"User",2,0.020460358056266,17,"Adiac"
"catch22",22,0.570332480818414,18,"Adiac"
"User",2,0.0230179028132992,18,"Adiac"
"catch22",23,0.560102301790281,19,"Adiac"
"User",2,0.0255754475703325,19,"Adiac"
"catch22",22,0.51150895140665,20,"Adiac"
"User",2,0.0230179028132992,20,"Adiac"
"catch22",23,0.572890025575448,21,"Adiac"
"User",2,0.020460358056266,21,"Adiac"
"catch22",22,0.529411764705882,22,"Adiac"
"User",2,0.00767263427109974,22,"Adiac"
"catch22",23,0.572890025575448,23,"Adiac"
"User",2,0.0255754475703325,23,"Adiac"
"catch22",23,0.542199488491049,24,"Adiac"
"User",2,0.0179028132992327,24,"Adiac"
"catch22",22,0.557544757033248,25,"Adiac"
"User",2,0.0153452685421995,25,"Adiac"
"catch22",23,0.562659846547315,26,"Adiac"
"User",2,0.0255754475703325,26,"Adiac"
"catch22",23,0.547314578005115,27,"Adiac"
"User",2,0.0179028132992327,27,"Adiac"
"catch22",23,0.529411764705882,28,"Adiac"
"User",2,0.020460358056266,28,"Adiac"
"catch22",23,0.549872122762148,29,"Adiac"
"User",2,0.020460358056266,29,"Adiac"
"catch22",22,0.585677749360614,30,"Adiac"
"User",2,0.0281329923273657,30,"Adiac"
