"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.906666666666667,1,"BME"
"User",2,0.52,1,"BME"
"catch22",24,0.953333333333333,2,"BME"
"User",2,0.44,2,"BME"
"catch22",24,0.946666666666667,3,"BME"
"User",2,0.506666666666667,3,"BME"
"catch22",24,0.9,4,"BME"
"User",2,0.42,4,"BME"
"catch22",24,0.886666666666667,5,"BME"
"User",2,0.5,5,"BME"
"catch22",24,0.933333333333333,6,"BME"
"User",2,0.493333333333333,6,"BME"
"catch22",24,0.893333333333333,7,"BME"
"User",2,0.446666666666667,7,"BME"
"catch22",24,0.913333333333333,8,"BME"
"User",2,0.506666666666667,8,"BME"
"catch22",23,0.933333333333333,9,"BME"
"User",2,0.473333333333333,9,"BME"
"catch22",24,0.9,10,"BME"
"User",2,0.506666666666667,10,"BME"
"catch22",24,0.94,11,"BME"
"User",2,0.486666666666667,11,"BME"
"catch22",24,0.886666666666667,12,"BME"
"User",2,0.44,12,"BME"
"catch22",24,0.94,13,"BME"
"User",2,0.513333333333333,13,"BME"
"catch22",24,0.833333333333333,14,"BME"
"User",2,0.5,14,"BME"
"catch22",24,0.86,15,"BME"
"User",2,0.493333333333333,15,"BME"
"catch22",23,0.913333333333333,16,"BME"
"User",2,0.5,16,"BME"
"catch22",23,0.88,17,"BME"
"User",2,0.513333333333333,17,"BME"
"catch22",24,0.946666666666667,18,"BME"
"User",2,0.546666666666667,18,"BME"
"catch22",24,0.96,19,"BME"
"User",2,0.506666666666667,19,"BME"
"catch22",24,0.946666666666667,20,"BME"
"User",2,0.486666666666667,20,"BME"
"catch22",24,0.933333333333333,21,"BME"
"User",2,0.506666666666667,21,"BME"
"catch22",24,0.853333333333333,22,"BME"
"User",2,0.566666666666667,22,"BME"
"catch22",24,0.933333333333333,23,"BME"
"User",2,0.48,23,"BME"
"catch22",24,0.946666666666667,24,"BME"
"User",2,0.5,24,"BME"
"catch22",23,0.94,25,"BME"
"User",2,0.46,25,"BME"
"catch22",24,0.92,26,"BME"
"User",2,0.533333333333333,26,"BME"
"catch22",24,0.92,27,"BME"
"User",2,0.533333333333333,27,"BME"
"catch22",24,0.926666666666667,28,"BME"
"User",2,0.426666666666667,28,"BME"
"catch22",24,0.946666666666667,29,"BME"
"User",2,0.506666666666667,29,"BME"
"catch22",24,0.94,30,"BME"
"User",2,0.506666666666667,30,"BME"
