"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.55,1,"BeetleFly"
"User",2,0.5,1,"BeetleFly"
"catch22",24,0.7,2,"BeetleFly"
"User",2,0.6,2,"BeetleFly"
"catch22",24,0.9,3,"BeetleFly"
"User",2,0.55,3,"BeetleFly"
"catch22",24,0.9,4,"BeetleFly"
"User",2,0.65,4,"BeetleFly"
"catch22",24,0.8,5,"BeetleFly"
"User",2,0.55,5,"BeetleFly"
"catch22",24,0.85,6,"BeetleFly"
"User",2,0.45,6,"BeetleFly"
"catch22",24,0.75,7,"BeetleFly"
"User",2,0.6,7,"BeetleFly"
"catch22",24,0.65,8,"BeetleFly"
"User",2,0.4,8,"BeetleFly"
"catch22",24,0.85,9,"BeetleFly"
"User",2,0.6,9,"BeetleFly"
"catch22",24,0.95,10,"BeetleFly"
"User",2,0.6,10,"BeetleFly"
"catch22",24,0.8,11,"BeetleFly"
"User",2,0.5,11,"BeetleFly"
"catch22",24,0.8,12,"BeetleFly"
"User",2,0.55,12,"BeetleFly"
"catch22",24,0.85,13,"BeetleFly"
"User",2,0.35,13,"BeetleFly"
"catch22",24,0.9,14,"BeetleFly"
"User",2,0.65,14,"BeetleFly"
"catch22",24,0.65,15,"BeetleFly"
"User",2,0.55,15,"BeetleFly"
"catch22",24,0.75,16,"BeetleFly"
"User",2,0.5,16,"BeetleFly"
"catch22",24,0.55,17,"BeetleFly"
"User",2,0.45,17,"BeetleFly"
"catch22",24,0.7,18,"BeetleFly"
"User",2,0.55,18,"BeetleFly"
"catch22",24,0.75,19,"BeetleFly"
"User",2,0.7,19,"BeetleFly"
"catch22",24,0.9,20,"BeetleFly"
"User",2,0.55,20,"BeetleFly"
"catch22",24,0.65,21,"BeetleFly"
"User",2,0.5,21,"BeetleFly"
"catch22",24,0.75,22,"BeetleFly"
"User",2,0.55,22,"BeetleFly"
"catch22",24,0.7,23,"BeetleFly"
"User",2,0.6,23,"BeetleFly"
"catch22",24,0.75,24,"BeetleFly"
"User",2,0.55,24,"BeetleFly"
"catch22",24,0.8,25,"BeetleFly"
"User",2,0.5,25,"BeetleFly"
"catch22",24,0.8,26,"BeetleFly"
"User",2,0.6,26,"BeetleFly"
"catch22",24,0.7,27,"BeetleFly"
"User",2,0.55,27,"BeetleFly"
"catch22",24,0.7,28,"BeetleFly"
"User",2,0.45,28,"BeetleFly"
"catch22",24,0.8,29,"BeetleFly"
"User",2,0.65,29,"BeetleFly"
"catch22",24,0.65,30,"BeetleFly"
"User",2,0.55,30,"BeetleFly"
