"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.8,1,"BirdChicken"
"User",2,0.55,1,"BirdChicken"
"catch22",24,0.9,2,"BirdChicken"
"User",2,0.5,2,"BirdChicken"
"catch22",24,0.9,3,"BirdChicken"
"User",2,0.45,3,"BirdChicken"
"catch22",24,0.85,4,"BirdChicken"
"User",2,0.45,4,"BirdChicken"
"catch22",24,0.8,5,"BirdChicken"
"User",2,0.55,5,"BirdChicken"
"catch22",24,0.95,6,"BirdChicken"
"User",2,0.6,6,"BirdChicken"
"catch22",24,0.95,7,"BirdChicken"
"User",2,0.5,7,"BirdChicken"
"catch22",24,0.75,8,"BirdChicken"
"User",2,0.45,8,"BirdChicken"
"catch22",24,0.9,9,"BirdChicken"
"User",2,0.2,9,"BirdChicken"
"catch22",24,0.85,10,"BirdChicken"
"User",2,0.4,10,"BirdChicken"
"catch22",24,0.8,11,"BirdChicken"
"User",2,0.3,11,"BirdChicken"
"catch22",24,0.75,12,"BirdChicken"
"User",2,0.4,12,"BirdChicken"
"catch22",24,0.8,13,"BirdChicken"
"User",2,0.45,13,"BirdChicken"
"catch22",24,0.75,14,"BirdChicken"
"User",2,0.5,14,"BirdChicken"
"catch22",24,0.85,15,"BirdChicken"
"User",2,0.35,15,"BirdChicken"
"catch22",24,0.8,16,"BirdChicken"
"User",2,0.55,16,"BirdChicken"
"catch22",24,0.9,17,"BirdChicken"
"User",2,0.5,17,"BirdChicken"
"catch22",24,0.9,18,"BirdChicken"
"User",2,0.4,18,"BirdChicken"
"catch22",24,0.85,19,"BirdChicken"
"User",2,0.35,19,"BirdChicken"
"catch22",24,0.85,20,"BirdChicken"
"User",2,0.25,20,"BirdChicken"
"catch22",24,0.95,21,"BirdChicken"
"User",2,0.25,21,"BirdChicken"
"catch22",24,0.85,22,"BirdChicken"
"User",2,0.35,22,"BirdChicken"
"catch22",24,0.8,23,"BirdChicken"
"User",2,0.4,23,"BirdChicken"
"catch22",24,0.8,24,"BirdChicken"
"User",2,0.35,24,"BirdChicken"
"catch22",24,0.65,25,"BirdChicken"
"User",2,0.35,25,"BirdChicken"
"catch22",24,0.95,26,"BirdChicken"
"User",2,0.5,26,"BirdChicken"
"catch22",24,0.9,27,"BirdChicken"
"User",2,0.5,27,"BirdChicken"
"catch22",23,0.9,28,"BirdChicken"
"User",2,0.4,28,"BirdChicken"
"catch22",24,0.8,29,"BirdChicken"
"User",2,0.3,29,"BirdChicken"
"catch22",24,0.85,30,"BirdChicken"
"User",2,0.4,30,"BirdChicken"
