"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.331111111111111,1,"CBF"
"Moments 1,2",2,0.331111111111111,1,"CBF"
"Moments 1,2,3",3,0.557777777777778,1,"CBF"
"Moments 1,2,3,4",4,0.603333333333333,1,"CBF"
"catch22",24,0.947777777777778,1,"CBF"
"Moment 1",1,0.357777777777778,2,"CBF"
"Moments 1,2",2,0.342222222222222,2,"CBF"
"Moments 1,2,3",3,0.484444444444444,2,"CBF"
"Moments 1,2,3,4",4,0.547777777777778,2,"CBF"
"catch22",24,0.924444444444444,2,"CBF"
"Moment 1",1,0.331111111111111,3,"CBF"
"Moments 1,2",2,0.348888888888889,3,"CBF"
"Moments 1,2,3",3,0.518888888888889,3,"CBF"
"Moments 1,2,3,4",4,0.573333333333333,3,"CBF"
"catch22",24,0.848888888888889,3,"CBF"
"Moment 1",1,0.331111111111111,4,"CBF"
"Moments 1,2",2,0.336666666666667,4,"CBF"
"Moments 1,2,3",3,0.482222222222222,4,"CBF"
"Moments 1,2,3,4",4,0.567777777777778,4,"CBF"
"catch22",24,0.935555555555556,4,"CBF"
"Moment 1",1,0.331111111111111,5,"CBF"
"Moments 1,2",2,0.298888888888889,5,"CBF"
"Moments 1,2,3",3,0.558888888888889,5,"CBF"
"Moments 1,2,3,4",4,0.59,5,"CBF"
"catch22",24,0.908888888888889,5,"CBF"
"Moment 1",1,0.32,6,"CBF"
"Moments 1,2",2,0.333333333333333,6,"CBF"
"Moments 1,2,3",3,0.545555555555556,6,"CBF"
"Moments 1,2,3,4",4,0.593333333333333,6,"CBF"
"catch22",24,0.951111111111111,6,"CBF"
"Moment 1",1,0.331111111111111,7,"CBF"
"Moments 1,2",2,0.326666666666667,7,"CBF"
"Moments 1,2,3",3,0.546666666666667,7,"CBF"
"Moments 1,2,3,4",4,0.63,7,"CBF"
"catch22",24,0.913333333333333,7,"CBF"
"Moment 1",1,0.342222222222222,8,"CBF"
"Moments 1,2",2,0.364444444444444,8,"CBF"
"Moments 1,2,3",3,0.528888888888889,8,"CBF"
"Moments 1,2,3,4",4,0.618888888888889,8,"CBF"
"catch22",24,0.897777777777778,8,"CBF"
"Moment 1",1,0.331111111111111,9,"CBF"
"Moments 1,2",2,0.322222222222222,9,"CBF"
"Moments 1,2,3",3,0.528888888888889,9,"CBF"
"Moments 1,2,3,4",4,0.57,9,"CBF"
"catch22",24,0.925555555555556,9,"CBF"
"Moment 1",1,0.351111111111111,10,"CBF"
"Moments 1,2",2,0.348888888888889,10,"CBF"
"Moments 1,2,3",3,0.532222222222222,10,"CBF"
"Moments 1,2,3,4",4,0.617777777777778,10,"CBF"
"catch22",24,0.903333333333333,10,"CBF"
"Moment 1",1,0.331111111111111,11,"CBF"
"Moments 1,2",2,0.344444444444444,11,"CBF"
"Moments 1,2,3",3,0.575555555555556,11,"CBF"
"Moments 1,2,3,4",4,0.608888888888889,11,"CBF"
"catch22",24,0.897777777777778,11,"CBF"
"Moment 1",1,0.315555555555556,12,"CBF"
"Moments 1,2",2,0.34,12,"CBF"
"Moments 1,2,3",3,0.555555555555556,12,"CBF"
"Moments 1,2,3,4",4,0.596666666666667,12,"CBF"
"catch22",24,0.915555555555556,12,"CBF"
"Moment 1",1,0.331111111111111,13,"CBF"
"Moments 1,2",2,0.358888888888889,13,"CBF"
"Moments 1,2,3",3,0.554444444444444,13,"CBF"
"Moments 1,2,3,4",4,0.588888888888889,13,"CBF"
"catch22",24,0.93,13,"CBF"
"Moment 1",1,0.337777777777778,14,"CBF"
"Moments 1,2",2,0.341111111111111,14,"CBF"
"Moments 1,2,3",3,0.523333333333333,14,"CBF"
"Moments 1,2,3,4",4,0.564444444444444,14,"CBF"
"catch22",24,0.862222222222222,14,"CBF"
"Moment 1",1,0.331111111111111,15,"CBF"
"Moments 1,2",2,0.331111111111111,15,"CBF"
"Moments 1,2,3",3,0.546666666666667,15,"CBF"
"Moments 1,2,3,4",4,0.601111111111111,15,"CBF"
"catch22",24,0.926666666666667,15,"CBF"
"Moment 1",1,0.325555555555556,16,"CBF"
"Moments 1,2",2,0.328888888888889,16,"CBF"
"Moments 1,2,3",3,0.555555555555556,16,"CBF"
"Moments 1,2,3,4",4,0.586666666666667,16,"CBF"
"catch22",24,0.936666666666667,16,"CBF"
"Moment 1",1,0.34,17,"CBF"
"Moments 1,2",2,0.317777777777778,17,"CBF"
"Moments 1,2,3",3,0.553333333333333,17,"CBF"
"Moments 1,2,3,4",4,0.576666666666667,17,"CBF"
"catch22",24,0.92,17,"CBF"
"Moment 1",1,0.327777777777778,18,"CBF"
"Moments 1,2",2,0.325555555555556,18,"CBF"
"Moments 1,2,3",3,0.53,18,"CBF"
"Moments 1,2,3,4",4,0.558888888888889,18,"CBF"
"catch22",24,0.935555555555556,18,"CBF"
"Moment 1",1,0.358888888888889,19,"CBF"
"Moments 1,2",2,0.351111111111111,19,"CBF"
"Moments 1,2,3",3,0.528888888888889,19,"CBF"
"Moments 1,2,3,4",4,0.587777777777778,19,"CBF"
"catch22",24,0.892222222222222,19,"CBF"
"Moment 1",1,0.341111111111111,20,"CBF"
"Moments 1,2",2,0.348888888888889,20,"CBF"
"Moments 1,2,3",3,0.525555555555556,20,"CBF"
"Moments 1,2,3,4",4,0.56,20,"CBF"
"catch22",24,0.953333333333333,20,"CBF"
"Moment 1",1,0.321111111111111,21,"CBF"
"Moments 1,2",2,0.311111111111111,21,"CBF"
"Moments 1,2,3",3,0.547777777777778,21,"CBF"
"Moments 1,2,3,4",4,0.572222222222222,21,"CBF"
"catch22",24,0.886666666666667,21,"CBF"
"Moment 1",1,0.345555555555556,22,"CBF"
"Moments 1,2",2,0.354444444444444,22,"CBF"
"Moments 1,2,3",3,0.533333333333333,22,"CBF"
"Moments 1,2,3,4",4,0.583333333333333,22,"CBF"
"catch22",24,0.911111111111111,22,"CBF"
"Moment 1",1,0.331111111111111,23,"CBF"
"Moments 1,2",2,0.334444444444444,23,"CBF"
"Moments 1,2,3",3,0.554444444444444,23,"CBF"
"Moments 1,2,3,4",4,0.593333333333333,23,"CBF"
"catch22",24,0.956666666666667,23,"CBF"
"Moment 1",1,0.331111111111111,24,"CBF"
"Moments 1,2",2,0.35,24,"CBF"
"Moments 1,2,3",3,0.547777777777778,24,"CBF"
"Moments 1,2,3,4",4,0.604444444444444,24,"CBF"
"catch22",24,0.924444444444444,24,"CBF"
"Moment 1",1,0.362222222222222,25,"CBF"
"Moments 1,2",2,0.356666666666667,25,"CBF"
"Moments 1,2,3",3,0.525555555555556,25,"CBF"
"Moments 1,2,3,4",4,0.571111111111111,25,"CBF"
"catch22",24,0.931111111111111,25,"CBF"
"Moment 1",1,0.331111111111111,26,"CBF"
"Moments 1,2",2,0.331111111111111,26,"CBF"
"Moments 1,2,3",3,0.552222222222222,26,"CBF"
"Moments 1,2,3,4",4,0.606666666666667,26,"CBF"
"catch22",24,0.906666666666667,26,"CBF"
"Moment 1",1,0.342222222222222,27,"CBF"
"Moments 1,2",2,0.344444444444444,27,"CBF"
"Moments 1,2,3",3,0.503333333333333,27,"CBF"
"Moments 1,2,3,4",4,0.571111111111111,27,"CBF"
"catch22",24,0.887777777777778,27,"CBF"
"Moment 1",1,0.331111111111111,28,"CBF"
