"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.183333333333333,1,"Car"
"Moments 1,2",2,0.3,1,"Car"
"Moments 1,2,3",3,0.433333333333333,1,"Car"
"Moments 1,2,3,4",4,0.466666666666667,1,"Car"
"catch22",22,0.7,1,"Car"
"Moment 1",1,0.283333333333333,2,"Car"
"Moments 1,2",2,0.166666666666667,2,"Car"
"Moments 1,2,3",3,0.283333333333333,2,"Car"
"Moments 1,2,3,4",4,0.4,2,"Car"
"catch22",22,0.583333333333333,2,"Car"
"Moment 1",1,0.166666666666667,3,"Car"
"Moments 1,2",2,0.216666666666667,3,"Car"
"Moments 1,2,3",3,0.433333333333333,3,"Car"
"Moments 1,2,3,4",4,0.433333333333333,3,"Car"
"catch22",22,0.7,3,"Car"
"Moment 1",1,0.233333333333333,4,"Car"
"Moments 1,2",2,0.2,4,"Car"
"Moments 1,2,3",3,0.35,4,"Car"
"Moments 1,2,3,4",4,0.366666666666667,4,"Car"
"catch22",22,0.6,4,"Car"
"Moment 1",1,0.266666666666667,5,"Car"
"Moments 1,2",2,0.283333333333333,5,"Car"
"Moments 1,2,3",3,0.416666666666667,5,"Car"
"Moments 1,2,3,4",4,0.433333333333333,5,"Car"
"catch22",22,0.633333333333333,5,"Car"
"Moment 1",1,0.25,6,"Car"
"Moments 1,2",2,0.25,6,"Car"
"Moments 1,2,3",3,0.4,6,"Car"
"Moments 1,2,3,4",4,0.466666666666667,6,"Car"
"catch22",22,0.633333333333333,6,"Car"
"Moment 1",1,0.25,7,"Car"
"Moments 1,2",2,0.316666666666667,7,"Car"
"Moments 1,2,3",3,0.483333333333333,7,"Car"
"Moments 1,2,3,4",4,0.466666666666667,7,"Car"
"catch22",22,0.7,7,"Car"
"Moment 1",1,0.266666666666667,8,"Car"
"Moments 1,2",2,0.233333333333333,8,"Car"
"Moments 1,2,3",3,0.383333333333333,8,"Car"
"Moments 1,2,3,4",4,0.483333333333333,8,"Car"
"catch22",22,0.683333333333333,8,"Car"
"Moment 1",1,0.216666666666667,9,"Car"
"Moments 1,2",2,0.233333333333333,9,"Car"
"Moments 1,2,3",3,0.433333333333333,9,"Car"
"Moments 1,2,3,4",4,0.433333333333333,9,"Car"
"catch22",22,0.583333333333333,9,"Car"
"Moment 1",1,0.233333333333333,10,"Car"
"Moments 1,2",2,0.166666666666667,10,"Car"
"Moments 1,2,3",3,0.4,10,"Car"
"Moments 1,2,3,4",4,0.433333333333333,10,"Car"
"catch22",22,0.716666666666667,10,"Car"
"Moment 1",1,0.3,11,"Car"
"Moments 1,2",2,0.233333333333333,11,"Car"
"Moments 1,2,3",3,0.466666666666667,11,"Car"
"Moments 1,2,3,4",4,0.516666666666667,11,"Car"
"catch22",22,0.583333333333333,11,"Car"
"Moment 1",1,0.25,12,"Car"
"Moments 1,2",2,0.266666666666667,12,"Car"
"Moments 1,2,3",3,0.516666666666667,12,"Car"
"Moments 1,2,3,4",4,0.483333333333333,12,"Car"
"catch22",22,0.666666666666667,12,"Car"
"Moment 1",1,0.25,13,"Car"
"Moments 1,2",2,0.216666666666667,13,"Car"
"Moments 1,2,3",3,0.416666666666667,13,"Car"
"Moments 1,2,3,4",4,0.416666666666667,13,"Car"
"catch22",22,0.683333333333333,13,"Car"
"Moment 1",1,0.216666666666667,14,"Car"
"Moments 1,2",2,0.183333333333333,14,"Car"
"Moments 1,2,3",3,0.433333333333333,14,"Car"
"Moments 1,2,3,4",4,0.45,14,"Car"
"catch22",22,0.666666666666667,14,"Car"
"Moment 1",1,0.3,15,"Car"
"Moments 1,2",2,0.266666666666667,15,"Car"
"Moments 1,2,3",3,0.433333333333333,15,"Car"
"Moments 1,2,3,4",4,0.516666666666667,15,"Car"
"catch22",22,0.65,15,"Car"
"Moment 1",1,0.266666666666667,16,"Car"
"Moments 1,2",2,0.216666666666667,16,"Car"
"Moments 1,2,3",3,0.4,16,"Car"
"Moments 1,2,3,4",4,0.5,16,"Car"
"catch22",22,0.616666666666667,16,"Car"
"Moment 1",1,0.216666666666667,17,"Car"
"Moments 1,2",2,0.166666666666667,17,"Car"
"Moments 1,2,3",3,0.316666666666667,17,"Car"
