"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.357142857142857,1,"Coffee"
"Moments 1,2",2,0.392857142857143,1,"Coffee"
"Moments 1,2,3",3,0.571428571428571,1,"Coffee"
"Moments 1,2,3,4",4,0.5,1,"Coffee"
"catch22",23,1,1,"Coffee"
"Moment 1",1,0.5,2,"Coffee"
"Moments 1,2",2,0.5,2,"Coffee"
"Moments 1,2,3",3,0.571428571428571,2,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,2,"Coffee"
"catch22",23,1,2,"Coffee"
"Moment 1",1,0.285714285714286,3,"Coffee"
"Moments 1,2",2,0.392857142857143,3,"Coffee"
"Moments 1,2,3",3,0.464285714285714,3,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,3,"Coffee"
"catch22",23,1,3,"Coffee"
"Moment 1",1,0.607142857142857,4,"Coffee"
"Moments 1,2",2,0.535714285714286,4,"Coffee"
"Moments 1,2,3",3,0.464285714285714,4,"Coffee"
"Moments 1,2,3,4",4,0.428571428571429,4,"Coffee"
"catch22",23,1,4,"Coffee"
"Moment 1",1,0.464285714285714,5,"Coffee"
"Moments 1,2",2,0.535714285714286,5,"Coffee"
"Moments 1,2,3",3,0.642857142857143,5,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,5,"Coffee"
"catch22",23,1,5,"Coffee"
"Moment 1",1,0.285714285714286,6,"Coffee"
"Moments 1,2",2,0.357142857142857,6,"Coffee"
"Moments 1,2,3",3,0.357142857142857,6,"Coffee"
"Moments 1,2,3,4",4,0.357142857142857,6,"Coffee"
"catch22",23,0.928571428571429,6,"Coffee"
"Moment 1",1,0.607142857142857,7,"Coffee"
"Moments 1,2",2,0.535714285714286,7,"Coffee"
"Moments 1,2,3",3,0.607142857142857,7,"Coffee"
"Moments 1,2,3,4",4,0.642857142857143,7,"Coffee"
"catch22",23,1,7,"Coffee"
"Moment 1",1,0.392857142857143,8,"Coffee"
"Moments 1,2",2,0.464285714285714,8,"Coffee"
"Moments 1,2,3",3,0.5,8,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,8,"Coffee"
"catch22",23,1,8,"Coffee"
"Moment 1",1,0.5,9,"Coffee"
"Moments 1,2",2,0.428571428571429,9,"Coffee"
"Moments 1,2,3",3,0.571428571428571,9,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,9,"Coffee"
"catch22",23,1,9,"Coffee"
"Moment 1",1,0.571428571428571,10,"Coffee"
"Moments 1,2",2,0.464285714285714,10,"Coffee"
"Moments 1,2,3",3,0.535714285714286,10,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,10,"Coffee"
"catch22",23,1,10,"Coffee"
"Moment 1",1,0.5,11,"Coffee"
"Moments 1,2",2,0.5,11,"Coffee"
"Moments 1,2,3",3,0.571428571428571,11,"Coffee"
"Moments 1,2,3,4",4,0.607142857142857,11,"Coffee"
"catch22",23,1,11,"Coffee"
"Moment 1",1,0.5,12,"Coffee"
"Moments 1,2",2,0.464285714285714,12,"Coffee"
"Moments 1,2,3",3,0.464285714285714,12,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,12,"Coffee"
"catch22",23,0.964285714285714,12,"Coffee"
"Moment 1",1,0.571428571428571,13,"Coffee"
"Moments 1,2",2,0.535714285714286,13,"Coffee"
"Moments 1,2,3",3,0.607142857142857,13,"Coffee"
"Moments 1,2,3,4",4,0.642857142857143,13,"Coffee"
"catch22",23,1,13,"Coffee"
"Moment 1",1,0.428571428571429,14,"Coffee"
"Moments 1,2",2,0.464285714285714,14,"Coffee"
"Moments 1,2,3",3,0.571428571428571,14,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,14,"Coffee"
"catch22",23,0.928571428571429,14,"Coffee"
"Moment 1",1,0.5,15,"Coffee"
"Moments 1,2",2,0.5,15,"Coffee"
"Moments 1,2,3",3,0.571428571428571,15,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,15,"Coffee"
"catch22",23,0.964285714285714,15,"Coffee"
"Moment 1",1,0.321428571428571,16,"Coffee"
"Moments 1,2",2,0.357142857142857,16,"Coffee"
"Moments 1,2,3",3,0.464285714285714,16,"Coffee"
"Moments 1,2,3,4",4,0.5,16,"Coffee"
"catch22",23,1,16,"Coffee"
"Moment 1",1,0.571428571428571,17,"Coffee"
"Moments 1,2",2,0.428571428571429,17,"Coffee"
"Moments 1,2,3",3,0.571428571428571,17,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,17,"Coffee"
"catch22",23,1,17,"Coffee"
"Moment 1",1,0.535714285714286,18,"Coffee"
"Moments 1,2",2,0.535714285714286,18,"Coffee"
"Moments 1,2,3",3,0.607142857142857,18,"Coffee"
"Moments 1,2,3,4",4,0.607142857142857,18,"Coffee"
"catch22",23,1,18,"Coffee"
"Moment 1",1,0.642857142857143,19,"Coffee"
"Moments 1,2",2,0.571428571428571,19,"Coffee"
"Moments 1,2,3",3,0.535714285714286,19,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,19,"Coffee"
"catch22",23,1,19,"Coffee"
"Moment 1",1,0.5,20,"Coffee"
"Moments 1,2",2,0.464285714285714,20,"Coffee"
"Moments 1,2,3",3,0.464285714285714,20,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,20,"Coffee"
"catch22",23,1,20,"Coffee"
"Moment 1",1,0.571428571428571,21,"Coffee"
"Moments 1,2",2,0.428571428571429,21,"Coffee"
"Moments 1,2,3",3,0.607142857142857,21,"Coffee"
"Moments 1,2,3,4",4,0.607142857142857,21,"Coffee"
"catch22",23,1,21,"Coffee"
"Moment 1",1,0.607142857142857,22,"Coffee"
"Moments 1,2",2,0.571428571428571,22,"Coffee"
"Moments 1,2,3",3,0.571428571428571,22,"Coffee"
"Moments 1,2,3,4",4,0.607142857142857,22,"Coffee"
"catch22",23,1,22,"Coffee"
"Moment 1",1,0.535714285714286,23,"Coffee"
"Moments 1,2",2,0.535714285714286,23,"Coffee"
"Moments 1,2,3",3,0.571428571428571,23,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,23,"Coffee"
"catch22",23,1,23,"Coffee"
"Moment 1",1,0.535714285714286,24,"Coffee"
"Moments 1,2",2,0.535714285714286,24,"Coffee"
"Moments 1,2,3",3,0.607142857142857,24,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,24,"Coffee"
"catch22",23,1,24,"Coffee"
"Moment 1",1,0.642857142857143,25,"Coffee"
"Moments 1,2",2,0.392857142857143,25,"Coffee"
"Moments 1,2,3",3,0.535714285714286,25,"Coffee"
"Moments 1,2,3,4",4,0.5,25,"Coffee"
"catch22",23,1,25,"Coffee"
"Moment 1",1,0.607142857142857,26,"Coffee"
"Moments 1,2",2,0.571428571428571,26,"Coffee"
"Moments 1,2,3",3,0.607142857142857,26,"Coffee"
"Moments 1,2,3,4",4,0.5,26,"Coffee"
"catch22",23,0.964285714285714,26,"Coffee"
"Moment 1",1,0.357142857142857,27,"Coffee"
"Moments 1,2",2,0.392857142857143,27,"Coffee"
"Moments 1,2,3",3,0.357142857142857,27,"Coffee"
"Moments 1,2,3,4",4,0.357142857142857,27,"Coffee"
"catch22",23,0.928571428571429,27,"Coffee"
"Moment 1",1,0.5,28,"Coffee"
"Moments 1,2",2,0.5,28,"Coffee"
"Moments 1,2,3",3,0.642857142857143,28,"Coffee"
"Moments 1,2,3,4",4,0.642857142857143,28,"Coffee"
"catch22",23,1,28,"Coffee"
"Moment 1",1,0.535714285714286,29,"Coffee"
"Moments 1,2",2,0.285714285714286,29,"Coffee"
"Moments 1,2,3",3,0.392857142857143,29,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,29,"Coffee"
"catch22",23,1,29,"Coffee"
"Moment 1",1,0.392857142857143,30,"Coffee"
"Moments 1,2",2,0.428571428571429,30,"Coffee"
"Moments 1,2,3",3,0.464285714285714,30,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,30,"Coffee"
"catch22",23,0.964285714285714,30,"Coffee"
"Moment 1",1,0.5,31,"Coffee"
"Moments 1,2",2,0.535714285714286,31,"Coffee"
"Moments 1,2,3",3,0.642857142857143,31,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,31,"Coffee"
"catch22",23,1,31,"Coffee"
"Moment 1",1,0.607142857142857,32,"Coffee"
"Moments 1,2",2,0.571428571428571,32,"Coffee"
"Moments 1,2,3",3,0.5,32,"Coffee"
"Moments 1,2,3,4",4,0.5,32,"Coffee"
"catch22",23,1,32,"Coffee"
"Moment 1",1,0.678571428571429,33,"Coffee"
"Moments 1,2",2,0.5,33,"Coffee"
"Moments 1,2,3",3,0.571428571428571,33,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,33,"Coffee"
"catch22",23,1,33,"Coffee"
"Moment 1",1,0.535714285714286,34,"Coffee"
"Moments 1,2",2,0.535714285714286,34,"Coffee"
"Moments 1,2,3",3,0.428571428571429,34,"Coffee"
"Moments 1,2,3,4",4,0.428571428571429,34,"Coffee"
"catch22",23,1,34,"Coffee"
"Moment 1",1,0.464285714285714,35,"Coffee"
"Moments 1,2",2,0.428571428571429,35,"Coffee"
"Moments 1,2,3",3,0.535714285714286,35,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,35,"Coffee"
"catch22",23,1,35,"Coffee"
"Moment 1",1,0.571428571428571,36,"Coffee"
"Moments 1,2",2,0.428571428571429,36,"Coffee"
"Moments 1,2,3",3,0.571428571428571,36,"Coffee"
"Moments 1,2,3,4",4,0.535714285714286,36,"Coffee"
"catch22",23,1,36,"Coffee"
"Moment 1",1,0.607142857142857,37,"Coffee"
"Moments 1,2",2,0.357142857142857,37,"Coffee"
"Moments 1,2,3",3,0.535714285714286,37,"Coffee"
"Moments 1,2,3,4",4,0.571428571428571,37,"Coffee"
"catch22",23,1,37,"Coffee"
"Moment 1",1,0.642857142857143,38,"Coffee"
"Moments 1,2",2,0.464285714285714,38,"Coffee"
"Moments 1,2,3",3,0.571428571428571,38,"Coffee"
"Moments 1,2,3,4",4,0.607142857142857,38,"Coffee"
"catch22",23,1,38,"Coffee"
"Moment 1",1,0.535714285714286,39,"Coffee"
"Moments 1,2",2,0.392857142857143,39,"Coffee"
"Moments 1,2,3",3,0.535714285714286,39,"Coffee"
"Moments 1,2,3,4",4,0.464285714285714,39,"Coffee"
"catch22",23,0.964285714285714,39,"Coffee"
"Moment 1",1,0.535714285714286,40,"Coffee"
"Moments 1,2",2,0.535714285714286,40,"Coffee"
