"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.704,1,"Computers"
"User",2,0.516,1,"Computers"
"catch22",24,0.74,2,"Computers"
"User",2,0.504,2,"Computers"
"catch22",24,0.744,3,"Computers"
"User",2,0.476,3,"Computers"
"catch22",24,0.732,4,"Computers"
"User",2,0.524,4,"Computers"
"catch22",24,0.74,5,"Computers"
"User",2,0.488,5,"Computers"
"catch22",24,0.724,6,"Computers"
"User",2,0.488,6,"Computers"
"catch22",24,0.728,7,"Computers"
"User",2,0.528,7,"Computers"
"catch22",24,0.716,8,"Computers"
"User",2,0.516,8,"Computers"
"catch22",24,0.716,9,"Computers"
"User",2,0.54,9,"Computers"
"catch22",24,0.728,10,"Computers"
"User",2,0.5,10,"Computers"
"catch22",24,0.716,11,"Computers"
"User",2,0.468,11,"Computers"
"catch22",24,0.74,12,"Computers"
"User",2,0.484,12,"Computers"
"catch22",24,0.768,13,"Computers"
"User",2,0.504,13,"Computers"
"catch22",24,0.72,14,"Computers"
"User",2,0.46,14,"Computers"
"catch22",24,0.7,15,"Computers"
"User",2,0.456,15,"Computers"
"catch22",24,0.736,16,"Computers"
"User",2,0.476,16,"Computers"
"catch22",24,0.728,17,"Computers"
"User",2,0.476,17,"Computers"
"catch22",24,0.684,18,"Computers"
"User",2,0.512,18,"Computers"
"catch22",24,0.76,19,"Computers"
"User",2,0.496,19,"Computers"
"catch22",24,0.704,20,"Computers"
"User",2,0.5,20,"Computers"
"catch22",24,0.756,21,"Computers"
"User",2,0.492,21,"Computers"
"catch22",24,0.732,22,"Computers"
"User",2,0.432,22,"Computers"
"catch22",24,0.68,23,"Computers"
"User",2,0.464,23,"Computers"
"catch22",24,0.74,24,"Computers"
"User",2,0.504,24,"Computers"
"catch22",24,0.744,25,"Computers"
"User",2,0.536,25,"Computers"
"catch22",24,0.716,26,"Computers"
"User",2,0.46,26,"Computers"
"catch22",24,0.7,27,"Computers"
"User",2,0.492,27,"Computers"
"catch22",24,0.728,28,"Computers"
"User",2,0.532,28,"Computers"
"catch22",24,0.712,29,"Computers"
"User",2,0.54,29,"Computers"
"catch22",24,0.704,30,"Computers"
"User",2,0.496,30,"Computers"
