"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.524590163934426,1,"Covid3Month"
"Moments 1,2",2,0.524590163934426,1,"Covid3Month"
"Moments 1,2,3",3,0.557377049180328,1,"Covid3Month"
"Moments 1,2,3,4",4,0.540983606557377,1,"Covid3Month"
"catch22",24,0.622950819672131,1,"Covid3Month"
"Moment 1",1,0.524590163934426,2,"Covid3Month"
"Moments 1,2",2,0.524590163934426,2,"Covid3Month"
"Moments 1,2,3",3,0.59016393442623,2,"Covid3Month"
"Moments 1,2,3,4",4,0.60655737704918,2,"Covid3Month"
"catch22",24,0.540983606557377,2,"Covid3Month"
"Moment 1",1,0.524590163934426,3,"Covid3Month"
"Moments 1,2",2,0.524590163934426,3,"Covid3Month"
"Moments 1,2,3",3,0.540983606557377,3,"Covid3Month"
"Moments 1,2,3,4",4,0.540983606557377,3,"Covid3Month"
"catch22",24,0.573770491803279,3,"Covid3Month"
"Moment 1",1,0.524590163934426,4,"Covid3Month"
"Moments 1,2",2,0.524590163934426,4,"Covid3Month"
"Moments 1,2,3",3,0.540983606557377,4,"Covid3Month"
"Moments 1,2,3,4",4,0.540983606557377,4,"Covid3Month"
"catch22",24,0.524590163934426,4,"Covid3Month"
"Moment 1",1,0.508196721311475,5,"Covid3Month"
"Moments 1,2",2,0.508196721311475,5,"Covid3Month"
"Moments 1,2,3",3,0.524590163934426,5,"Covid3Month"
"Moments 1,2,3,4",4,0.540983606557377,5,"Covid3Month"
"catch22",24,0.573770491803279,5,"Covid3Month"
"Moment 1",1,0.524590163934426,6,"Covid3Month"
"Moments 1,2",2,0.524590163934426,6,"Covid3Month"
"Moments 1,2,3",3,0.557377049180328,6,"Covid3Month"
"Moments 1,2,3,4",4,0.540983606557377,6,"Covid3Month"
"catch22",24,0.59016393442623,6,"Covid3Month"
"Moment 1",1,0.508196721311475,7,"Covid3Month"
"Moments 1,2",2,0.508196721311475,7,"Covid3Month"
"Moments 1,2,3",3,0.524590163934426,7,"Covid3Month"
"Moments 1,2,3,4",4,0.524590163934426,7,"Covid3Month"
"catch22",24,0.60655737704918,7,"Covid3Month"
"Moment 1",1,0.524590163934426,8,"Covid3Month"
"Moments 1,2",2,0.524590163934426,8,"Covid3Month"
"Moments 1,2,3",3,0.524590163934426,8,"Covid3Month"
"Moments 1,2,3,4",4,0.524590163934426,8,"Covid3Month"
"catch22",24,0.540983606557377,8,"Covid3Month"
"Moment 1",1,0.524590163934426,9,"Covid3Month"
"Moments 1,2",2,0.524590163934426,9,"Covid3Month"
"Moments 1,2,3",3,0.622950819672131,9,"Covid3Month"
"Moments 1,2,3,4",4,0.622950819672131,9,"Covid3Month"
"catch22",24,0.655737704918033,9,"Covid3Month"
"Moment 1",1,0.524590163934426,10,"Covid3Month"
"Moments 1,2",2,0.524590163934426,10,"Covid3Month"
"Moments 1,2,3",3,0.540983606557377,10,"Covid3Month"
"Moments 1,2,3,4",4,0.540983606557377,10,"Covid3Month"
"catch22",24,0.655737704918033,10,"Covid3Month"
"Moment 1",1,0.524590163934426,11,"Covid3Month"
"Moments 1,2",2,0.524590163934426,11,"Covid3Month"
"Moments 1,2,3",3,0.59016393442623,11,"Covid3Month"
"Moments 1,2,3,4",4,0.59016393442623,11,"Covid3Month"
"catch22",24,0.508196721311475,11,"Covid3Month"
"Moment 1",1,0.524590163934426,12,"Covid3Month"
"Moments 1,2",2,0.524590163934426,12,"Covid3Month"
"Moments 1,2,3",3,0.508196721311475,12,"Covid3Month"
"Moments 1,2,3,4",4,0.508196721311475,12,"Covid3Month"
"catch22",24,0.557377049180328,12,"Covid3Month"
"Moment 1",1,0.524590163934426,13,"Covid3Month"
"Moments 1,2",2,0.540983606557377,13,"Covid3Month"
"Moments 1,2,3",3,0.557377049180328,13,"Covid3Month"
"Moments 1,2,3,4",4,0.557377049180328,13,"Covid3Month"
"catch22",24,0.655737704918033,13,"Covid3Month"
"Moment 1",1,0.524590163934426,14,"Covid3Month"
"Moments 1,2",2,0.524590163934426,14,"Covid3Month"
"Moments 1,2,3",3,0.573770491803279,14,"Covid3Month"
"Moments 1,2,3,4",4,0.59016393442623,14,"Covid3Month"
"catch22",24,0.622950819672131,14,"Covid3Month"
