"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.082051282051282,1,"CricketY"
"Moments 1,2",2,0.0794871794871795,1,"CricketY"
"Moments 1,2,3",3,0.141025641025641,1,"CricketY"
"Moments 1,2,3,4",4,0.225641025641026,1,"CricketY"
"catch22",24,0.469230769230769,1,"CricketY"
"Moment 1",1,0.0948717948717949,2,"CricketY"
"Moments 1,2",2,0.082051282051282,2,"CricketY"
"Moments 1,2,3",3,0.151282051282051,2,"CricketY"
"Moments 1,2,3,4",4,0.22051282051282,2,"CricketY"
"catch22",24,0.48974358974359,2,"CricketY"
"Moment 1",1,0.0769230769230769,3,"CricketY"
"Moments 1,2",2,0.0897435897435897,3,"CricketY"
"Moments 1,2,3",3,0.156410256410256,3,"CricketY"
"Moments 1,2,3,4",4,0.194871794871795,3,"CricketY"
"catch22",24,0.438461538461538,3,"CricketY"
"Moment 1",1,0.0846153846153846,4,"CricketY"
"Moments 1,2",2,0.0846153846153846,4,"CricketY"
"Moments 1,2,3",3,0.151282051282051,4,"CricketY"
"Moments 1,2,3,4",4,0.22051282051282,4,"CricketY"
"catch22",24,0.453846153846154,4,"CricketY"
"Moment 1",1,0.0846153846153846,5,"CricketY"
"Moments 1,2",2,0.0923076923076923,5,"CricketY"
"Moments 1,2,3",3,0.169230769230769,5,"CricketY"
"Moments 1,2,3,4",4,0.22051282051282,5,"CricketY"
"catch22",24,0.492307692307692,5,"CricketY"
"Moment 1",1,0.1,6,"CricketY"
"Moments 1,2",2,0.0769230769230769,6,"CricketY"
"Moments 1,2,3",3,0.161538461538462,6,"CricketY"
"Moments 1,2,3,4",4,0.202564102564103,6,"CricketY"
"catch22",24,0.517948717948718,6,"CricketY"
"Moment 1",1,0.0923076923076923,7,"CricketY"
"Moments 1,2",2,0.0794871794871795,7,"CricketY"
"Moments 1,2,3",3,0.166666666666667,7,"CricketY"
"Moments 1,2,3,4",4,0.217948717948718,7,"CricketY"
"catch22",24,0.464102564102564,7,"CricketY"
"Moment 1",1,0.0846153846153846,8,"CricketY"
"Moments 1,2",2,0.0948717948717949,8,"CricketY"
"Moments 1,2,3",3,0.158974358974359,8,"CricketY"
"Moments 1,2,3,4",4,0.21025641025641,8,"CricketY"
"catch22",24,0.469230769230769,8,"CricketY"
"Moment 1",1,0.0897435897435897,9,"CricketY"
"Moments 1,2",2,0.082051282051282,9,"CricketY"
"Moments 1,2,3",3,0.164102564102564,9,"CricketY"
"Moments 1,2,3,4",4,0.241025641025641,9,"CricketY"
"catch22",24,0.476923076923077,9,"CricketY"
"Moment 1",1,0.0871794871794872,10,"CricketY"
"Moments 1,2",2,0.0897435897435897,10,"CricketY"
"Moments 1,2,3",3,0.164102564102564,10,"CricketY"
"Moments 1,2,3,4",4,0.228205128205128,10,"CricketY"
"catch22",24,0.515384615384615,10,"CricketY"
"Moment 1",1,0.0743589743589744,11,"CricketY"
"Moments 1,2",2,0.1,11,"CricketY"
"Moments 1,2,3",3,0.171794871794872,11,"CricketY"
"Moments 1,2,3,4",4,0.215384615384615,11,"CricketY"
"catch22",24,0.435897435897436,11,"CricketY"
"Moment 1",1,0.0923076923076923,12,"CricketY"
"Moments 1,2",2,0.0846153846153846,12,"CricketY"
"Moments 1,2,3",3,0.184615384615385,12,"CricketY"
"Moments 1,2,3,4",4,0.258974358974359,12,"CricketY"
"catch22",24,0.474358974358974,12,"CricketY"
"Moment 1",1,0.0846153846153846,13,"CricketY"
"Moments 1,2",2,0.0923076923076923,13,"CricketY"
"Moments 1,2,3",3,0.156410256410256,13,"CricketY"
"Moments 1,2,3,4",4,0.202564102564103,13,"CricketY"
"catch22",24,0.443589743589744,13,"CricketY"
"Moment 1",1,0.0615384615384615,14,"CricketY"
"Moments 1,2",2,0.0692307692307692,14,"CricketY"
"Moments 1,2,3",3,0.146153846153846,14,"CricketY"
"Moments 1,2,3,4",4,0.230769230769231,14,"CricketY"
"catch22",24,0.464102564102564,14,"CricketY"
"Moment 1",1,0.0897435897435897,15,"CricketY"
"Moments 1,2",2,0.0846153846153846,15,"CricketY"
"Moments 1,2,3",3,0.148717948717949,15,"CricketY"
"Moments 1,2,3,4",4,0.215384615384615,15,"CricketY"
"catch22",24,0.471794871794872,15,"CricketY"
"Moment 1",1,0.0923076923076923,16,"CricketY"
"Moments 1,2",2,0.0717948717948718,16,"CricketY"
"Moments 1,2,3",3,0.148717948717949,16,"CricketY"
"Moments 1,2,3,4",4,0.18974358974359,16,"CricketY"
"catch22",24,0.474358974358974,16,"CricketY"
"Moment 1",1,0.0743589743589744,17,"CricketY"
"Moments 1,2",2,0.0717948717948718,17,"CricketY"
"Moments 1,2,3",3,0.164102564102564,17,"CricketY"
"Moments 1,2,3,4",4,0.212820512820513,17,"CricketY"
"catch22",24,0.469230769230769,17,"CricketY"
"Moment 1",1,0.0871794871794872,18,"CricketY"
"Moments 1,2",2,0.0871794871794872,18,"CricketY"
