"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.48974358974359,1,"CricketZ"
"User",2,0.0743589743589744,1,"CricketZ"
"catch22",24,0.51025641025641,2,"CricketZ"
"User",2,0.0564102564102564,2,"CricketZ"
"catch22",24,0.523076923076923,3,"CricketZ"
"User",2,0.0615384615384615,3,"CricketZ"
"catch22",24,0.523076923076923,4,"CricketZ"
"User",2,0.0666666666666667,4,"CricketZ"
"catch22",24,0.528205128205128,5,"CricketZ"
"User",2,0.0692307692307692,5,"CricketZ"
"catch22",24,0.520512820512821,6,"CricketZ"
"User",2,0.0615384615384615,6,"CricketZ"
"catch22",24,0.482051282051282,7,"CricketZ"
"User",2,0.058974358974359,7,"CricketZ"
"catch22",24,0.443589743589744,8,"CricketZ"
"User",2,0.0666666666666667,8,"CricketZ"
"catch22",24,0.458974358974359,9,"CricketZ"
"User",2,0.0666666666666667,9,"CricketZ"
"catch22",24,0.492307692307692,10,"CricketZ"
"User",2,0.0717948717948718,10,"CricketZ"
"catch22",24,0.505128205128205,11,"CricketZ"
"User",2,0.0717948717948718,11,"CricketZ"
"catch22",24,0.507692307692308,12,"CricketZ"
"User",2,0.0641025641025641,12,"CricketZ"
"catch22",24,0.517948717948718,13,"CricketZ"
"User",2,0.0666666666666667,13,"CricketZ"
"catch22",24,0.458974358974359,14,"CricketZ"
"User",2,0.0538461538461538,14,"CricketZ"
"catch22",24,0.494871794871795,15,"CricketZ"
"User",2,0.0666666666666667,15,"CricketZ"
"catch22",24,0.474358974358974,16,"CricketZ"
"User",2,0.0615384615384615,16,"CricketZ"
"catch22",24,0.507692307692308,17,"CricketZ"
"User",2,0.0512820512820513,17,"CricketZ"
"catch22",24,0.515384615384615,18,"CricketZ"
"User",2,0.0769230769230769,18,"CricketZ"
"catch22",24,0.533333333333333,19,"CricketZ"
"User",2,0.082051282051282,19,"CricketZ"
"catch22",24,0.515384615384615,20,"CricketZ"
"User",2,0.058974358974359,20,"CricketZ"
"catch22",24,0.530769230769231,21,"CricketZ"
"User",2,0.0794871794871795,21,"CricketZ"
"catch22",24,0.523076923076923,22,"CricketZ"
"User",2,0.0641025641025641,22,"CricketZ"
"catch22",24,0.48974358974359,23,"CricketZ"
"User",2,0.082051282051282,23,"CricketZ"
"catch22",24,0.543589743589744,24,"CricketZ"
"User",2,0.0666666666666667,24,"CricketZ"
"catch22",24,0.5,25,"CricketZ"
"User",2,0.0717948717948718,25,"CricketZ"
"catch22",24,0.482051282051282,26,"CricketZ"
"User",2,0.0717948717948718,26,"CricketZ"
"catch22",24,0.515384615384615,27,"CricketZ"
"User",2,0.0743589743589744,27,"CricketZ"
"catch22",24,0.505128205128205,28,"CricketZ"
"User",2,0.0743589743589744,28,"CricketZ"
"catch22",24,0.48974358974359,29,"CricketZ"
"User",2,0.0692307692307692,29,"CricketZ"
"catch22",24,0.512820512820513,30,"CricketZ"
"User",2,0.0692307692307692,30,"CricketZ"
