"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.712230215827338,1,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,1,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.784172661870504,2,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,2,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.705035971223022,3,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,3,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.798561151079137,4,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,4,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,5,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,5,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.741007194244604,6,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,6,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.848920863309353,7,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,7,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.755395683453237,8,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,8,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.762589928057554,9,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,9,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.81294964028777,10,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,10,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.798561151079137,11,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,11,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,12,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,12,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.79136690647482,13,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,13,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,14,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,14,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,15,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,15,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.755395683453237,16,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,16,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.805755395683453,17,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,17,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.755395683453237,18,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,18,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.755395683453237,19,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,19,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.755395683453237,20,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,20,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,21,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,21,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.79136690647482,22,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,22,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.733812949640288,23,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,23,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.76978417266187,24,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,24,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,25,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,25,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.690647482014389,26,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,26,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.762589928057554,27,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,27,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,28,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,28,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.762589928057554,29,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,29,"DistalPhalanxOutlineAgeGroup"
"catch22",24,0.748201438848921,30,"DistalPhalanxOutlineAgeGroup"
"User",2,0.467625899280576,30,"DistalPhalanxOutlineAgeGroup"
