"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.583333333333333,1,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,1,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,1,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.594202898550725,1,"DistalPhalanxOutlineCorrect"
"catch22",24,0.771739130434783,1,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,2,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,2,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,2,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,2,"DistalPhalanxOutlineCorrect"
"catch22",24,0.782608695652174,2,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,3,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,3,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,3,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,3,"DistalPhalanxOutlineCorrect"
"catch22",24,0.778985507246377,3,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,4,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,4,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,4,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,4,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,4,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,5,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,5,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,5,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,5,"DistalPhalanxOutlineCorrect"
"catch22",24,0.822463768115942,5,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,6,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,6,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,6,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,6,"DistalPhalanxOutlineCorrect"
"catch22",24,0.804347826086957,6,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,7,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,7,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,7,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,7,"DistalPhalanxOutlineCorrect"
"catch22",24,0.789855072463768,7,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,8,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,8,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,8,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,8,"DistalPhalanxOutlineCorrect"
"catch22",24,0.764492753623188,8,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,9,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,9,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,9,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,9,"DistalPhalanxOutlineCorrect"
"catch22",24,0.822463768115942,9,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,10,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,10,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,10,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,10,"DistalPhalanxOutlineCorrect"
"catch22",24,0.786231884057971,10,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,11,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,11,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,11,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,11,"DistalPhalanxOutlineCorrect"
"catch22",24,0.771739130434783,11,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,12,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,12,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,12,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,12,"DistalPhalanxOutlineCorrect"
"catch22",24,0.771739130434783,12,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,13,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,13,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,13,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,13,"DistalPhalanxOutlineCorrect"
"catch22",24,0.804347826086957,13,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,14,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,14,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,14,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,14,"DistalPhalanxOutlineCorrect"
"catch22",24,0.797101449275362,14,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,15,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,15,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,15,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,15,"DistalPhalanxOutlineCorrect"
"catch22",24,0.797101449275362,15,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,16,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,16,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,16,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,16,"DistalPhalanxOutlineCorrect"
"catch22",24,0.77536231884058,16,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,17,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,17,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,17,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,17,"DistalPhalanxOutlineCorrect"
"catch22",24,0.771739130434783,17,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,18,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,18,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,18,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,18,"DistalPhalanxOutlineCorrect"
"catch22",24,0.760869565217391,18,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,19,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,19,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,19,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,19,"DistalPhalanxOutlineCorrect"
"catch22",24,0.815217391304348,19,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,20,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,20,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,20,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,20,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,20,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,21,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,21,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,21,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,21,"DistalPhalanxOutlineCorrect"
"catch22",24,0.815217391304348,21,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,22,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,22,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,22,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,22,"DistalPhalanxOutlineCorrect"
"catch22",24,0.829710144927536,22,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,23,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,23,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,23,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,23,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,23,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,24,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,24,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,24,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,24,"DistalPhalanxOutlineCorrect"
"catch22",24,0.786231884057971,24,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,25,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,25,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,25,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,25,"DistalPhalanxOutlineCorrect"
"catch22",24,0.771739130434783,25,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,26,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,26,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,26,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,26,"DistalPhalanxOutlineCorrect"
"catch22",24,0.778985507246377,26,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,27,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,27,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,27,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,27,"DistalPhalanxOutlineCorrect"
"catch22",24,0.77536231884058,27,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,28,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,28,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,28,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,28,"DistalPhalanxOutlineCorrect"
"catch22",24,0.789855072463768,28,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,29,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,29,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,29,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,29,"DistalPhalanxOutlineCorrect"
"catch22",24,0.804347826086957,29,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,30,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,30,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,30,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,30,"DistalPhalanxOutlineCorrect"
"catch22",24,0.815217391304348,30,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,31,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,31,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,31,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,31,"DistalPhalanxOutlineCorrect"
"catch22",24,0.829710144927536,31,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,32,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,32,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,32,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,32,"DistalPhalanxOutlineCorrect"
"catch22",24,0.782608695652174,32,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,33,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,33,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,33,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,33,"DistalPhalanxOutlineCorrect"
"catch22",24,0.786231884057971,33,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,34,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,34,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,34,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,34,"DistalPhalanxOutlineCorrect"
"catch22",24,0.768115942028985,34,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,35,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,35,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,35,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,35,"DistalPhalanxOutlineCorrect"
"catch22",24,0.77536231884058,35,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,36,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,36,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,36,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,36,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,36,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,37,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,37,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,37,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,37,"DistalPhalanxOutlineCorrect"
"catch22",24,0.760869565217391,37,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,38,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,38,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,38,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,38,"DistalPhalanxOutlineCorrect"
"catch22",24,0.797101449275362,38,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,39,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,39,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,39,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,39,"DistalPhalanxOutlineCorrect"
"catch22",24,0.789855072463768,39,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,40,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,40,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,40,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,40,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,40,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,41,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,41,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,41,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,41,"DistalPhalanxOutlineCorrect"
"catch22",24,0.75,41,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,42,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,42,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,42,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,42,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,42,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,43,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,43,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,43,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,43,"DistalPhalanxOutlineCorrect"
"catch22",24,0.804347826086957,43,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,44,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,44,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,44,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,44,"DistalPhalanxOutlineCorrect"
"catch22",24,0.768115942028985,44,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,45,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,45,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,45,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,45,"DistalPhalanxOutlineCorrect"
"catch22",24,0.83695652173913,45,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,46,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,46,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,46,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,46,"DistalPhalanxOutlineCorrect"
"catch22",24,0.782608695652174,46,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,47,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,47,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,47,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,47,"DistalPhalanxOutlineCorrect"
"catch22",24,0.764492753623188,47,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,48,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,48,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,48,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,48,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,48,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,49,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,49,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,49,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,49,"DistalPhalanxOutlineCorrect"
"catch22",24,0.807971014492754,49,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,50,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,50,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,50,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,50,"DistalPhalanxOutlineCorrect"
"catch22",24,0.807971014492754,50,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,51,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,51,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,51,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,51,"DistalPhalanxOutlineCorrect"
"catch22",24,0.822463768115942,51,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,52,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,52,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,52,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,52,"DistalPhalanxOutlineCorrect"
"catch22",24,0.768115942028985,52,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,53,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,53,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,53,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,53,"DistalPhalanxOutlineCorrect"
"catch22",24,0.782608695652174,53,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,54,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,54,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,54,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,54,"DistalPhalanxOutlineCorrect"
"catch22",24,0.793478260869565,54,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,55,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,55,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,55,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,55,"DistalPhalanxOutlineCorrect"
"catch22",24,0.760869565217391,55,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,56,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,56,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,56,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,56,"DistalPhalanxOutlineCorrect"
"catch22",24,0.800724637681159,56,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,57,"DistalPhalanxOutlineCorrect"
"Moments 1,2",2,0.583333333333333,57,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3",3,0.583333333333333,57,"DistalPhalanxOutlineCorrect"
"Moments 1,2,3,4",4,0.583333333333333,57,"DistalPhalanxOutlineCorrect"
"catch22",24,0.800724637681159,57,"DistalPhalanxOutlineCorrect"
"Moment 1",1,0.583333333333333,58,"DistalPhalanxOutlineCorrect"
