"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.302158273381295,1,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,1,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,1,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.633093525179856,1,"DistalPhalanxTW"
"catch22",24,0.618705035971223,1,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,2,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,2,"DistalPhalanxTW"
"Moments 1,2,3",3,0.316546762589928,2,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.661870503597122,2,"DistalPhalanxTW"
"catch22",24,0.640287769784173,2,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,3,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,3,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,3,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.647482014388489,3,"DistalPhalanxTW"
"catch22",24,0.690647482014389,3,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,4,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,4,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,4,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.640287769784173,4,"DistalPhalanxTW"
"catch22",24,0.618705035971223,4,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,5,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,5,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,5,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.654676258992806,5,"DistalPhalanxTW"
"catch22",24,0.654676258992806,5,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,6,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,6,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,6,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.647482014388489,6,"DistalPhalanxTW"
"catch22",24,0.647482014388489,6,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,7,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,7,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,7,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.676258992805755,7,"DistalPhalanxTW"
"catch22",24,0.611510791366906,7,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,8,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,8,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,8,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.661870503597122,8,"DistalPhalanxTW"
"catch22",24,0.618705035971223,8,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,9,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,9,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,9,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.640287769784173,9,"DistalPhalanxTW"
"catch22",24,0.640287769784173,9,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,10,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,10,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,10,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.661870503597122,10,"DistalPhalanxTW"
"catch22",24,0.683453237410072,10,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,11,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,11,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,11,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.676258992805755,11,"DistalPhalanxTW"
"catch22",24,0.690647482014389,11,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,12,"DistalPhalanxTW"
"Moments 1,2",2,0.302158273381295,12,"DistalPhalanxTW"
"Moments 1,2,3",3,0.302158273381295,12,"DistalPhalanxTW"
"Moments 1,2,3,4",4,0.661870503597122,12,"DistalPhalanxTW"
"catch22",24,0.62589928057554,12,"DistalPhalanxTW"
"Moment 1",1,0.302158273381295,13,"DistalPhalanxTW"
