"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.467532467532468,1,"DodgerLoopDay"
"User",2,0.493506493506494,1,"DodgerLoopDay"
"catch22",24,0.454545454545455,2,"DodgerLoopDay"
"User",2,0.428571428571429,2,"DodgerLoopDay"
"catch22",24,0.48051948051948,3,"DodgerLoopDay"
"User",2,0.428571428571429,3,"DodgerLoopDay"
"catch22",24,0.454545454545455,4,"DodgerLoopDay"
"User",2,0.506493506493506,4,"DodgerLoopDay"
"catch22",24,0.506493506493506,5,"DodgerLoopDay"
"User",2,0.506493506493506,5,"DodgerLoopDay"
"catch22",24,0.48051948051948,6,"DodgerLoopDay"
"User",2,0.415584415584416,6,"DodgerLoopDay"
"catch22",24,0.454545454545455,7,"DodgerLoopDay"
"User",2,0.415584415584416,7,"DodgerLoopDay"
"catch22",24,0.415584415584416,8,"DodgerLoopDay"
"User",2,0.467532467532468,8,"DodgerLoopDay"
"catch22",24,0.48051948051948,9,"DodgerLoopDay"
"User",2,0.428571428571429,9,"DodgerLoopDay"
"catch22",24,0.493506493506494,10,"DodgerLoopDay"
"User",2,0.441558441558442,10,"DodgerLoopDay"
"catch22",24,0.454545454545455,11,"DodgerLoopDay"
"User",2,0.48051948051948,11,"DodgerLoopDay"
"catch22",24,0.441558441558442,12,"DodgerLoopDay"
"User",2,0.454545454545455,12,"DodgerLoopDay"
"catch22",24,0.493506493506494,13,"DodgerLoopDay"
"User",2,0.415584415584416,13,"DodgerLoopDay"
"catch22",24,0.467532467532468,14,"DodgerLoopDay"
"User",2,0.38961038961039,14,"DodgerLoopDay"
"catch22",24,0.519480519480519,15,"DodgerLoopDay"
"User",2,0.415584415584416,15,"DodgerLoopDay"
"catch22",24,0.428571428571429,16,"DodgerLoopDay"
"User",2,0.454545454545455,16,"DodgerLoopDay"
"catch22",24,0.454545454545455,17,"DodgerLoopDay"
"User",2,0.415584415584416,17,"DodgerLoopDay"
"catch22",24,0.467532467532468,18,"DodgerLoopDay"
"User",2,0.441558441558442,18,"DodgerLoopDay"
"catch22",24,0.493506493506494,19,"DodgerLoopDay"
"User",2,0.506493506493506,19,"DodgerLoopDay"
"catch22",24,0.493506493506494,20,"DodgerLoopDay"
"User",2,0.376623376623377,20,"DodgerLoopDay"
"catch22",24,0.506493506493506,21,"DodgerLoopDay"
"User",2,0.376623376623377,21,"DodgerLoopDay"
"catch22",24,0.493506493506494,22,"DodgerLoopDay"
"User",2,0.467532467532468,22,"DodgerLoopDay"
"catch22",24,0.454545454545455,23,"DodgerLoopDay"
"User",2,0.48051948051948,23,"DodgerLoopDay"
"catch22",24,0.454545454545455,24,"DodgerLoopDay"
"User",2,0.350649350649351,24,"DodgerLoopDay"
"catch22",24,0.454545454545455,25,"DodgerLoopDay"
"User",2,0.48051948051948,25,"DodgerLoopDay"
"catch22",24,0.506493506493506,26,"DodgerLoopDay"
"User",2,0.441558441558442,26,"DodgerLoopDay"
"catch22",24,0.493506493506494,27,"DodgerLoopDay"
"User",2,0.48051948051948,27,"DodgerLoopDay"
"catch22",24,0.428571428571429,28,"DodgerLoopDay"
"User",2,0.467532467532468,28,"DodgerLoopDay"
"catch22",24,0.467532467532468,29,"DodgerLoopDay"
"User",2,0.428571428571429,29,"DodgerLoopDay"
"catch22",24,0.454545454545455,30,"DodgerLoopDay"
"User",2,0.454545454545455,30,"DodgerLoopDay"
