"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.606299212598425,1,"DodgerLoopGame"
"Moments 1,2",2,0.559055118110236,1,"DodgerLoopGame"
"Moments 1,2,3",3,0.755905511811024,1,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.740157480314961,1,"DodgerLoopGame"
"catch22",24,0.614173228346457,1,"DodgerLoopGame"
"Moment 1",1,0.606299212598425,2,"DodgerLoopGame"
"Moments 1,2",2,0.551181102362205,2,"DodgerLoopGame"
"Moments 1,2,3",3,0.622047244094488,2,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.637795275590551,2,"DodgerLoopGame"
"catch22",24,0.62992125984252,2,"DodgerLoopGame"
"Moment 1",1,0.551181102362205,3,"DodgerLoopGame"
"Moments 1,2",2,0.551181102362205,3,"DodgerLoopGame"
"Moments 1,2,3",3,0.68503937007874,3,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.771653543307087,3,"DodgerLoopGame"
"catch22",24,0.724409448818898,3,"DodgerLoopGame"
"Moment 1",1,0.582677165354331,4,"DodgerLoopGame"
"Moments 1,2",2,0.582677165354331,4,"DodgerLoopGame"
"Moments 1,2,3",3,0.574803149606299,4,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.779527559055118,4,"DodgerLoopGame"
"catch22",24,0.692913385826772,4,"DodgerLoopGame"
"Moment 1",1,0.62992125984252,5,"DodgerLoopGame"
"Moments 1,2",2,0.559055118110236,5,"DodgerLoopGame"
"Moments 1,2,3",3,0.700787401574803,5,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.779527559055118,5,"DodgerLoopGame"
"catch22",24,0.677165354330709,5,"DodgerLoopGame"
"Moment 1",1,0.559055118110236,6,"DodgerLoopGame"
"Moments 1,2",2,0.511811023622047,6,"DodgerLoopGame"
"Moments 1,2,3",3,0.732283464566929,6,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.755905511811024,6,"DodgerLoopGame"
"catch22",24,0.708661417322835,6,"DodgerLoopGame"
"Moment 1",1,0.551181102362205,7,"DodgerLoopGame"
"Moments 1,2",2,0.543307086614173,7,"DodgerLoopGame"
"Moments 1,2,3",3,0.68503937007874,7,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.771653543307087,7,"DodgerLoopGame"
"catch22",24,0.771653543307087,7,"DodgerLoopGame"
"Moment 1",1,0.511811023622047,8,"DodgerLoopGame"
"Moments 1,2",2,0.535433070866142,8,"DodgerLoopGame"
"Moments 1,2,3",3,0.645669291338583,8,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.724409448818898,8,"DodgerLoopGame"
"catch22",24,0.748031496062992,8,"DodgerLoopGame"
"Moment 1",1,0.511811023622047,9,"DodgerLoopGame"
"Moments 1,2",2,0.566929133858268,9,"DodgerLoopGame"
"Moments 1,2,3",3,0.645669291338583,9,"DodgerLoopGame"
"Moments 1,2,3,4",4,0.708661417322835,9,"DodgerLoopGame"
"catch22",24,0.645669291338583,9,"DodgerLoopGame"
"Moment 1",1,0.574803149606299,10,"DodgerLoopGame"
"Moments 1,2",2,0.559055118110236,10,"DodgerLoopGame"
