"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.132596685082873,1,"EOGVerticalSignal"
"Moments 1,2",2,0.162983425414365,1,"EOGVerticalSignal"
"Moments 1,2,3",3,0.303867403314917,1,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.314917127071823,1,"EOGVerticalSignal"
"catch22",24,0.417127071823204,1,"EOGVerticalSignal"
"Moment 1",1,0.232044198895028,2,"EOGVerticalSignal"
"Moments 1,2",2,0.24585635359116,2,"EOGVerticalSignal"
"Moments 1,2,3",3,0.359116022099448,2,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.408839779005525,2,"EOGVerticalSignal"
"catch22",24,0.527624309392265,2,"EOGVerticalSignal"
"Moment 1",1,0.18232044198895,3,"EOGVerticalSignal"
"Moments 1,2",2,0.209944751381215,3,"EOGVerticalSignal"
"Moments 1,2,3",3,0.375690607734807,3,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.383977900552486,3,"EOGVerticalSignal"
"catch22",24,0.513812154696133,3,"EOGVerticalSignal"
"Moment 1",1,0.193370165745856,4,"EOGVerticalSignal"
"Moments 1,2",2,0.212707182320442,4,"EOGVerticalSignal"
"Moments 1,2,3",3,0.356353591160221,4,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.397790055248619,4,"EOGVerticalSignal"
"catch22",24,0.530386740331492,4,"EOGVerticalSignal"
"Moment 1",1,0.193370165745856,5,"EOGVerticalSignal"
"Moments 1,2",2,0.193370165745856,5,"EOGVerticalSignal"
"Moments 1,2,3",3,0.353591160220994,5,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.395027624309392,5,"EOGVerticalSignal"
"catch22",24,0.5,5,"EOGVerticalSignal"
"Moment 1",1,0.198895027624309,6,"EOGVerticalSignal"
"Moments 1,2",2,0.226519337016575,6,"EOGVerticalSignal"
"Moments 1,2,3",3,0.342541436464088,6,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.361878453038674,6,"EOGVerticalSignal"
"catch22",24,0.524861878453039,6,"EOGVerticalSignal"
"Moment 1",1,0.171270718232044,7,"EOGVerticalSignal"
"Moments 1,2",2,0.240331491712707,7,"EOGVerticalSignal"
"Moments 1,2,3",3,0.345303867403315,7,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.367403314917127,7,"EOGVerticalSignal"
"catch22",24,0.519337016574586,7,"EOGVerticalSignal"
"Moment 1",1,0.198895027624309,8,"EOGVerticalSignal"
"Moments 1,2",2,0.232044198895028,8,"EOGVerticalSignal"
"Moments 1,2,3",3,0.359116022099448,8,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.375690607734807,8,"EOGVerticalSignal"
"catch22",24,0.533149171270718,8,"EOGVerticalSignal"
"Moment 1",1,0.204419889502762,9,"EOGVerticalSignal"
"Moments 1,2",2,0.223756906077348,9,"EOGVerticalSignal"
"Moments 1,2,3",3,0.392265193370166,9,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.43646408839779,9,"EOGVerticalSignal"
"catch22",24,0.527624309392265,9,"EOGVerticalSignal"
"Moment 1",1,0.204419889502762,10,"EOGVerticalSignal"
"Moments 1,2",2,0.198895027624309,10,"EOGVerticalSignal"
"Moments 1,2,3",3,0.359116022099448,10,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.383977900552486,10,"EOGVerticalSignal"
"catch22",24,0.50828729281768,10,"EOGVerticalSignal"
"Moment 1",1,0.204419889502762,11,"EOGVerticalSignal"
"Moments 1,2",2,0.237569060773481,11,"EOGVerticalSignal"
"Moments 1,2,3",3,0.370165745856354,11,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.403314917127072,11,"EOGVerticalSignal"
"catch22",24,0.549723756906077,11,"EOGVerticalSignal"
"Moment 1",1,0.218232044198895,12,"EOGVerticalSignal"
"Moments 1,2",2,0.234806629834254,12,"EOGVerticalSignal"
"Moments 1,2,3",3,0.350828729281768,12,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.392265193370166,12,"EOGVerticalSignal"
"catch22",24,0.49171270718232,12,"EOGVerticalSignal"
"Moment 1",1,0.215469613259669,13,"EOGVerticalSignal"
"Moments 1,2",2,0.240331491712707,13,"EOGVerticalSignal"
"Moments 1,2,3",3,0.337016574585635,13,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.386740331491713,13,"EOGVerticalSignal"
"catch22",24,0.50828729281768,13,"EOGVerticalSignal"
"Moment 1",1,0.179558011049724,14,"EOGVerticalSignal"
"Moments 1,2",2,0.220994475138122,14,"EOGVerticalSignal"
"Moments 1,2,3",3,0.337016574585635,14,"EOGVerticalSignal"
"Moments 1,2,3,4",4,0.383977900552486,14,"EOGVerticalSignal"
"catch22",24,0.522099447513812,14,"EOGVerticalSignal"
"Moment 1",1,0.204419889502762,15,"EOGVerticalSignal"
