"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.137142857142857,1,"Fish"
"Moments 1,2",2,0.171428571428571,1,"Fish"
"Moments 1,2,3",3,0.217142857142857,1,"Fish"
"Moments 1,2,3,4",4,0.32,1,"Fish"
"catch22",21,0.725714285714286,1,"Fish"
"Moment 1",1,0.131428571428571,2,"Fish"
"Moments 1,2",2,0.165714285714286,2,"Fish"
"Moments 1,2,3",3,0.211428571428571,2,"Fish"
"Moments 1,2,3,4",4,0.268571428571429,2,"Fish"
"catch22",21,0.754285714285714,2,"Fish"
"Moment 1",1,0.131428571428571,3,"Fish"
"Moments 1,2",2,0.12,3,"Fish"
"Moments 1,2,3",3,0.12,3,"Fish"
"Moments 1,2,3,4",4,0.12,3,"Fish"
"catch22",21,0.708571428571429,3,"Fish"
"Moment 1",1,0.142857142857143,4,"Fish"
"Moments 1,2",2,0.154285714285714,4,"Fish"
"Moments 1,2,3",3,0.16,4,"Fish"
"Moments 1,2,3,4",4,0.165714285714286,4,"Fish"
"catch22",21,0.685714285714286,4,"Fish"
"Moment 1",1,0.148571428571429,5,"Fish"
"Moments 1,2",2,0.188571428571429,5,"Fish"
"Moments 1,2,3",3,0.217142857142857,5,"Fish"
"Moments 1,2,3,4",4,0.297142857142857,5,"Fish"
"catch22",21,0.754285714285714,5,"Fish"
"Moment 1",1,0.165714285714286,6,"Fish"
"Moments 1,2",2,0.142857142857143,6,"Fish"
"Moments 1,2,3",3,0.222857142857143,6,"Fish"
"Moments 1,2,3,4",4,0.308571428571429,6,"Fish"
"catch22",21,0.737142857142857,6,"Fish"
"Moment 1",1,0.131428571428571,7,"Fish"
"Moments 1,2",2,0.125714285714286,7,"Fish"
"Moments 1,2,3",3,0.171428571428571,7,"Fish"
"Moments 1,2,3,4",4,0.302857142857143,7,"Fish"
"catch22",21,0.754285714285714,7,"Fish"
"Moment 1",1,0.125714285714286,8,"Fish"
"Moments 1,2",2,0.177142857142857,8,"Fish"
"Moments 1,2,3",3,0.182857142857143,8,"Fish"
"Moments 1,2,3,4",4,0.182857142857143,8,"Fish"
"catch22",21,0.725714285714286,8,"Fish"
"Moment 1",1,0.137142857142857,9,"Fish"
"Moments 1,2",2,0.165714285714286,9,"Fish"
"Moments 1,2,3",3,0.257142857142857,9,"Fish"
"Moments 1,2,3,4",4,0.285714285714286,9,"Fish"
"catch22",21,0.737142857142857,9,"Fish"
"Moment 1",1,0.131428571428571,10,"Fish"
"Moments 1,2",2,0.154285714285714,10,"Fish"
"Moments 1,2,3",3,0.165714285714286,10,"Fish"
"Moments 1,2,3,4",4,0.165714285714286,10,"Fish"
"catch22",21,0.68,10,"Fish"
"Moment 1",1,0.125714285714286,11,"Fish"
"Moments 1,2",2,0.137142857142857,11,"Fish"
"Moments 1,2,3",3,0.24,11,"Fish"
"Moments 1,2,3,4",4,0.291428571428571,11,"Fish"
"catch22",21,0.754285714285714,11,"Fish"
"Moment 1",1,0.142857142857143,12,"Fish"
"Moments 1,2",2,0.148571428571429,12,"Fish"
"Moments 1,2,3",3,0.182857142857143,12,"Fish"
"Moments 1,2,3,4",4,0.188571428571429,12,"Fish"
"catch22",21,0.68,12,"Fish"
"Moment 1",1,0.0857142857142857,13,"Fish"
"Moments 1,2",2,0.12,13,"Fish"
"Moments 1,2,3",3,0.188571428571429,13,"Fish"
"Moments 1,2,3,4",4,0.274285714285714,13,"Fish"
"catch22",21,0.765714285714286,13,"Fish"
"Moment 1",1,0.0857142857142857,14,"Fish"
"Moments 1,2",2,0.154285714285714,14,"Fish"
"Moments 1,2,3",3,0.16,14,"Fish"
"Moments 1,2,3,4",4,0.165714285714286,14,"Fish"
"catch22",21,0.68,14,"Fish"
"Moment 1",1,0.0914285714285714,15,"Fish"
"Moments 1,2",2,0.137142857142857,15,"Fish"
"Moments 1,2,3",3,0.222857142857143,15,"Fish"
"Moments 1,2,3,4",4,0.262857142857143,15,"Fish"
"catch22",21,0.702857142857143,15,"Fish"
"Moment 1",1,0.142857142857143,16,"Fish"
"Moments 1,2",2,0.182857142857143,16,"Fish"
"Moments 1,2,3",3,0.211428571428571,16,"Fish"
"Moments 1,2,3,4",4,0.211428571428571,16,"Fish"
"catch22",21,0.674285714285714,16,"Fish"
"Moment 1",1,0.137142857142857,17,"Fish"
"Moments 1,2",2,0.142857142857143,17,"Fish"
"Moments 1,2,3",3,0.222857142857143,17,"Fish"
"Moments 1,2,3,4",4,0.285714285714286,17,"Fish"
"catch22",21,0.777142857142857,17,"Fish"
"Moment 1",1,0.114285714285714,18,"Fish"
"Moments 1,2",2,0.154285714285714,18,"Fish"
"Moments 1,2,3",3,0.142857142857143,18,"Fish"
"Moments 1,2,3,4",4,0.142857142857143,18,"Fish"
"catch22",21,0.622857142857143,18,"Fish"
"Moment 1",1,0.12,19,"Fish"
"Moments 1,2",2,0.217142857142857,19,"Fish"
"Moments 1,2,3",3,0.251428571428571,19,"Fish"
"Moments 1,2,3,4",4,0.36,19,"Fish"
"catch22",21,0.765714285714286,19,"Fish"
"Moment 1",1,0.114285714285714,20,"Fish"
"Moments 1,2",2,0.16,20,"Fish"
"Moments 1,2,3",3,0.177142857142857,20,"Fish"
"Moments 1,2,3,4",4,0.182857142857143,20,"Fish"
"catch22",21,0.674285714285714,20,"Fish"
"Moment 1",1,0.148571428571429,21,"Fish"
"Moments 1,2",2,0.16,21,"Fish"
"Moments 1,2,3",3,0.257142857142857,21,"Fish"
"Moments 1,2,3,4",4,0.354285714285714,21,"Fish"
"catch22",21,0.742857142857143,21,"Fish"
"Moment 1",1,0.125714285714286,22,"Fish"
"Moments 1,2",2,0.16,22,"Fish"
"Moments 1,2,3",3,0.24,22,"Fish"
"Moments 1,2,3,4",4,0.297142857142857,22,"Fish"
"catch22",21,0.76,22,"Fish"
"Moment 1",1,0.131428571428571,23,"Fish"
"Moments 1,2",2,0.171428571428571,23,"Fish"
"Moments 1,2,3",3,0.217142857142857,23,"Fish"
"Moments 1,2,3,4",4,0.28,23,"Fish"
"catch22",21,0.737142857142857,23,"Fish"
"Moment 1",1,0.12,24,"Fish"
"Moments 1,2",2,0.137142857142857,24,"Fish"
"Moments 1,2,3",3,0.217142857142857,24,"Fish"
"Moments 1,2,3,4",4,0.268571428571429,24,"Fish"
"catch22",21,0.748571428571429,24,"Fish"
"Moment 1",1,0.125714285714286,25,"Fish"
"Moments 1,2",2,0.154285714285714,25,"Fish"
"Moments 1,2,3",3,0.234285714285714,25,"Fish"
"Moments 1,2,3,4",4,0.222857142857143,25,"Fish"
"catch22",21,0.691428571428571,25,"Fish"
"Moment 1",1,0.137142857142857,26,"Fish"
"Moments 1,2",2,0.142857142857143,26,"Fish"
"Moments 1,2,3",3,0.205714285714286,26,"Fish"
"Moments 1,2,3,4",4,0.297142857142857,26,"Fish"
"catch22",21,0.742857142857143,26,"Fish"
"Moment 1",1,0.12,27,"Fish"
"Moments 1,2",2,0.171428571428571,27,"Fish"
"Moments 1,2,3",3,0.274285714285714,27,"Fish"
"Moments 1,2,3,4",4,0.291428571428571,27,"Fish"
"catch22",21,0.662857142857143,27,"Fish"
"Moment 1",1,0.125714285714286,28,"Fish"
"Moments 1,2",2,0.137142857142857,28,"Fish"
"Moments 1,2,3",3,0.222857142857143,28,"Fish"
"Moments 1,2,3,4",4,0.302857142857143,28,"Fish"
"catch22",21,0.777142857142857,28,"Fish"
"Moment 1",1,0.102857142857143,29,"Fish"
"Moments 1,2",2,0.16,29,"Fish"
"Moments 1,2,3",3,0.211428571428571,29,"Fish"
"Moments 1,2,3,4",4,0.274285714285714,29,"Fish"
"catch22",21,0.771428571428571,29,"Fish"
"Moment 1",1,0.131428571428571,30,"Fish"
"Moments 1,2",2,0.154285714285714,30,"Fish"
"Moments 1,2,3",3,0.16,30,"Fish"
"Moments 1,2,3,4",4,0.16,30,"Fish"
"catch22",21,0.662857142857143,30,"Fish"
