"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.043010752688172,1,"Fungi"
"Moments 1,2",2,0.198924731182796,1,"Fungi"
"Moments 1,2,3",3,0.32258064516129,1,"Fungi"
"Moments 1,2,3,4",4,0.360215053763441,1,"Fungi"
"catch22",24,0.801075268817204,1,"Fungi"
"Moment 1",1,0.0806451612903226,2,"Fungi"
"Moments 1,2",2,0.21505376344086,2,"Fungi"
"Moments 1,2,3",3,0.279569892473118,2,"Fungi"
"Moments 1,2,3,4",4,0.317204301075269,2,"Fungi"
"catch22",24,0.720430107526882,2,"Fungi"
"Moment 1",1,0.0537634408602151,3,"Fungi"
"Moments 1,2",2,0.161290322580645,3,"Fungi"
"Moments 1,2,3",3,0.252688172043011,3,"Fungi"
"Moments 1,2,3,4",4,0.344086021505376,3,"Fungi"
"catch22",24,0.881720430107527,3,"Fungi"
"Moment 1",1,0.0537634408602151,4,"Fungi"
"Moments 1,2",2,0.225806451612903,4,"Fungi"
"Moments 1,2,3",3,0.317204301075269,4,"Fungi"
"Moments 1,2,3,4",4,0.354838709677419,4,"Fungi"
"catch22",24,0.844086021505376,4,"Fungi"
"Moment 1",1,0.0752688172043011,5,"Fungi"
"Moments 1,2",2,0.188172043010753,5,"Fungi"
"Moments 1,2,3",3,0.263440860215054,5,"Fungi"
"Moments 1,2,3,4",4,0.317204301075269,5,"Fungi"
"catch22",24,0.747311827956989,5,"Fungi"
"Moment 1",1,0.0591397849462366,6,"Fungi"
"Moments 1,2",2,0.204301075268817,6,"Fungi"
"Moments 1,2,3",3,0.295698924731183,6,"Fungi"
"Moments 1,2,3,4",4,0.349462365591398,6,"Fungi"
"catch22",24,0.833333333333333,6,"Fungi"
"Moment 1",1,0.0537634408602151,7,"Fungi"
"Moments 1,2",2,0.198924731182796,7,"Fungi"
"Moments 1,2,3",3,0.268817204301075,7,"Fungi"
"Moments 1,2,3,4",4,0.327956989247312,7,"Fungi"
"catch22",24,0.811827956989247,7,"Fungi"
"Moment 1",1,0.0860215053763441,8,"Fungi"
"Moments 1,2",2,0.220430107526882,8,"Fungi"
"Moments 1,2,3",3,0.274193548387097,8,"Fungi"
"Moments 1,2,3,4",4,0.317204301075269,8,"Fungi"
"catch22",24,0.806451612903226,8,"Fungi"
"Moment 1",1,0.0860215053763441,9,"Fungi"
"Moments 1,2",2,0.225806451612903,9,"Fungi"
"Moments 1,2,3",3,0.354838709677419,9,"Fungi"
"Moments 1,2,3,4",4,0.387096774193548,9,"Fungi"
"catch22",24,0.870967741935484,9,"Fungi"
"Moment 1",1,0.0537634408602151,10,"Fungi"
"Moments 1,2",2,0.225806451612903,10,"Fungi"
"Moments 1,2,3",3,0.349462365591398,10,"Fungi"
"Moments 1,2,3,4",4,0.419354838709677,10,"Fungi"
"catch22",24,0.806451612903226,10,"Fungi"
"Moment 1",1,0.0591397849462366,11,"Fungi"
"Moments 1,2",2,0.209677419354839,11,"Fungi"
"Moments 1,2,3",3,0.344086021505376,11,"Fungi"
"Moments 1,2,3,4",4,0.376344086021505,11,"Fungi"
"catch22",24,0.881720430107527,11,"Fungi"
"Moment 1",1,0.0752688172043011,12,"Fungi"
"Moments 1,2",2,0.182795698924731,12,"Fungi"
"Moments 1,2,3",3,0.306451612903226,12,"Fungi"
"Moments 1,2,3,4",4,0.397849462365591,12,"Fungi"
"catch22",24,0.82258064516129,12,"Fungi"
"Moment 1",1,0.0645161290322581,13,"Fungi"
"Moments 1,2",2,0.241935483870968,13,"Fungi"
"Moments 1,2,3",3,0.311827956989247,13,"Fungi"
"Moments 1,2,3,4",4,0.360215053763441,13,"Fungi"
"catch22",24,0.736559139784946,13,"Fungi"
"Moment 1",1,0.043010752688172,14,"Fungi"
"Moments 1,2",2,0.236559139784946,14,"Fungi"
"Moments 1,2,3",3,0.333333333333333,14,"Fungi"
"Moments 1,2,3,4",4,0.360215053763441,14,"Fungi"
"catch22",24,0.838709677419355,14,"Fungi"
"Moment 1",1,0.0537634408602151,15,"Fungi"
"Moments 1,2",2,0.21505376344086,15,"Fungi"
"Moments 1,2,3",3,0.311827956989247,15,"Fungi"
"Moments 1,2,3,4",4,0.354838709677419,15,"Fungi"
"catch22",24,0.763440860215054,15,"Fungi"
"Moment 1",1,0.0483870967741935,16,"Fungi"
"Moments 1,2",2,0.209677419354839,16,"Fungi"
"Moments 1,2,3",3,0.360215053763441,16,"Fungi"
"Moments 1,2,3,4",4,0.39247311827957,16,"Fungi"
"catch22",24,0.720430107526882,16,"Fungi"
"Moment 1",1,0.0591397849462366,17,"Fungi"
"Moments 1,2",2,0.236559139784946,17,"Fungi"
"Moments 1,2,3",3,0.311827956989247,17,"Fungi"
"Moments 1,2,3,4",4,0.333333333333333,17,"Fungi"
"catch22",24,0.817204301075269,17,"Fungi"
"Moment 1",1,0.10752688172043,18,"Fungi"
"Moments 1,2",2,0.220430107526882,18,"Fungi"
"Moments 1,2,3",3,0.360215053763441,18,"Fungi"
"Moments 1,2,3,4",4,0.360215053763441,18,"Fungi"
"catch22",24,0.720430107526882,18,"Fungi"
"Moment 1",1,0.0752688172043011,19,"Fungi"
"Moments 1,2",2,0.188172043010753,19,"Fungi"
"Moments 1,2,3",3,0.274193548387097,19,"Fungi"
"Moments 1,2,3,4",4,0.317204301075269,19,"Fungi"
"catch22",24,0.709677419354839,19,"Fungi"
"Moment 1",1,0.043010752688172,20,"Fungi"
"Moments 1,2",2,0.225806451612903,20,"Fungi"
"Moments 1,2,3",3,0.32258064516129,20,"Fungi"
"Moments 1,2,3,4",4,0.354838709677419,20,"Fungi"
"catch22",24,0.838709677419355,20,"Fungi"
"Moment 1",1,0.0591397849462366,21,"Fungi"
"Moments 1,2",2,0.231182795698925,21,"Fungi"
"Moments 1,2,3",3,0.311827956989247,21,"Fungi"
"Moments 1,2,3,4",4,0.349462365591398,21,"Fungi"
"catch22",24,0.827956989247312,21,"Fungi"
"Moment 1",1,0.0752688172043011,22,"Fungi"
"Moments 1,2",2,0.225806451612903,22,"Fungi"
"Moments 1,2,3",3,0.338709677419355,22,"Fungi"
"Moments 1,2,3,4",4,0.365591397849462,22,"Fungi"
"catch22",24,0.881720430107527,22,"Fungi"
"Moment 1",1,0.0752688172043011,23,"Fungi"
"Moments 1,2",2,0.236559139784946,23,"Fungi"
"Moments 1,2,3",3,0.295698924731183,23,"Fungi"
"Moments 1,2,3,4",4,0.32258064516129,23,"Fungi"
"catch22",24,0.811827956989247,23,"Fungi"
"Moment 1",1,0.0591397849462366,24,"Fungi"
"Moments 1,2",2,0.209677419354839,24,"Fungi"
"Moments 1,2,3",3,0.295698924731183,24,"Fungi"
"Moments 1,2,3,4",4,0.344086021505376,24,"Fungi"
"catch22",24,0.838709677419355,24,"Fungi"
"Moment 1",1,0.043010752688172,25,"Fungi"
"Moments 1,2",2,0.182795698924731,25,"Fungi"
"Moments 1,2,3",3,0.268817204301075,25,"Fungi"
"Moments 1,2,3,4",4,0.290322580645161,25,"Fungi"
"catch22",24,0.89247311827957,25,"Fungi"
"Moment 1",1,0.043010752688172,26,"Fungi"
"Moments 1,2",2,0.166666666666667,26,"Fungi"
