"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.493333333333333,1,"GunPoint"
"Moments 1,2",2,0.493333333333333,1,"GunPoint"
"Moments 1,2,3",3,0.566666666666667,1,"GunPoint"
"Moments 1,2,3,4",4,0.593333333333333,1,"GunPoint"
"catch22",23,0.92,1,"GunPoint"
"Moment 1",1,0.426666666666667,2,"GunPoint"
"Moments 1,2",2,0.453333333333333,2,"GunPoint"
"Moments 1,2,3",3,0.513333333333333,2,"GunPoint"
"Moments 1,2,3,4",4,0.553333333333333,2,"GunPoint"
"catch22",24,0.886666666666667,2,"GunPoint"
"Moment 1",1,0.493333333333333,3,"GunPoint"
"Moments 1,2",2,0.46,3,"GunPoint"
"Moments 1,2,3",3,0.526666666666667,3,"GunPoint"
"Moments 1,2,3,4",4,0.586666666666667,3,"GunPoint"
"catch22",24,0.953333333333333,3,"GunPoint"
"Moment 1",1,0.46,4,"GunPoint"
"Moments 1,2",2,0.446666666666667,4,"GunPoint"
"Moments 1,2,3",3,0.553333333333333,4,"GunPoint"
"Moments 1,2,3,4",4,0.586666666666667,4,"GunPoint"
"catch22",24,0.906666666666667,4,"GunPoint"
"Moment 1",1,0.48,5,"GunPoint"
"Moments 1,2",2,0.486666666666667,5,"GunPoint"
"Moments 1,2,3",3,0.533333333333333,5,"GunPoint"
"Moments 1,2,3,4",4,0.573333333333333,5,"GunPoint"
"catch22",24,0.933333333333333,5,"GunPoint"
"Moment 1",1,0.473333333333333,6,"GunPoint"
"Moments 1,2",2,0.486666666666667,6,"GunPoint"
"Moments 1,2,3",3,0.54,6,"GunPoint"
"Moments 1,2,3,4",4,0.633333333333333,6,"GunPoint"
"catch22",24,0.853333333333333,6,"GunPoint"
"Moment 1",1,0.493333333333333,7,"GunPoint"
"Moments 1,2",2,0.493333333333333,7,"GunPoint"
"Moments 1,2,3",3,0.586666666666667,7,"GunPoint"
"Moments 1,2,3,4",4,0.62,7,"GunPoint"
"catch22",24,0.96,7,"GunPoint"
"Moment 1",1,0.473333333333333,8,"GunPoint"
"Moments 1,2",2,0.493333333333333,8,"GunPoint"
"Moments 1,2,3",3,0.52,8,"GunPoint"
"Moments 1,2,3,4",4,0.586666666666667,8,"GunPoint"
"catch22",23,0.94,8,"GunPoint"
"Moment 1",1,0.493333333333333,9,"GunPoint"
"Moments 1,2",2,0.493333333333333,9,"GunPoint"
"Moments 1,2,3",3,0.673333333333333,9,"GunPoint"
"Moments 1,2,3,4",4,0.553333333333333,9,"GunPoint"
"catch22",24,0.926666666666667,9,"GunPoint"
"Moment 1",1,0.493333333333333,10,"GunPoint"
"Moments 1,2",2,0.473333333333333,10,"GunPoint"
"Moments 1,2,3",3,0.506666666666667,10,"GunPoint"
"Moments 1,2,3,4",4,0.606666666666667,10,"GunPoint"
"catch22",24,0.953333333333333,10,"GunPoint"
"Moment 1",1,0.453333333333333,11,"GunPoint"
"Moments 1,2",2,0.473333333333333,11,"GunPoint"
"Moments 1,2,3",3,0.506666666666667,11,"GunPoint"
"Moments 1,2,3,4",4,0.533333333333333,11,"GunPoint"
"catch22",23,0.813333333333333,11,"GunPoint"
"Moment 1",1,0.533333333333333,12,"GunPoint"
"Moments 1,2",2,0.48,12,"GunPoint"
"Moments 1,2,3",3,0.513333333333333,12,"GunPoint"
"Moments 1,2,3,4",4,0.593333333333333,12,"GunPoint"
"catch22",23,0.886666666666667,12,"GunPoint"
"Moment 1",1,0.46,13,"GunPoint"
"Moments 1,2",2,0.466666666666667,13,"GunPoint"
"Moments 1,2,3",3,0.546666666666667,13,"GunPoint"
"Moments 1,2,3,4",4,0.566666666666667,13,"GunPoint"
"catch22",23,0.886666666666667,13,"GunPoint"
"Moment 1",1,0.493333333333333,14,"GunPoint"
"Moments 1,2",2,0.493333333333333,14,"GunPoint"
"Moments 1,2,3",3,0.566666666666667,14,"GunPoint"
"Moments 1,2,3,4",4,0.613333333333333,14,"GunPoint"
"catch22",24,0.94,14,"GunPoint"
"Moment 1",1,0.493333333333333,15,"GunPoint"
"Moments 1,2",2,0.493333333333333,15,"GunPoint"
"Moments 1,2,3",3,0.5,15,"GunPoint"
"Moments 1,2,3,4",4,0.573333333333333,15,"GunPoint"
"catch22",24,0.906666666666667,15,"GunPoint"
"Moment 1",1,0.46,16,"GunPoint"
"Moments 1,2",2,0.5,16,"GunPoint"
"Moments 1,2,3",3,0.54,16,"GunPoint"
"Moments 1,2,3,4",4,0.6,16,"GunPoint"
"catch22",23,0.873333333333333,16,"GunPoint"
"Moment 1",1,0.446666666666667,17,"GunPoint"
"Moments 1,2",2,0.5,17,"GunPoint"
"Moments 1,2,3",3,0.533333333333333,17,"GunPoint"
"Moments 1,2,3,4",4,0.593333333333333,17,"GunPoint"
"catch22",24,0.92,17,"GunPoint"
"Moment 1",1,0.493333333333333,18,"GunPoint"
"Moments 1,2",2,0.466666666666667,18,"GunPoint"
"Moments 1,2,3",3,0.546666666666667,18,"GunPoint"
"Moments 1,2,3,4",4,0.606666666666667,18,"GunPoint"
"catch22",23,0.92,18,"GunPoint"
"Moment 1",1,0.446666666666667,19,"GunPoint"
"Moments 1,2",2,0.46,19,"GunPoint"
"Moments 1,2,3",3,0.54,19,"GunPoint"
"Moments 1,2,3,4",4,0.606666666666667,19,"GunPoint"
"catch22",23,0.933333333333333,19,"GunPoint"
"Moment 1",1,0.493333333333333,20,"GunPoint"
"Moments 1,2",2,0.473333333333333,20,"GunPoint"
"Moments 1,2,3",3,0.493333333333333,20,"GunPoint"
"Moments 1,2,3,4",4,0.546666666666667,20,"GunPoint"
"catch22",24,0.92,20,"GunPoint"
"Moment 1",1,0.466666666666667,21,"GunPoint"
"Moments 1,2",2,0.453333333333333,21,"GunPoint"
"Moments 1,2,3",3,0.546666666666667,21,"GunPoint"
"Moments 1,2,3,4",4,0.58,21,"GunPoint"
"catch22",23,0.94,21,"GunPoint"
"Moment 1",1,0.46,22,"GunPoint"
"Moments 1,2",2,0.506666666666667,22,"GunPoint"
"Moments 1,2,3",3,0.533333333333333,22,"GunPoint"
"Moments 1,2,3,4",4,0.613333333333333,22,"GunPoint"
"catch22",24,0.926666666666667,22,"GunPoint"
"Moment 1",1,0.46,23,"GunPoint"
"Moments 1,2",2,0.44,23,"GunPoint"
"Moments 1,2,3",3,0.52,23,"GunPoint"
"Moments 1,2,3,4",4,0.586666666666667,23,"GunPoint"
"catch22",23,0.966666666666667,23,"GunPoint"
"Moment 1",1,0.413333333333333,24,"GunPoint"
"Moments 1,2",2,0.426666666666667,24,"GunPoint"
"Moments 1,2,3",3,0.486666666666667,24,"GunPoint"
"Moments 1,2,3,4",4,0.52,24,"GunPoint"
"catch22",23,0.846666666666667,24,"GunPoint"
"Moment 1",1,0.486666666666667,25,"GunPoint"
"Moments 1,2",2,0.486666666666667,25,"GunPoint"
"Moments 1,2,3",3,0.58,25,"GunPoint"
"Moments 1,2,3,4",4,0.62,25,"GunPoint"
"catch22",24,0.933333333333333,25,"GunPoint"
"Moment 1",1,0.446666666666667,26,"GunPoint"
"Moments 1,2",2,0.486666666666667,26,"GunPoint"
"Moments 1,2,3",3,0.546666666666667,26,"GunPoint"
"Moments 1,2,3,4",4,0.58,26,"GunPoint"
"catch22",23,0.926666666666667,26,"GunPoint"
"Moment 1",1,0.493333333333333,27,"GunPoint"
"Moments 1,2",2,0.486666666666667,27,"GunPoint"
"Moments 1,2,3",3,0.58,27,"GunPoint"
"Moments 1,2,3,4",4,0.633333333333333,27,"GunPoint"
"catch22",24,0.926666666666667,27,"GunPoint"
"Moment 1",1,0.493333333333333,28,"GunPoint"
"Moments 1,2",2,0.493333333333333,28,"GunPoint"
"Moments 1,2,3",3,0.513333333333333,28,"GunPoint"
"Moments 1,2,3,4",4,0.593333333333333,28,"GunPoint"
"catch22",23,0.886666666666667,28,"GunPoint"
"Moment 1",1,0.473333333333333,29,"GunPoint"
"Moments 1,2",2,0.46,29,"GunPoint"
"Moments 1,2,3",3,0.56,29,"GunPoint"
"Moments 1,2,3,4",4,0.553333333333333,29,"GunPoint"
"catch22",23,0.873333333333333,29,"GunPoint"
"Moment 1",1,0.466666666666667,30,"GunPoint"
"Moments 1,2",2,0.453333333333333,30,"GunPoint"
"Moments 1,2,3",3,0.573333333333333,30,"GunPoint"
"Moments 1,2,3,4",4,0.66,30,"GunPoint"
"catch22",23,0.9,30,"GunPoint"
