"feature_set","num_features","accuracy","resample","problem"
"catch22",24,1,1,"GunPointOldVersusYoung"
"User",2,1,1,"GunPointOldVersusYoung"
"catch22",24,1,2,"GunPointOldVersusYoung"
"User",2,1,2,"GunPointOldVersusYoung"
"catch22",24,1,3,"GunPointOldVersusYoung"
"User",2,1,3,"GunPointOldVersusYoung"
"catch22",24,1,4,"GunPointOldVersusYoung"
"User",2,1,4,"GunPointOldVersusYoung"
"catch22",24,1,5,"GunPointOldVersusYoung"
"User",2,1,5,"GunPointOldVersusYoung"
"catch22",24,1,6,"GunPointOldVersusYoung"
"User",2,1,6,"GunPointOldVersusYoung"
"catch22",24,1,7,"GunPointOldVersusYoung"
"User",2,1,7,"GunPointOldVersusYoung"
"catch22",24,1,8,"GunPointOldVersusYoung"
"User",2,1,8,"GunPointOldVersusYoung"
"catch22",24,1,9,"GunPointOldVersusYoung"
"User",2,1,9,"GunPointOldVersusYoung"
"catch22",24,1,10,"GunPointOldVersusYoung"
"User",2,1,10,"GunPointOldVersusYoung"
"catch22",24,1,11,"GunPointOldVersusYoung"
"User",2,1,11,"GunPointOldVersusYoung"
"catch22",24,1,12,"GunPointOldVersusYoung"
"User",2,1,12,"GunPointOldVersusYoung"
"catch22",24,1,13,"GunPointOldVersusYoung"
"User",2,1,13,"GunPointOldVersusYoung"
"catch22",24,1,14,"GunPointOldVersusYoung"
"User",2,1,14,"GunPointOldVersusYoung"
"catch22",24,1,15,"GunPointOldVersusYoung"
"User",2,1,15,"GunPointOldVersusYoung"
"catch22",24,1,16,"GunPointOldVersusYoung"
"User",2,1,16,"GunPointOldVersusYoung"
"catch22",24,1,17,"GunPointOldVersusYoung"
"User",2,1,17,"GunPointOldVersusYoung"
"catch22",24,1,18,"GunPointOldVersusYoung"
"User",2,1,18,"GunPointOldVersusYoung"
"catch22",24,1,19,"GunPointOldVersusYoung"
"User",2,1,19,"GunPointOldVersusYoung"
"catch22",24,1,20,"GunPointOldVersusYoung"
"User",2,1,20,"GunPointOldVersusYoung"
"catch22",24,1,21,"GunPointOldVersusYoung"
"User",2,1,21,"GunPointOldVersusYoung"
"catch22",24,1,22,"GunPointOldVersusYoung"
"User",2,1,22,"GunPointOldVersusYoung"
"catch22",24,1,23,"GunPointOldVersusYoung"
"User",2,1,23,"GunPointOldVersusYoung"
"catch22",24,1,24,"GunPointOldVersusYoung"
"User",2,1,24,"GunPointOldVersusYoung"
"catch22",24,1,25,"GunPointOldVersusYoung"
"User",2,1,25,"GunPointOldVersusYoung"
"catch22",24,1,26,"GunPointOldVersusYoung"
"User",2,1,26,"GunPointOldVersusYoung"
"catch22",24,1,27,"GunPointOldVersusYoung"
"User",2,1,27,"GunPointOldVersusYoung"
"catch22",24,1,28,"GunPointOldVersusYoung"
"User",2,1,28,"GunPointOldVersusYoung"
"catch22",24,1,29,"GunPointOldVersusYoung"
"User",2,1,29,"GunPointOldVersusYoung"
"catch22",24,1,30,"GunPointOldVersusYoung"
"User",2,1,30,"GunPointOldVersusYoung"
