"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.723809523809524,1,"Ham"
"User",2,0.514285714285714,1,"Ham"
"catch22",24,0.666666666666667,2,"Ham"
"User",2,0.514285714285714,2,"Ham"
"catch22",24,0.60952380952381,3,"Ham"
"User",2,0.476190476190476,3,"Ham"
"catch22",24,0.59047619047619,4,"Ham"
"User",2,0.552380952380952,4,"Ham"
"catch22",24,0.647619047619048,5,"Ham"
"User",2,0.514285714285714,5,"Ham"
"catch22",24,0.657142857142857,6,"Ham"
"User",2,0.514285714285714,6,"Ham"
"catch22",24,0.733333333333333,7,"Ham"
"User",2,0.504761904761905,7,"Ham"
"catch22",24,0.60952380952381,8,"Ham"
"User",2,0.514285714285714,8,"Ham"
"catch22",24,0.647619047619048,9,"Ham"
"User",2,0.476190476190476,9,"Ham"
"catch22",24,0.580952380952381,10,"Ham"
"User",2,0.466666666666667,10,"Ham"
"catch22",24,0.666666666666667,11,"Ham"
"User",2,0.476190476190476,11,"Ham"
"catch22",24,0.666666666666667,12,"Ham"
"User",2,0.514285714285714,12,"Ham"
"catch22",24,0.533333333333333,13,"Ham"
"User",2,0.485714285714286,13,"Ham"
"catch22",24,0.638095238095238,14,"Ham"
"User",2,0.514285714285714,14,"Ham"
"catch22",24,0.580952380952381,15,"Ham"
"User",2,0.476190476190476,15,"Ham"
"catch22",24,0.685714285714286,16,"Ham"
"User",2,0.523809523809524,16,"Ham"
"catch22",24,0.628571428571429,17,"Ham"
"User",2,0.514285714285714,17,"Ham"
"catch22",24,0.638095238095238,18,"Ham"
"User",2,0.514285714285714,18,"Ham"
"catch22",24,0.60952380952381,19,"Ham"
"User",2,0.514285714285714,19,"Ham"
"catch22",24,0.752380952380952,20,"Ham"
"User",2,0.495238095238095,20,"Ham"
"catch22",24,0.571428571428571,21,"Ham"
"User",2,0.514285714285714,21,"Ham"
"catch22",24,0.666666666666667,22,"Ham"
"User",2,0.514285714285714,22,"Ham"
"catch22",24,0.628571428571429,23,"Ham"
"User",2,0.457142857142857,23,"Ham"
"catch22",24,0.580952380952381,24,"Ham"
"User",2,0.514285714285714,24,"Ham"
"catch22",24,0.59047619047619,25,"Ham"
"User",2,0.514285714285714,25,"Ham"
"catch22",24,0.571428571428571,26,"Ham"
"User",2,0.514285714285714,26,"Ham"
"catch22",24,0.685714285714286,27,"Ham"
"User",2,0.514285714285714,27,"Ham"
"catch22",24,0.6,28,"Ham"
"User",2,0.533333333333333,28,"Ham"
"catch22",24,0.638095238095238,29,"Ham"
"User",2,0.514285714285714,29,"Ham"
"catch22",24,0.695238095238095,30,"Ham"
"User",2,0.495238095238095,30,"Ham"
