"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.176363636363636,1,"InlineSkate"
"Moments 1,2",2,0.176363636363636,1,"InlineSkate"
"Moments 1,2,3",3,0.170909090909091,1,"InlineSkate"
"Moments 1,2,3,4",4,0.174545454545455,1,"InlineSkate"
"catch22",23,0.356363636363636,1,"InlineSkate"
"Moment 1",1,0.143636363636364,2,"InlineSkate"
"Moments 1,2",2,0.190909090909091,2,"InlineSkate"
"Moments 1,2,3",3,0.176363636363636,2,"InlineSkate"
"Moments 1,2,3,4",4,0.187272727272727,2,"InlineSkate"
"catch22",23,0.338181818181818,2,"InlineSkate"
"Moment 1",1,0.174545454545455,3,"InlineSkate"
"Moments 1,2",2,0.187272727272727,3,"InlineSkate"
"Moments 1,2,3",3,0.16,3,"InlineSkate"
"Moments 1,2,3,4",4,0.187272727272727,3,"InlineSkate"
"catch22",23,0.356363636363636,3,"InlineSkate"
"Moment 1",1,0.147272727272727,4,"InlineSkate"
"Moments 1,2",2,0.150909090909091,4,"InlineSkate"
"Moments 1,2,3",3,0.158181818181818,4,"InlineSkate"
"Moments 1,2,3,4",4,0.170909090909091,4,"InlineSkate"
"catch22",23,0.336363636363636,4,"InlineSkate"
"Moment 1",1,0.16,5,"InlineSkate"
"Moments 1,2",2,0.192727272727273,5,"InlineSkate"
"Moments 1,2,3",3,0.16,5,"InlineSkate"
"Moments 1,2,3,4",4,0.152727272727273,5,"InlineSkate"
"catch22",23,0.358181818181818,5,"InlineSkate"
"Moment 1",1,0.181818181818182,6,"InlineSkate"
"Moments 1,2",2,0.192727272727273,6,"InlineSkate"
"Moments 1,2,3",3,0.167272727272727,6,"InlineSkate"
"Moments 1,2,3,4",4,0.174545454545455,6,"InlineSkate"
"catch22",23,0.321818181818182,6,"InlineSkate"
"Moment 1",1,0.143636363636364,7,"InlineSkate"
"Moments 1,2",2,0.16,7,"InlineSkate"
"Moments 1,2,3",3,0.158181818181818,7,"InlineSkate"
"Moments 1,2,3,4",4,0.16,7,"InlineSkate"
"catch22",23,0.332727272727273,7,"InlineSkate"
"Moment 1",1,0.161818181818182,8,"InlineSkate"
"Moments 1,2",2,0.187272727272727,8,"InlineSkate"
