"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.823293172690763,1,"InsectEPGSmallTrain"
"User",2,0.831325301204819,1,"InsectEPGSmallTrain"
"catch22",24,0.791164658634538,2,"InsectEPGSmallTrain"
"User",2,0.831325301204819,2,"InsectEPGSmallTrain"
"catch22",24,0.78714859437751,3,"InsectEPGSmallTrain"
"User",2,0.831325301204819,3,"InsectEPGSmallTrain"
"catch22",24,0.859437751004016,4,"InsectEPGSmallTrain"
"User",2,0.831325301204819,4,"InsectEPGSmallTrain"
"catch22",24,0.887550200803213,5,"InsectEPGSmallTrain"
"User",2,0.831325301204819,5,"InsectEPGSmallTrain"
"catch22",24,0.855421686746988,6,"InsectEPGSmallTrain"
"User",2,0.78714859437751,6,"InsectEPGSmallTrain"
"catch22",24,0.8714859437751,7,"InsectEPGSmallTrain"
"User",2,0.831325301204819,7,"InsectEPGSmallTrain"
"catch22",24,0.891566265060241,8,"InsectEPGSmallTrain"
"User",2,0.831325301204819,8,"InsectEPGSmallTrain"
"catch22",24,0.8714859437751,9,"InsectEPGSmallTrain"
"User",2,0.831325301204819,9,"InsectEPGSmallTrain"
"catch22",24,0.919678714859438,10,"InsectEPGSmallTrain"
"User",2,0.831325301204819,10,"InsectEPGSmallTrain"
"catch22",24,0.875502008032129,11,"InsectEPGSmallTrain"
"User",2,0.831325301204819,11,"InsectEPGSmallTrain"
"catch22",24,0.919678714859438,12,"InsectEPGSmallTrain"
"User",2,0.831325301204819,12,"InsectEPGSmallTrain"
"catch22",24,0.939759036144578,13,"InsectEPGSmallTrain"
"User",2,0.831325301204819,13,"InsectEPGSmallTrain"
"catch22",24,0.803212851405622,14,"InsectEPGSmallTrain"
"User",2,0.831325301204819,14,"InsectEPGSmallTrain"
"catch22",24,0.875502008032129,15,"InsectEPGSmallTrain"
"User",2,0.831325301204819,15,"InsectEPGSmallTrain"
"catch22",24,0.91566265060241,16,"InsectEPGSmallTrain"
"User",2,0.831325301204819,16,"InsectEPGSmallTrain"
"catch22",24,0.911646586345382,17,"InsectEPGSmallTrain"
"User",2,0.831325301204819,17,"InsectEPGSmallTrain"
"catch22",24,0.883534136546185,18,"InsectEPGSmallTrain"
"User",2,0.831325301204819,18,"InsectEPGSmallTrain"
"catch22",24,0.831325301204819,19,"InsectEPGSmallTrain"
"User",2,0.863453815261044,19,"InsectEPGSmallTrain"
"catch22",24,0.807228915662651,20,"InsectEPGSmallTrain"
"User",2,0.831325301204819,20,"InsectEPGSmallTrain"
"catch22",24,0.863453815261044,21,"InsectEPGSmallTrain"
"User",2,0.831325301204819,21,"InsectEPGSmallTrain"
"catch22",24,0.85140562248996,22,"InsectEPGSmallTrain"
"User",2,0.831325301204819,22,"InsectEPGSmallTrain"
"catch22",24,0.863453815261044,23,"InsectEPGSmallTrain"
"User",2,0.831325301204819,23,"InsectEPGSmallTrain"
"catch22",24,0.85140562248996,24,"InsectEPGSmallTrain"
"User",2,0.831325301204819,24,"InsectEPGSmallTrain"
"catch22",24,0.93574297188755,25,"InsectEPGSmallTrain"
"User",2,0.831325301204819,25,"InsectEPGSmallTrain"
"catch22",24,0.875502008032129,26,"InsectEPGSmallTrain"
"User",2,0.835341365461847,26,"InsectEPGSmallTrain"
"catch22",24,0.899598393574297,27,"InsectEPGSmallTrain"
"User",2,0.831325301204819,27,"InsectEPGSmallTrain"
"catch22",24,0.903614457831325,28,"InsectEPGSmallTrain"
"User",2,0.831325301204819,28,"InsectEPGSmallTrain"
"catch22",24,0.835341365461847,29,"InsectEPGSmallTrain"
"User",2,0.831325301204819,29,"InsectEPGSmallTrain"
"catch22",24,0.907630522088353,30,"InsectEPGSmallTrain"
"User",2,0.835341365461847,30,"InsectEPGSmallTrain"
