"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.31077694235589,1,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,1,"KeplerLightCurves"
"Moments 1,2,3",3,0.56390977443609,1,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.573934837092732,1,"KeplerLightCurves"
"catch22",24,0.957393483709273,1,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,2,"KeplerLightCurves"
"Moments 1,2",2,0.355889724310777,2,"KeplerLightCurves"
"Moments 1,2,3",3,0.546365914786967,2,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.56140350877193,2,"KeplerLightCurves"
"catch22",24,0.962406015037594,2,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,3,"KeplerLightCurves"
"Moments 1,2",2,0.37844611528822,3,"KeplerLightCurves"
"Moments 1,2,3",3,0.583959899749373,3,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.588972431077694,3,"KeplerLightCurves"
"catch22",24,0.959899749373434,3,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,4,"KeplerLightCurves"
"Moments 1,2",2,0.370927318295739,4,"KeplerLightCurves"
"Moments 1,2,3",3,0.591478696741855,4,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.601503759398496,4,"KeplerLightCurves"
"catch22",24,0.947368421052632,4,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,5,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,5,"KeplerLightCurves"
"Moments 1,2,3",3,0.56140350877193,5,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.571428571428571,5,"KeplerLightCurves"
"catch22",24,0.949874686716792,5,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,6,"KeplerLightCurves"
"Moments 1,2",2,0.365914786967419,6,"KeplerLightCurves"
"Moments 1,2,3",3,0.566416040100251,6,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,6,"KeplerLightCurves"
"catch22",24,0.949874686716792,6,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,7,"KeplerLightCurves"
"Moments 1,2",2,0.353383458646617,7,"KeplerLightCurves"
"Moments 1,2,3",3,0.56390977443609,7,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.568922305764411,7,"KeplerLightCurves"
"catch22",24,0.93734335839599,7,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,8,"KeplerLightCurves"
"Moments 1,2",2,0.365914786967419,8,"KeplerLightCurves"
"Moments 1,2,3",3,0.586466165413534,8,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.598997493734336,8,"KeplerLightCurves"
"catch22",24,0.942355889724311,8,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,9,"KeplerLightCurves"
"Moments 1,2",2,0.37844611528822,9,"KeplerLightCurves"
"Moments 1,2,3",3,0.573934837092732,9,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.578947368421053,9,"KeplerLightCurves"
"catch22",24,0.959899749373434,9,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,10,"KeplerLightCurves"
"Moments 1,2",2,0.3734335839599,10,"KeplerLightCurves"
"Moments 1,2,3",3,0.578947368421053,10,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.588972431077694,10,"KeplerLightCurves"
"catch22",24,0.954887218045113,10,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,11,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,11,"KeplerLightCurves"
"Moments 1,2,3",3,0.573934837092732,11,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.586466165413534,11,"KeplerLightCurves"
"catch22",24,0.957393483709273,11,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,12,"KeplerLightCurves"
"Moments 1,2",2,0.353383458646617,12,"KeplerLightCurves"
"Moments 1,2,3",3,0.56390977443609,12,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.568922305764411,12,"KeplerLightCurves"
"catch22",24,0.947368421052632,12,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,13,"KeplerLightCurves"
"Moments 1,2",2,0.355889724310777,13,"KeplerLightCurves"
"Moments 1,2,3",3,0.568922305764411,13,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.586466165413534,13,"KeplerLightCurves"
"catch22",24,0.972431077694236,13,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,14,"KeplerLightCurves"
"Moments 1,2",2,0.3734335839599,14,"KeplerLightCurves"
"Moments 1,2,3",3,0.573934837092732,14,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.598997493734336,14,"KeplerLightCurves"
"catch22",24,0.954887218045113,14,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,15,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,15,"KeplerLightCurves"
"Moments 1,2,3",3,0.56140350877193,15,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,15,"KeplerLightCurves"
"catch22",24,0.959899749373434,15,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,16,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,16,"KeplerLightCurves"
"Moments 1,2,3",3,0.591478696741855,16,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.596491228070175,16,"KeplerLightCurves"
"catch22",24,0.93734335839599,16,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,17,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,17,"KeplerLightCurves"
"Moments 1,2,3",3,0.583959899749373,17,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.593984962406015,17,"KeplerLightCurves"
"catch22",24,0.967418546365915,17,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,18,"KeplerLightCurves"
"Moments 1,2",2,0.360902255639098,18,"KeplerLightCurves"
"Moments 1,2,3",3,0.566416040100251,18,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.566416040100251,18,"KeplerLightCurves"
"catch22",24,0.952380952380952,18,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,19,"KeplerLightCurves"
"Moments 1,2",2,0.37593984962406,19,"KeplerLightCurves"
"Moments 1,2,3",3,0.588972431077694,19,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.596491228070175,19,"KeplerLightCurves"
"catch22",24,0.952380952380952,19,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,20,"KeplerLightCurves"
"Moments 1,2",2,0.360902255639098,20,"KeplerLightCurves"
"Moments 1,2,3",3,0.576441102756892,20,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,20,"KeplerLightCurves"
"catch22",24,0.947368421052632,20,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,21,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,21,"KeplerLightCurves"
"Moments 1,2,3",3,0.571428571428571,21,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,21,"KeplerLightCurves"
"catch22",24,0.964912280701754,21,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,22,"KeplerLightCurves"
"Moments 1,2",2,0.350877192982456,22,"KeplerLightCurves"
"Moments 1,2,3",3,0.56390977443609,22,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.576441102756892,22,"KeplerLightCurves"
"catch22",24,0.952380952380952,22,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,23,"KeplerLightCurves"
"Moments 1,2",2,0.358395989974937,23,"KeplerLightCurves"
"Moments 1,2,3",3,0.558897243107769,23,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.566416040100251,23,"KeplerLightCurves"
"catch22",24,0.964912280701754,23,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,24,"KeplerLightCurves"
"Moments 1,2",2,0.355889724310777,24,"KeplerLightCurves"
"Moments 1,2,3",3,0.551378446115288,24,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.566416040100251,24,"KeplerLightCurves"
"catch22",24,0.954887218045113,24,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,25,"KeplerLightCurves"
"Moments 1,2",2,0.370927318295739,25,"KeplerLightCurves"
"Moments 1,2,3",3,0.576441102756892,25,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.586466165413534,25,"KeplerLightCurves"
"catch22",24,0.947368421052632,25,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,26,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,26,"KeplerLightCurves"
"Moments 1,2,3",3,0.553884711779449,26,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.558897243107769,26,"KeplerLightCurves"
"catch22",24,0.954887218045113,26,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,27,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,27,"KeplerLightCurves"
"Moments 1,2,3",3,0.581453634085213,27,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.586466165413534,27,"KeplerLightCurves"
"catch22",24,0.959899749373434,27,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,28,"KeplerLightCurves"
"Moments 1,2",2,0.358395989974937,28,"KeplerLightCurves"
"Moments 1,2,3",3,0.583959899749373,28,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.596491228070175,28,"KeplerLightCurves"
"catch22",24,0.954887218045113,28,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,29,"KeplerLightCurves"
"Moments 1,2",2,0.3734335839599,29,"KeplerLightCurves"
"Moments 1,2,3",3,0.566416040100251,29,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.571428571428571,29,"KeplerLightCurves"
"catch22",24,0.972431077694236,29,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,30,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,30,"KeplerLightCurves"
"Moments 1,2,3",3,0.581453634085213,30,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.586466165413534,30,"KeplerLightCurves"
"catch22",24,0.964912280701754,30,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,31,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,31,"KeplerLightCurves"
"Moments 1,2,3",3,0.573934837092732,31,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.578947368421053,31,"KeplerLightCurves"
"catch22",24,0.967418546365915,31,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,32,"KeplerLightCurves"
"Moments 1,2",2,0.353383458646617,32,"KeplerLightCurves"
"Moments 1,2,3",3,0.556390977443609,32,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.566416040100251,32,"KeplerLightCurves"
"catch22",24,0.954887218045113,32,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,33,"KeplerLightCurves"
"Moments 1,2",2,0.37593984962406,33,"KeplerLightCurves"
"Moments 1,2,3",3,0.591478696741855,33,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.593984962406015,33,"KeplerLightCurves"
"catch22",24,0.952380952380952,33,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,34,"KeplerLightCurves"
"Moments 1,2",2,0.365914786967419,34,"KeplerLightCurves"
"Moments 1,2,3",3,0.578947368421053,34,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.588972431077694,34,"KeplerLightCurves"
"catch22",24,0.967418546365915,34,"KeplerLightCurves"
"Moment 1",1,0.308270676691729,35,"KeplerLightCurves"
"Moments 1,2",2,0.355889724310777,35,"KeplerLightCurves"
"Moments 1,2,3",3,0.576441102756892,35,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,35,"KeplerLightCurves"
"catch22",24,0.957393483709273,35,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,36,"KeplerLightCurves"
"Moments 1,2",2,0.370927318295739,36,"KeplerLightCurves"
"Moments 1,2,3",3,0.593984962406015,36,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.598997493734336,36,"KeplerLightCurves"
"catch22",24,0.962406015037594,36,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,37,"KeplerLightCurves"
"Moments 1,2",2,0.355889724310777,37,"KeplerLightCurves"
"Moments 1,2,3",3,0.573934837092732,37,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.573934837092732,37,"KeplerLightCurves"
"catch22",24,0.957393483709273,37,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,38,"KeplerLightCurves"
"Moments 1,2",2,0.365914786967419,38,"KeplerLightCurves"
"Moments 1,2,3",3,0.591478696741855,38,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.598997493734336,38,"KeplerLightCurves"
"catch22",24,0.959899749373434,38,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,39,"KeplerLightCurves"
"Moments 1,2",2,0.363408521303258,39,"KeplerLightCurves"
"Moments 1,2,3",3,0.591478696741855,39,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.598997493734336,39,"KeplerLightCurves"
"catch22",24,0.944862155388471,39,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,40,"KeplerLightCurves"
"Moments 1,2",2,0.353383458646617,40,"KeplerLightCurves"
"Moments 1,2,3",3,0.576441102756892,40,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,40,"KeplerLightCurves"
"catch22",24,0.952380952380952,40,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,41,"KeplerLightCurves"
"Moments 1,2",2,0.355889724310777,41,"KeplerLightCurves"
"Moments 1,2,3",3,0.56140350877193,41,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.56390977443609,41,"KeplerLightCurves"
"catch22",24,0.957393483709273,41,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,42,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,42,"KeplerLightCurves"
"Moments 1,2,3",3,0.576441102756892,42,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,42,"KeplerLightCurves"
"catch22",24,0.957393483709273,42,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,43,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,43,"KeplerLightCurves"
"Moments 1,2,3",3,0.586466165413534,43,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.596491228070175,43,"KeplerLightCurves"
"catch22",24,0.93984962406015,43,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,44,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,44,"KeplerLightCurves"
"Moments 1,2,3",3,0.578947368421053,44,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.596491228070175,44,"KeplerLightCurves"
"catch22",24,0.964912280701754,44,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,45,"KeplerLightCurves"
"Moments 1,2",2,0.360902255639098,45,"KeplerLightCurves"
"Moments 1,2,3",3,0.556390977443609,45,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.581453634085213,45,"KeplerLightCurves"
"catch22",24,0.947368421052632,45,"KeplerLightCurves"
"Moment 1",1,0.31328320802005,46,"KeplerLightCurves"
"Moments 1,2",2,0.348370927318296,46,"KeplerLightCurves"
"Moments 1,2,3",3,0.578947368421053,46,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.588972431077694,46,"KeplerLightCurves"
"catch22",24,0.959899749373434,46,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,47,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,47,"KeplerLightCurves"
"Moments 1,2,3",3,0.556390977443609,47,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.568922305764411,47,"KeplerLightCurves"
"catch22",24,0.959899749373434,47,"KeplerLightCurves"
"Moment 1",1,0.308270676691729,48,"KeplerLightCurves"
"Moments 1,2",2,0.368421052631579,48,"KeplerLightCurves"
"Moments 1,2,3",3,0.596491228070175,48,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.606516290726817,48,"KeplerLightCurves"
"catch22",24,0.954887218045113,48,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,49,"KeplerLightCurves"
"Moments 1,2",2,0.3734335839599,49,"KeplerLightCurves"
"Moments 1,2,3",3,0.573934837092732,49,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.576441102756892,49,"KeplerLightCurves"
"catch22",24,0.967418546365915,49,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,50,"KeplerLightCurves"
"Moments 1,2",2,0.358395989974937,50,"KeplerLightCurves"
"Moments 1,2,3",3,0.558897243107769,50,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.56140350877193,50,"KeplerLightCurves"
"catch22",24,0.949874686716792,50,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,51,"KeplerLightCurves"
"Moments 1,2",2,0.3734335839599,51,"KeplerLightCurves"
"Moments 1,2,3",3,0.588972431077694,51,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.596491228070175,51,"KeplerLightCurves"
"catch22",24,0.954887218045113,51,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,52,"KeplerLightCurves"
"Moments 1,2",2,0.348370927318296,52,"KeplerLightCurves"
"Moments 1,2,3",3,0.548872180451128,52,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.558897243107769,52,"KeplerLightCurves"
"catch22",24,0.969924812030075,52,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,53,"KeplerLightCurves"
"Moments 1,2",2,0.358395989974937,53,"KeplerLightCurves"
"Moments 1,2,3",3,0.578947368421053,53,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.583959899749373,53,"KeplerLightCurves"
"catch22",24,0.959899749373434,53,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,54,"KeplerLightCurves"
"Moments 1,2",2,0.350877192982456,54,"KeplerLightCurves"
"Moments 1,2,3",3,0.541353383458647,54,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.551378446115288,54,"KeplerLightCurves"
"catch22",24,0.954887218045113,54,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,55,"KeplerLightCurves"
"Moments 1,2",2,0.365914786967419,55,"KeplerLightCurves"
"Moments 1,2,3",3,0.568922305764411,55,"KeplerLightCurves"
"Moments 1,2,3,4",4,0.568922305764411,55,"KeplerLightCurves"
"catch22",24,0.962406015037594,55,"KeplerLightCurves"
"Moment 1",1,0.31077694235589,56,"KeplerLightCurves"
