"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.680412371134021,1,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,1,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.711340206185567,2,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,2,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.711340206185567,3,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,3,"MiddlePhalanxOutlineCorrect"
"catch22",23,0.714776632302406,4,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,4,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.701030927835051,5,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,5,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.701030927835051,6,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,6,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.711340206185567,7,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,7,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.718213058419244,8,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,8,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.714776632302406,9,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,9,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.690721649484536,10,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,10,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.714776632302406,11,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,11,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.731958762886598,12,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,12,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.70446735395189,13,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,13,"MiddlePhalanxOutlineCorrect"
"catch22",23,0.731958762886598,14,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,14,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.656357388316151,15,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,15,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.701030927835051,16,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,16,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.701030927835051,17,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,17,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.70446735395189,18,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,18,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.707903780068729,19,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,19,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.738831615120275,20,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,20,"MiddlePhalanxOutlineCorrect"
"catch22",23,0.707903780068729,21,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,21,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.74914089347079,22,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,22,"MiddlePhalanxOutlineCorrect"
"catch22",23,0.718213058419244,23,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,23,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.714776632302406,24,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,24,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.697594501718213,25,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,25,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.738831615120275,26,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,26,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.718213058419244,27,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,27,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.707903780068729,28,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,28,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.694158075601375,29,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,29,"MiddlePhalanxOutlineCorrect"
"catch22",24,0.725085910652921,30,"MiddlePhalanxOutlineCorrect"
"User",2,0.570446735395189,30,"MiddlePhalanxOutlineCorrect"
