"feature_set","num_features","accuracy","resample","problem"
"catch22",23,0.551948051948052,1,"MiddlePhalanxTW"
"User",2,0.272727272727273,1,"MiddlePhalanxTW"
"catch22",24,0.519480519480519,2,"MiddlePhalanxTW"
"User",2,0.272727272727273,2,"MiddlePhalanxTW"
"catch22",23,0.512987012987013,3,"MiddlePhalanxTW"
"User",2,0.272727272727273,3,"MiddlePhalanxTW"
"catch22",24,0.577922077922078,4,"MiddlePhalanxTW"
"User",2,0.272727272727273,4,"MiddlePhalanxTW"
"catch22",24,0.577922077922078,5,"MiddlePhalanxTW"
"User",2,0.272727272727273,5,"MiddlePhalanxTW"
"catch22",24,0.545454545454545,6,"MiddlePhalanxTW"
"User",2,0.272727272727273,6,"MiddlePhalanxTW"
"catch22",23,0.558441558441558,7,"MiddlePhalanxTW"
"User",2,0.272727272727273,7,"MiddlePhalanxTW"
"catch22",23,0.519480519480519,8,"MiddlePhalanxTW"
"User",2,0.272727272727273,8,"MiddlePhalanxTW"
"catch22",23,0.564935064935065,9,"MiddlePhalanxTW"
"User",2,0.272727272727273,9,"MiddlePhalanxTW"
"catch22",23,0.519480519480519,10,"MiddlePhalanxTW"
"User",2,0.272727272727273,10,"MiddlePhalanxTW"
"catch22",24,0.519480519480519,11,"MiddlePhalanxTW"
"User",2,0.272727272727273,11,"MiddlePhalanxTW"
"catch22",23,0.564935064935065,12,"MiddlePhalanxTW"
"User",2,0.272727272727273,12,"MiddlePhalanxTW"
"catch22",23,0.564935064935065,13,"MiddlePhalanxTW"
"User",2,0.272727272727273,13,"MiddlePhalanxTW"
"catch22",24,0.545454545454545,14,"MiddlePhalanxTW"
"User",2,0.272727272727273,14,"MiddlePhalanxTW"
"catch22",23,0.577922077922078,15,"MiddlePhalanxTW"
"User",2,0.272727272727273,15,"MiddlePhalanxTW"
"catch22",23,0.571428571428571,16,"MiddlePhalanxTW"
"User",2,0.272727272727273,16,"MiddlePhalanxTW"
"catch22",24,0.545454545454545,17,"MiddlePhalanxTW"
"User",2,0.272727272727273,17,"MiddlePhalanxTW"
"catch22",24,0.545454545454545,18,"MiddlePhalanxTW"
"User",2,0.272727272727273,18,"MiddlePhalanxTW"
"catch22",23,0.558441558441558,19,"MiddlePhalanxTW"
"User",2,0.272727272727273,19,"MiddlePhalanxTW"
"catch22",23,0.519480519480519,20,"MiddlePhalanxTW"
"User",2,0.272727272727273,20,"MiddlePhalanxTW"
"catch22",24,0.487012987012987,21,"MiddlePhalanxTW"
"User",2,0.272727272727273,21,"MiddlePhalanxTW"
"catch22",24,0.519480519480519,22,"MiddlePhalanxTW"
"User",2,0.272727272727273,22,"MiddlePhalanxTW"
"catch22",23,0.538961038961039,23,"MiddlePhalanxTW"
"User",2,0.272727272727273,23,"MiddlePhalanxTW"
"catch22",24,0.545454545454545,24,"MiddlePhalanxTW"
"User",2,0.272727272727273,24,"MiddlePhalanxTW"
"catch22",24,0.623376623376623,25,"MiddlePhalanxTW"
"User",2,0.272727272727273,25,"MiddlePhalanxTW"
"catch22",23,0.558441558441558,26,"MiddlePhalanxTW"
"User",2,0.272727272727273,26,"MiddlePhalanxTW"
"catch22",24,0.584415584415584,27,"MiddlePhalanxTW"
"User",2,0.272727272727273,27,"MiddlePhalanxTW"
"catch22",23,0.584415584415584,28,"MiddlePhalanxTW"
"User",2,0.272727272727273,28,"MiddlePhalanxTW"
"catch22",23,0.558441558441558,29,"MiddlePhalanxTW"
"User",2,0.272727272727273,29,"MiddlePhalanxTW"
"catch22",24,0.525974025974026,30,"MiddlePhalanxTW"
"User",2,0.272727272727273,30,"MiddlePhalanxTW"
