"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.233814432989691,1,"MixedShapesRegularTrain"
"Moments 1,2",2,0.19340206185567,1,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.440824742268041,1,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.505154639175258,1,"MixedShapesRegularTrain"
"catch22",24,0.87340206185567,1,"MixedShapesRegularTrain"
"Moment 1",1,0.242474226804124,2,"MixedShapesRegularTrain"
"Moments 1,2",2,0.190103092783505,2,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.449896907216495,2,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.528659793814433,2,"MixedShapesRegularTrain"
"catch22",24,0.870103092783505,2,"MixedShapesRegularTrain"
"Moment 1",1,0.228041237113402,3,"MixedShapesRegularTrain"
"Moments 1,2",2,0.21319587628866,3,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.452783505154639,3,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.502268041237113,3,"MixedShapesRegularTrain"
"catch22",23,0.880412371134021,3,"MixedShapesRegularTrain"
"Moment 1",1,0.181855670103093,4,"MixedShapesRegularTrain"
"Moments 1,2",2,0.20701030927835,4,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.443298969072165,4,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.517113402061856,4,"MixedShapesRegularTrain"
"catch22",24,0.888247422680412,4,"MixedShapesRegularTrain"
"Moment 1",1,0.176082474226804,5,"MixedShapesRegularTrain"
"Moments 1,2",2,0.19340206185567,5,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.441237113402062,5,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.518350515463918,5,"MixedShapesRegularTrain"
"catch22",23,0.886185567010309,5,"MixedShapesRegularTrain"
"Moment 1",1,0.184742268041237,6,"MixedShapesRegularTrain"
"Moments 1,2",2,0.176082474226804,6,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.452783505154639,6,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.517938144329897,6,"MixedShapesRegularTrain"
"catch22",24,0.88701030927835,6,"MixedShapesRegularTrain"
"Moment 1",1,0.231752577319588,7,"MixedShapesRegularTrain"
"Moments 1,2",2,0.215257731958763,7,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.460618556701031,7,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.515051546391753,7,"MixedShapesRegularTrain"
"catch22",24,0.884948453608247,7,"MixedShapesRegularTrain"
"Moment 1",1,0.202474226804124,8,"MixedShapesRegularTrain"
"Moments 1,2",2,0.217731958762887,8,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.447422680412371,8,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.511752577319588,8,"MixedShapesRegularTrain"
"catch22",23,0.868453608247423,8,"MixedShapesRegularTrain"
"Moment 1",1,0.21979381443299,9,"MixedShapesRegularTrain"
"Moments 1,2",2,0.214845360824742,9,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.435876288659794,9,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.488659793814433,9,"MixedShapesRegularTrain"
"catch22",23,0.867216494845361,9,"MixedShapesRegularTrain"
"Moment 1",1,0.161649484536082,10,"MixedShapesRegularTrain"
"Moments 1,2",2,0.181855670103093,10,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.435051546391753,10,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.513814432989691,10,"MixedShapesRegularTrain"
"catch22",23,0.86639175257732,10,"MixedShapesRegularTrain"
"Moment 1",1,0.211546391752577,11,"MixedShapesRegularTrain"
"Moments 1,2",2,0.174020618556701,11,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.451546391752577,11,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.510927835051546,11,"MixedShapesRegularTrain"
"catch22",23,0.868865979381443,11,"MixedShapesRegularTrain"
"Moment 1",1,0.192989690721649,12,"MixedShapesRegularTrain"
"Moments 1,2",2,0.190515463917526,12,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.456494845360825,12,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.523711340206186,12,"MixedShapesRegularTrain"
"catch22",24,0.885360824742268,12,"MixedShapesRegularTrain"
"Moment 1",1,0.225567010309278,13,"MixedShapesRegularTrain"
"Moments 1,2",2,0.204123711340206,13,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.45360824742268,13,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.519175257731959,13,"MixedShapesRegularTrain"
"catch22",23,0.88701030927835,13,"MixedShapesRegularTrain"
"Moment 1",1,0.235051546391753,14,"MixedShapesRegularTrain"
"Moments 1,2",2,0.209072164948454,14,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.44701030927835,14,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.512989690721649,14,"MixedShapesRegularTrain"
"catch22",23,0.885773195876289,14,"MixedShapesRegularTrain"
"Moment 1",1,0.197525773195876,15,"MixedShapesRegularTrain"
"Moments 1,2",2,0.190103092783505,15,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.439587628865979,15,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.515463917525773,15,"MixedShapesRegularTrain"
"catch22",24,0.876288659793814,15,"MixedShapesRegularTrain"
"Moment 1",1,0.256082474226804,16,"MixedShapesRegularTrain"
"Moments 1,2",2,0.202474226804124,16,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.465567010309278,16,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.534020618556701,16,"MixedShapesRegularTrain"
"catch22",23,0.880824742268041,16,"MixedShapesRegularTrain"
"Moment 1",1,0.185979381443299,17,"MixedShapesRegularTrain"
"Moments 1,2",2,0.19340206185567,17,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.43298969072165,17,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.497731958762887,17,"MixedShapesRegularTrain"
"catch22",23,0.883298969072165,17,"MixedShapesRegularTrain"
"Moment 1",1,0.194226804123711,18,"MixedShapesRegularTrain"
"Moments 1,2",2,0.212783505154639,18,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.446185567010309,18,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.503505154639175,18,"MixedShapesRegularTrain"
"catch22",23,0.887422680412371,18,"MixedShapesRegularTrain"
"Moment 1",1,0.235051546391753,19,"MixedShapesRegularTrain"
"Moments 1,2",2,0.197938144329897,19,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.449072164948454,19,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.491134020618557,19,"MixedShapesRegularTrain"
"catch22",23,0.892783505154639,19,"MixedShapesRegularTrain"
"Moment 1",1,0.192989690721649,20,"MixedShapesRegularTrain"
"Moments 1,2",2,0.184329896907216,20,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.434226804123711,20,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.520824742268041,20,"MixedShapesRegularTrain"
"catch22",23,0.891134020618557,20,"MixedShapesRegularTrain"
"Moment 1",1,0.208247422680412,21,"MixedShapesRegularTrain"
"Moments 1,2",2,0.204536082474227,21,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.475463917525773,21,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.528659793814433,21,"MixedShapesRegularTrain"
"catch22",24,0.85979381443299,21,"MixedShapesRegularTrain"
"Moment 1",1,0.170721649484536,22,"MixedShapesRegularTrain"
"Moments 1,2",2,0.188041237113402,22,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.45360824742268,22,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.508453608247423,22,"MixedShapesRegularTrain"
"catch22",23,0.880412371134021,22,"MixedShapesRegularTrain"
"Moment 1",1,0.247835051546392,23,"MixedShapesRegularTrain"
"Moments 1,2",2,0.237525773195876,23,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.438350515463918,23,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.490721649484536,23,"MixedShapesRegularTrain"
"catch22",23,0.894020618556701,23,"MixedShapesRegularTrain"
"Moment 1",1,0.177319587628866,24,"MixedShapesRegularTrain"
"Moments 1,2",2,0.188865979381443,24,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.434639175257732,24,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.491134020618557,24,"MixedShapesRegularTrain"
"catch22",23,0.881237113402062,24,"MixedShapesRegularTrain"
"Moment 1",1,0.181030927835052,25,"MixedShapesRegularTrain"
"Moments 1,2",2,0.221030927835052,25,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.456907216494845,25,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.517113402061856,25,"MixedShapesRegularTrain"
"catch22",23,0.868453608247423,25,"MixedShapesRegularTrain"
"Moment 1",1,0.161649484536082,26,"MixedShapesRegularTrain"
"Moments 1,2",2,0.16659793814433,26,"MixedShapesRegularTrain"
"Moments 1,2,3",3,0.434226804123711,26,"MixedShapesRegularTrain"
"Moments 1,2,3,4",4,0.475876288659794,26,"MixedShapesRegularTrain"
"catch22",24,0.884123711340206,26,"MixedShapesRegularTrain"
"Moment 1",1,0.196288659793814,27,"MixedShapesRegularTrain"
"Moments 1,2",2,0.18639175257732,27,"MixedShapesRegularTrain"
