"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.820287539936102,1,"MoteStrain"
"User",2,0.484025559105431,1,"MoteStrain"
"catch22",24,0.818690095846645,2,"MoteStrain"
"User",2,0.494408945686901,2,"MoteStrain"
"catch22",24,0.654952076677316,3,"MoteStrain"
"User",2,0.497603833865815,3,"MoteStrain"
"catch22",24,0.858626198083067,4,"MoteStrain"
"User",2,0.503993610223642,4,"MoteStrain"
"catch22",24,0.829872204472843,5,"MoteStrain"
"User",2,0.543130990415335,5,"MoteStrain"
"catch22",24,0.751597444089457,6,"MoteStrain"
"User",2,0.523162939297125,6,"MoteStrain"
"catch22",24,0.770766773162939,7,"MoteStrain"
"User",2,0.500798722044728,7,"MoteStrain"
"catch22",24,0.82667731629393,8,"MoteStrain"
"User",2,0.533546325878594,8,"MoteStrain"
"catch22",24,0.883386581469649,9,"MoteStrain"
"User",2,0.498402555910543,9,"MoteStrain"
"catch22",24,0.874600638977636,10,"MoteStrain"
"User",2,0.543130990415335,10,"MoteStrain"
"catch22",24,0.773961661341853,11,"MoteStrain"
"User",2,0.506389776357827,11,"MoteStrain"
"catch22",24,0.843450479233227,12,"MoteStrain"
"User",2,0.498402555910543,12,"MoteStrain"
"catch22",24,0.73482428115016,13,"MoteStrain"
"User",2,0.523961661341853,13,"MoteStrain"
"catch22",24,0.834664536741214,14,"MoteStrain"
"User",2,0.515974440894569,14,"MoteStrain"
"catch22",24,0.791533546325879,15,"MoteStrain"
"User",2,0.492012779552716,15,"MoteStrain"
"catch22",24,0.847444089456869,16,"MoteStrain"
"User",2,0.486421725239617,16,"MoteStrain"
"catch22",24,0.801916932907348,17,"MoteStrain"
"User",2,0.515974440894569,17,"MoteStrain"
"catch22",24,0.843450479233227,18,"MoteStrain"
"User",2,0.51038338658147,18,"MoteStrain"
"catch22",24,0.782747603833866,19,"MoteStrain"
"User",2,0.496805111821086,19,"MoteStrain"
"catch22",24,0.793130990415335,20,"MoteStrain"
"User",2,0.496805111821086,20,"MoteStrain"
"catch22",24,0.789137380191693,21,"MoteStrain"
"User",2,0.560702875399361,21,"MoteStrain"
"catch22",24,0.841054313099042,22,"MoteStrain"
"User",2,0.490415335463259,22,"MoteStrain"
"catch22",24,0.828274760383387,23,"MoteStrain"
"User",2,0.503194888178914,23,"MoteStrain"
"catch22",24,0.782747603833866,24,"MoteStrain"
"User",2,0.475239616613419,24,"MoteStrain"
"catch22",24,0.771565495207668,25,"MoteStrain"
"User",2,0.496006389776358,25,"MoteStrain"
"catch22",24,0.812300319488818,26,"MoteStrain"
"User",2,0.495207667731629,26,"MoteStrain"
"catch22",24,0.866613418530351,27,"MoteStrain"
"User",2,0.484025559105431,27,"MoteStrain"
"catch22",24,0.819488817891374,28,"MoteStrain"
"User",2,0.501597444089457,28,"MoteStrain"
"catch22",24,0.763578274760383,29,"MoteStrain"
"User",2,0.480031948881789,29,"MoteStrain"
"catch22",24,0.843450479233227,30,"MoteStrain"
"User",2,0.527156549520767,30,"MoteStrain"
