"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.48780487804878,1,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2",2,0.48780487804878,1,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3",3,0.834146341463415,1,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3,4",4,0.848780487804878,1,"ProximalPhalanxOutlineAgeGroup"
"catch22",24,0.790243902439024,1,"ProximalPhalanxOutlineAgeGroup"
"Moment 1",1,0.48780487804878,2,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2",2,0.48780487804878,2,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3",3,0.84390243902439,2,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3,4",4,0.848780487804878,2,"ProximalPhalanxOutlineAgeGroup"
"catch22",24,0.834146341463415,2,"ProximalPhalanxOutlineAgeGroup"
"Moment 1",1,0.48780487804878,3,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2",2,0.48780487804878,3,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3",3,0.839024390243902,3,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3,4",4,0.839024390243902,3,"ProximalPhalanxOutlineAgeGroup"
"catch22",24,0.829268292682927,3,"ProximalPhalanxOutlineAgeGroup"
"Moment 1",1,0.48780487804878,4,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2",2,0.48780487804878,4,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3",3,0.804878048780488,4,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3,4",4,0.824390243902439,4,"ProximalPhalanxOutlineAgeGroup"
"catch22",24,0.790243902439024,4,"ProximalPhalanxOutlineAgeGroup"
"Moment 1",1,0.48780487804878,5,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2",2,0.48780487804878,5,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3",3,0.804878048780488,5,"ProximalPhalanxOutlineAgeGroup"
"Moments 1,2,3,4",4,0.824390243902439,5,"ProximalPhalanxOutlineAgeGroup"
"catch22",23,0.834146341463415,5,"ProximalPhalanxOutlineAgeGroup"
