"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.410666666666667,1,"RefrigerationDevices"
"Moments 1,2",2,0.357333333333333,1,"RefrigerationDevices"
"Moments 1,2,3",3,0.466666666666667,1,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.477333333333333,1,"RefrigerationDevices"
"catch22",24,0.514666666666667,1,"RefrigerationDevices"
"Moment 1",1,0.338666666666667,2,"RefrigerationDevices"
"Moments 1,2",2,0.330666666666667,2,"RefrigerationDevices"
"Moments 1,2,3",3,0.469333333333333,2,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.504,2,"RefrigerationDevices"
"catch22",24,0.618666666666667,2,"RefrigerationDevices"
"Moment 1",1,0.386666666666667,3,"RefrigerationDevices"
"Moments 1,2",2,0.341333333333333,3,"RefrigerationDevices"
"Moments 1,2,3",3,0.456,3,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.461333333333333,3,"RefrigerationDevices"
"catch22",24,0.608,3,"RefrigerationDevices"
"Moment 1",1,0.434666666666667,4,"RefrigerationDevices"
"Moments 1,2",2,0.386666666666667,4,"RefrigerationDevices"
"Moments 1,2,3",3,0.528,4,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.536,4,"RefrigerationDevices"
"catch22",24,0.642666666666667,4,"RefrigerationDevices"
"Moment 1",1,0.36,5,"RefrigerationDevices"
"Moments 1,2",2,0.333333333333333,5,"RefrigerationDevices"
"Moments 1,2,3",3,0.512,5,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.530666666666667,5,"RefrigerationDevices"
"catch22",24,0.624,5,"RefrigerationDevices"
"Moment 1",1,0.384,6,"RefrigerationDevices"
"Moments 1,2",2,0.346666666666667,6,"RefrigerationDevices"
"Moments 1,2,3",3,0.448,6,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.469333333333333,6,"RefrigerationDevices"
"catch22",24,0.64,6,"RefrigerationDevices"
"Moment 1",1,0.330666666666667,7,"RefrigerationDevices"
"Moments 1,2",2,0.338666666666667,7,"RefrigerationDevices"
"Moments 1,2,3",3,0.488,7,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.536,7,"RefrigerationDevices"
"catch22",24,0.621333333333333,7,"RefrigerationDevices"
"Moment 1",1,0.4,8,"RefrigerationDevices"
"Moments 1,2",2,0.36,8,"RefrigerationDevices"
"Moments 1,2,3",3,0.464,8,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.498666666666667,8,"RefrigerationDevices"
"catch22",24,0.578666666666667,8,"RefrigerationDevices"
"Moment 1",1,0.36,9,"RefrigerationDevices"
"Moments 1,2",2,0.368,9,"RefrigerationDevices"
"Moments 1,2,3",3,0.44,9,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.450666666666667,9,"RefrigerationDevices"
"catch22",24,0.562666666666667,9,"RefrigerationDevices"
"Moment 1",1,0.349333333333333,10,"RefrigerationDevices"
"Moments 1,2",2,0.328,10,"RefrigerationDevices"
"Moments 1,2,3",3,0.458666666666667,10,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.474666666666667,10,"RefrigerationDevices"
"catch22",24,0.589333333333333,10,"RefrigerationDevices"
"Moment 1",1,0.378666666666667,11,"RefrigerationDevices"
"Moments 1,2",2,0.365333333333333,11,"RefrigerationDevices"
"Moments 1,2,3",3,0.482666666666667,11,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.477333333333333,11,"RefrigerationDevices"
"catch22",24,0.621333333333333,11,"RefrigerationDevices"
"Moment 1",1,0.378666666666667,12,"RefrigerationDevices"
"Moments 1,2",2,0.381333333333333,12,"RefrigerationDevices"
"Moments 1,2,3",3,0.490666666666667,12,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.528,12,"RefrigerationDevices"
"catch22",24,0.56,12,"RefrigerationDevices"
"Moment 1",1,0.386666666666667,13,"RefrigerationDevices"
"Moments 1,2",2,0.341333333333333,13,"RefrigerationDevices"
"Moments 1,2,3",3,0.448,13,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.461333333333333,13,"RefrigerationDevices"
"catch22",24,0.594666666666667,13,"RefrigerationDevices"
"Moment 1",1,0.384,14,"RefrigerationDevices"
"Moments 1,2",2,0.346666666666667,14,"RefrigerationDevices"
"Moments 1,2,3",3,0.474666666666667,14,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.488,14,"RefrigerationDevices"
"catch22",24,0.626666666666667,14,"RefrigerationDevices"
"Moment 1",1,0.421333333333333,15,"RefrigerationDevices"
"Moments 1,2",2,0.354666666666667,15,"RefrigerationDevices"
"Moments 1,2,3",3,0.450666666666667,15,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.488,15,"RefrigerationDevices"
"catch22",24,0.586666666666667,15,"RefrigerationDevices"
"Moment 1",1,0.386666666666667,16,"RefrigerationDevices"
"Moments 1,2",2,0.349333333333333,16,"RefrigerationDevices"
"Moments 1,2,3",3,0.496,16,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.488,16,"RefrigerationDevices"
"catch22",24,0.610666666666667,16,"RefrigerationDevices"
"Moment 1",1,0.296,17,"RefrigerationDevices"
"Moments 1,2",2,0.325333333333333,17,"RefrigerationDevices"
"Moments 1,2,3",3,0.450666666666667,17,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.488,17,"RefrigerationDevices"
"catch22",24,0.549333333333333,17,"RefrigerationDevices"
"Moment 1",1,0.36,18,"RefrigerationDevices"
"Moments 1,2",2,0.32,18,"RefrigerationDevices"
"Moments 1,2,3",3,0.469333333333333,18,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.464,18,"RefrigerationDevices"
"catch22",24,0.581333333333333,18,"RefrigerationDevices"
"Moment 1",1,0.349333333333333,19,"RefrigerationDevices"
"Moments 1,2",2,0.338666666666667,19,"RefrigerationDevices"
"Moments 1,2,3",3,0.472,19,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.469333333333333,19,"RefrigerationDevices"
"catch22",24,0.578666666666667,19,"RefrigerationDevices"
"Moment 1",1,0.365333333333333,20,"RefrigerationDevices"
"Moments 1,2",2,0.368,20,"RefrigerationDevices"
"Moments 1,2,3",3,0.509333333333333,20,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.496,20,"RefrigerationDevices"
"catch22",24,0.624,20,"RefrigerationDevices"
"Moment 1",1,0.301333333333333,21,"RefrigerationDevices"
"Moments 1,2",2,0.336,21,"RefrigerationDevices"
"Moments 1,2,3",3,0.482666666666667,21,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.477333333333333,21,"RefrigerationDevices"
"catch22",24,0.557333333333333,21,"RefrigerationDevices"
"Moment 1",1,0.36,22,"RefrigerationDevices"
"Moments 1,2",2,0.368,22,"RefrigerationDevices"
"Moments 1,2,3",3,0.477333333333333,22,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.501333333333333,22,"RefrigerationDevices"
"catch22",24,0.624,22,"RefrigerationDevices"
"Moment 1",1,0.333333333333333,23,"RefrigerationDevices"
"Moments 1,2",2,0.28,23,"RefrigerationDevices"
"Moments 1,2,3",3,0.482666666666667,23,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.512,23,"RefrigerationDevices"
"catch22",24,0.621333333333333,23,"RefrigerationDevices"
"Moment 1",1,0.4,24,"RefrigerationDevices"
"Moments 1,2",2,0.368,24,"RefrigerationDevices"
"Moments 1,2,3",3,0.496,24,"RefrigerationDevices"
"Moments 1,2,3,4",4,0.522666666666667,24,"RefrigerationDevices"
"catch22",24,0.594666666666667,24,"RefrigerationDevices"
