"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.44,1,"ScreenType"
"User",2,0.362666666666667,1,"ScreenType"
"catch22",24,0.482666666666667,2,"ScreenType"
"User",2,0.314666666666667,2,"ScreenType"
"catch22",24,0.488,3,"ScreenType"
"User",2,0.32,3,"ScreenType"
"catch22",24,0.488,4,"ScreenType"
"User",2,0.288,4,"ScreenType"
"catch22",24,0.533333333333333,5,"ScreenType"
"User",2,0.325333333333333,5,"ScreenType"
"catch22",24,0.522666666666667,6,"ScreenType"
"User",2,0.293333333333333,6,"ScreenType"
"catch22",24,0.458666666666667,7,"ScreenType"
"User",2,0.341333333333333,7,"ScreenType"
"catch22",24,0.525333333333333,8,"ScreenType"
"User",2,0.338666666666667,8,"ScreenType"
"catch22",24,0.474666666666667,9,"ScreenType"
"User",2,0.32,9,"ScreenType"
"catch22",24,0.474666666666667,10,"ScreenType"
"User",2,0.306666666666667,10,"ScreenType"
"catch22",24,0.52,11,"ScreenType"
"User",2,0.312,11,"ScreenType"
"catch22",24,0.490666666666667,12,"ScreenType"
"User",2,0.322666666666667,12,"ScreenType"
"catch22",24,0.501333333333333,13,"ScreenType"
"User",2,0.333333333333333,13,"ScreenType"
"catch22",24,0.501333333333333,14,"ScreenType"
"User",2,0.36,14,"ScreenType"
"catch22",24,0.56,15,"ScreenType"
"User",2,0.314666666666667,15,"ScreenType"
"catch22",24,0.448,16,"ScreenType"
"User",2,0.349333333333333,16,"ScreenType"
"catch22",24,0.498666666666667,17,"ScreenType"
"User",2,0.298666666666667,17,"ScreenType"
"catch22",24,0.501333333333333,18,"ScreenType"
"User",2,0.346666666666667,18,"ScreenType"
"catch22",24,0.498666666666667,19,"ScreenType"
"User",2,0.322666666666667,19,"ScreenType"
"catch22",24,0.52,20,"ScreenType"
"User",2,0.293333333333333,20,"ScreenType"
"catch22",24,0.512,21,"ScreenType"
"User",2,0.309333333333333,21,"ScreenType"
"catch22",24,0.522666666666667,22,"ScreenType"
"User",2,0.330666666666667,22,"ScreenType"
"catch22",24,0.488,23,"ScreenType"
"User",2,0.349333333333333,23,"ScreenType"
"catch22",24,0.504,24,"ScreenType"
"User",2,0.328,24,"ScreenType"
"catch22",24,0.498666666666667,25,"ScreenType"
"User",2,0.328,25,"ScreenType"
"catch22",24,0.44,26,"ScreenType"
"User",2,0.330666666666667,26,"ScreenType"
"catch22",24,0.504,27,"ScreenType"
"User",2,0.32,27,"ScreenType"
"catch22",24,0.445333333333333,28,"ScreenType"
"User",2,0.298666666666667,28,"ScreenType"
"catch22",24,0.528,29,"ScreenType"
"User",2,0.344,29,"ScreenType"
"catch22",24,0.464,30,"ScreenType"
"User",2,0.328,30,"ScreenType"
