"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.28,1,"SemgHandMovementCh2"
"Moments 1,2",2,0.364444444444444,1,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.386666666666667,1,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.382222222222222,1,"SemgHandMovementCh2"
"catch22",24,0.573333333333333,1,"SemgHandMovementCh2"
"Moment 1",1,0.315555555555556,2,"SemgHandMovementCh2"
"Moments 1,2",2,0.382222222222222,2,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.408888888888889,2,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.42,2,"SemgHandMovementCh2"
"catch22",24,0.664444444444444,2,"SemgHandMovementCh2"
"Moment 1",1,0.28,3,"SemgHandMovementCh2"
"Moments 1,2",2,0.344444444444444,3,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.397777777777778,3,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.384444444444444,3,"SemgHandMovementCh2"
"catch22",24,0.635555555555556,3,"SemgHandMovementCh2"
"Moment 1",1,0.293333333333333,4,"SemgHandMovementCh2"
"Moments 1,2",2,0.391111111111111,4,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.371111111111111,4,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.388888888888889,4,"SemgHandMovementCh2"
"catch22",24,0.611111111111111,4,"SemgHandMovementCh2"
"Moment 1",1,0.295555555555556,5,"SemgHandMovementCh2"
"Moments 1,2",2,0.4,5,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.411111111111111,5,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.404444444444444,5,"SemgHandMovementCh2"
"catch22",24,0.591111111111111,5,"SemgHandMovementCh2"
"Moment 1",1,0.328888888888889,6,"SemgHandMovementCh2"
"Moments 1,2",2,0.375555555555556,6,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.442222222222222,6,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.435555555555556,6,"SemgHandMovementCh2"
"catch22",24,0.631111111111111,6,"SemgHandMovementCh2"
"Moment 1",1,0.3,7,"SemgHandMovementCh2"
"Moments 1,2",2,0.402222222222222,7,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.406666666666667,7,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.404444444444444,7,"SemgHandMovementCh2"
"catch22",24,0.624444444444444,7,"SemgHandMovementCh2"
"Moment 1",1,0.286666666666667,8,"SemgHandMovementCh2"
"Moments 1,2",2,0.377777777777778,8,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.415555555555556,8,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.417777777777778,8,"SemgHandMovementCh2"
"catch22",24,0.666666666666667,8,"SemgHandMovementCh2"
"Moment 1",1,0.282222222222222,9,"SemgHandMovementCh2"
"Moments 1,2",2,0.344444444444444,9,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.4,9,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.411111111111111,9,"SemgHandMovementCh2"
"catch22",24,0.584444444444444,9,"SemgHandMovementCh2"
"Moment 1",1,0.288888888888889,10,"SemgHandMovementCh2"
"Moments 1,2",2,0.348888888888889,10,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.402222222222222,10,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.388888888888889,10,"SemgHandMovementCh2"
"catch22",24,0.617777777777778,10,"SemgHandMovementCh2"
"Moment 1",1,0.311111111111111,11,"SemgHandMovementCh2"
"Moments 1,2",2,0.384444444444444,11,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.431111111111111,11,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.424444444444444,11,"SemgHandMovementCh2"
"catch22",24,0.653333333333333,11,"SemgHandMovementCh2"
"Moment 1",1,0.26,12,"SemgHandMovementCh2"
"Moments 1,2",2,0.386666666666667,12,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.342222222222222,12,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.337777777777778,12,"SemgHandMovementCh2"
"catch22",24,0.595555555555556,12,"SemgHandMovementCh2"
"Moment 1",1,0.344444444444444,13,"SemgHandMovementCh2"
"Moments 1,2",2,0.375555555555556,13,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.433333333333333,13,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.428888888888889,13,"SemgHandMovementCh2"
"catch22",24,0.637777777777778,13,"SemgHandMovementCh2"
"Moment 1",1,0.297777777777778,14,"SemgHandMovementCh2"
"Moments 1,2",2,0.353333333333333,14,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.391111111111111,14,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.388888888888889,14,"SemgHandMovementCh2"
"catch22",24,0.611111111111111,14,"SemgHandMovementCh2"
"Moment 1",1,0.331111111111111,15,"SemgHandMovementCh2"
"Moments 1,2",2,0.395555555555556,15,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.415555555555556,15,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.388888888888889,15,"SemgHandMovementCh2"
"catch22",24,0.635555555555556,15,"SemgHandMovementCh2"
"Moment 1",1,0.28,16,"SemgHandMovementCh2"
"Moments 1,2",2,0.38,16,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.402222222222222,16,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.382222222222222,16,"SemgHandMovementCh2"
"catch22",24,0.62,16,"SemgHandMovementCh2"
"Moment 1",1,0.335555555555556,17,"SemgHandMovementCh2"
"Moments 1,2",2,0.373333333333333,17,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.413333333333333,17,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.404444444444444,17,"SemgHandMovementCh2"
"catch22",24,0.608888888888889,17,"SemgHandMovementCh2"
"Moment 1",1,0.293333333333333,18,"SemgHandMovementCh2"
"Moments 1,2",2,0.424444444444444,18,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.411111111111111,18,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.404444444444444,18,"SemgHandMovementCh2"
"catch22",24,0.624444444444444,18,"SemgHandMovementCh2"
"Moment 1",1,0.311111111111111,19,"SemgHandMovementCh2"
"Moments 1,2",2,0.362222222222222,19,"SemgHandMovementCh2"
"Moments 1,2,3",3,0.431111111111111,19,"SemgHandMovementCh2"
"Moments 1,2,3,4",4,0.428888888888889,19,"SemgHandMovementCh2"
