"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.686335403726708,1,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,1,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,1,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,1,"SharePriceIncrease"
"catch22",24,0.686335403726708,1,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,2,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,2,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,2,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,2,"SharePriceIncrease"
"catch22",24,0.686335403726708,2,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,3,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,3,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,3,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,3,"SharePriceIncrease"
"catch22",24,0.686335403726708,3,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,4,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,4,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,4,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,4,"SharePriceIncrease"
"catch22",24,0.686335403726708,4,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,5,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,5,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,5,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,5,"SharePriceIncrease"
"catch22",24,0.686335403726708,5,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,6,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,6,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,6,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,6,"SharePriceIncrease"
"catch22",24,0.686335403726708,6,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,7,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,7,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,7,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,7,"SharePriceIncrease"
"catch22",24,0.686335403726708,7,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,8,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,8,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,8,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,8,"SharePriceIncrease"
"catch22",24,0.686335403726708,8,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,9,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,9,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,9,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,9,"SharePriceIncrease"
"catch22",24,0.686335403726708,9,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,10,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,10,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,10,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,10,"SharePriceIncrease"
"catch22",24,0.686335403726708,10,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,11,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,11,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,11,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,11,"SharePriceIncrease"
"catch22",24,0.686335403726708,11,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,12,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,12,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,12,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,12,"SharePriceIncrease"
"catch22",24,0.686335403726708,12,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,13,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,13,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,13,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,13,"SharePriceIncrease"
"catch22",24,0.686335403726708,13,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,14,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,14,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,14,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,14,"SharePriceIncrease"
"catch22",24,0.686335403726708,14,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,15,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,15,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,15,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,15,"SharePriceIncrease"
"catch22",24,0.686335403726708,15,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,16,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,16,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,16,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,16,"SharePriceIncrease"
"catch22",24,0.686335403726708,16,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,17,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,17,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,17,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,17,"SharePriceIncrease"
"catch22",24,0.686335403726708,17,"SharePriceIncrease"
"Moment 1",1,0.686335403726708,18,"SharePriceIncrease"
"Moments 1,2",2,0.686335403726708,18,"SharePriceIncrease"
"Moments 1,2,3",3,0.686335403726708,18,"SharePriceIncrease"
"Moments 1,2,3,4",4,0.686335403726708,18,"SharePriceIncrease"
