"feature_set","num_features","accuracy","resample","problem"
"Moment 1",1,0.686666666666667,1,"SmoothSubspace"
"Moments 1,2",2,0.82,1,"SmoothSubspace"
"Moments 1,2,3",3,0.893333333333333,1,"SmoothSubspace"
"Moments 1,2,3,4",4,0.886666666666667,1,"SmoothSubspace"
"catch22",22,0.9,1,"SmoothSubspace"
"Moment 1",1,0.726666666666667,2,"SmoothSubspace"
"Moments 1,2",2,0.8,2,"SmoothSubspace"
"Moments 1,2,3",3,0.873333333333333,2,"SmoothSubspace"
"Moments 1,2,3,4",4,0.88,2,"SmoothSubspace"
"catch22",22,0.86,2,"SmoothSubspace"
"Moment 1",1,0.7,3,"SmoothSubspace"
"Moments 1,2",2,0.78,3,"SmoothSubspace"
"Moments 1,2,3",3,0.866666666666667,3,"SmoothSubspace"
"Moments 1,2,3,4",4,0.833333333333333,3,"SmoothSubspace"
"catch22",22,0.893333333333333,3,"SmoothSubspace"
"Moment 1",1,0.66,4,"SmoothSubspace"
"Moments 1,2",2,0.8,4,"SmoothSubspace"
"Moments 1,2,3",3,0.893333333333333,4,"SmoothSubspace"
"Moments 1,2,3,4",4,0.913333333333333,4,"SmoothSubspace"
"catch22",22,0.86,4,"SmoothSubspace"
"Moment 1",1,0.74,5,"SmoothSubspace"
"Moments 1,2",2,0.833333333333333,5,"SmoothSubspace"
"Moments 1,2,3",3,0.9,5,"SmoothSubspace"
"Moments 1,2,3,4",4,0.886666666666667,5,"SmoothSubspace"
"catch22",22,0.926666666666667,5,"SmoothSubspace"
"Moment 1",1,0.72,6,"SmoothSubspace"
"Moments 1,2",2,0.806666666666667,6,"SmoothSubspace"
"Moments 1,2,3",3,0.92,6,"SmoothSubspace"
"Moments 1,2,3,4",4,0.906666666666667,6,"SmoothSubspace"
"catch22",22,0.853333333333333,6,"SmoothSubspace"
"Moment 1",1,0.733333333333333,7,"SmoothSubspace"
"Moments 1,2",2,0.813333333333333,7,"SmoothSubspace"
"Moments 1,2,3",3,0.893333333333333,7,"SmoothSubspace"
"Moments 1,2,3,4",4,0.886666666666667,7,"SmoothSubspace"
"catch22",22,0.926666666666667,7,"SmoothSubspace"
"Moment 1",1,0.713333333333333,8,"SmoothSubspace"
"Moments 1,2",2,0.76,8,"SmoothSubspace"
"Moments 1,2,3",3,0.866666666666667,8,"SmoothSubspace"
"Moments 1,2,3,4",4,0.88,8,"SmoothSubspace"
"catch22",22,0.853333333333333,8,"SmoothSubspace"
"Moment 1",1,0.686666666666667,9,"SmoothSubspace"
"Moments 1,2",2,0.78,9,"SmoothSubspace"
"Moments 1,2,3",3,0.853333333333333,9,"SmoothSubspace"
"Moments 1,2,3,4",4,0.853333333333333,9,"SmoothSubspace"
"catch22",22,0.866666666666667,9,"SmoothSubspace"
"Moment 1",1,0.653333333333333,10,"SmoothSubspace"
"Moments 1,2",2,0.766666666666667,10,"SmoothSubspace"
"Moments 1,2,3",3,0.846666666666667,10,"SmoothSubspace"
"Moments 1,2,3,4",4,0.86,10,"SmoothSubspace"
"catch22",22,0.82,10,"SmoothSubspace"
"Moment 1",1,0.713333333333333,11,"SmoothSubspace"
"Moments 1,2",2,0.786666666666667,11,"SmoothSubspace"
"Moments 1,2,3",3,0.893333333333333,11,"SmoothSubspace"
"Moments 1,2,3,4",4,0.906666666666667,11,"SmoothSubspace"
"catch22",22,0.846666666666667,11,"SmoothSubspace"
"Moment 1",1,0.7,12,"SmoothSubspace"
"Moments 1,2",2,0.82,12,"SmoothSubspace"
"Moments 1,2,3",3,0.893333333333333,12,"SmoothSubspace"
"Moments 1,2,3,4",4,0.906666666666667,12,"SmoothSubspace"
