"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.833610648918469,1,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,1,"SonyAIBORobotSurface1"
"catch22",24,0.835274542429285,2,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,2,"SonyAIBORobotSurface1"
"catch22",24,0.941763727121464,3,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,3,"SonyAIBORobotSurface1"
"catch22",24,0.866888519134775,4,"SonyAIBORobotSurface1"
"User",2,0.430948419301165,4,"SonyAIBORobotSurface1"
"catch22",24,0.856905158069884,5,"SonyAIBORobotSurface1"
"User",2,0.430948419301165,5,"SonyAIBORobotSurface1"
"catch22",24,0.775374376039933,6,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,6,"SonyAIBORobotSurface1"
"catch22",24,0.895174708818636,7,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,7,"SonyAIBORobotSurface1"
"catch22",24,0.86189683860233,8,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,8,"SonyAIBORobotSurface1"
"catch22",24,0.81198003327787,9,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,9,"SonyAIBORobotSurface1"
"catch22",24,0.843594009983361,10,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,10,"SonyAIBORobotSurface1"
"catch22",24,0.821963394342762,11,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,11,"SonyAIBORobotSurface1"
"catch22",24,0.900166389351082,12,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,12,"SonyAIBORobotSurface1"
"catch22",24,0.931780366056572,13,"SonyAIBORobotSurface1"
"User",2,0.427620632279534,13,"SonyAIBORobotSurface1"
"catch22",24,0.92179700499168,14,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,14,"SonyAIBORobotSurface1"
"catch22",24,0.903494176372712,15,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,15,"SonyAIBORobotSurface1"
"catch22",24,0.896838602329451,16,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,16,"SonyAIBORobotSurface1"
"catch22",24,0.908485856905158,17,"SonyAIBORobotSurface1"
"User",2,0.43261231281198,17,"SonyAIBORobotSurface1"
"catch22",24,0.923460898502496,18,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,18,"SonyAIBORobotSurface1"
"catch22",24,0.788685524126456,19,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,19,"SonyAIBORobotSurface1"
"catch22",24,0.846921797004992,20,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,20,"SonyAIBORobotSurface1"
"catch22",24,0.818635607321131,21,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,21,"SonyAIBORobotSurface1"
"catch22",24,0.818635607321131,22,"SonyAIBORobotSurface1"
"User",2,0.450915141430948,22,"SonyAIBORobotSurface1"
"catch22",24,0.880199667221298,23,"SonyAIBORobotSurface1"
"User",2,0.444259567387687,23,"SonyAIBORobotSurface1"
"catch22",24,0.933444259567388,24,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,24,"SonyAIBORobotSurface1"
"catch22",24,0.905158069883527,25,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,25,"SonyAIBORobotSurface1"
"catch22",24,0.930116472545757,26,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,26,"SonyAIBORobotSurface1"
"catch22",24,0.878535773710483,27,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,27,"SonyAIBORobotSurface1"
"catch22",24,0.941763727121464,28,"SonyAIBORobotSurface1"
"User",2,0.434276206322795,28,"SonyAIBORobotSurface1"
"catch22",24,0.873544093178037,29,"SonyAIBORobotSurface1"
"User",2,0.434276206322795,29,"SonyAIBORobotSurface1"
"catch22",24,0.901830282861897,30,"SonyAIBORobotSurface1"
"User",2,0.429284525790349,30,"SonyAIBORobotSurface1"
