"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.8,1,"ToeSegmentation2"
"User",2,0.492307692307692,1,"ToeSegmentation2"
"catch22",24,0.838461538461538,2,"ToeSegmentation2"
"User",2,0.723076923076923,2,"ToeSegmentation2"
"catch22",24,0.807692307692308,3,"ToeSegmentation2"
"User",2,0.553846153846154,3,"ToeSegmentation2"
"catch22",24,0.861538461538462,4,"ToeSegmentation2"
"User",2,0.446153846153846,4,"ToeSegmentation2"
"catch22",24,0.784615384615385,5,"ToeSegmentation2"
"User",2,0.423076923076923,5,"ToeSegmentation2"
"catch22",24,0.823076923076923,6,"ToeSegmentation2"
"User",2,0.453846153846154,6,"ToeSegmentation2"
"catch22",24,0.853846153846154,7,"ToeSegmentation2"
"User",2,0.592307692307692,7,"ToeSegmentation2"
"catch22",24,0.876923076923077,8,"ToeSegmentation2"
"User",2,0.461538461538462,8,"ToeSegmentation2"
"catch22",24,0.676923076923077,9,"ToeSegmentation2"
"User",2,0.492307692307692,9,"ToeSegmentation2"
"catch22",24,0.823076923076923,10,"ToeSegmentation2"
"User",2,0.453846153846154,10,"ToeSegmentation2"
"catch22",24,0.846153846153846,11,"ToeSegmentation2"
"User",2,0.469230769230769,11,"ToeSegmentation2"
"catch22",24,0.8,12,"ToeSegmentation2"
"User",2,0.492307692307692,12,"ToeSegmentation2"
"catch22",24,0.7,13,"ToeSegmentation2"
"User",2,0.546153846153846,13,"ToeSegmentation2"
"catch22",24,0.761538461538461,14,"ToeSegmentation2"
"User",2,0.823076923076923,14,"ToeSegmentation2"
"catch22",24,0.807692307692308,15,"ToeSegmentation2"
"User",2,0.553846153846154,15,"ToeSegmentation2"
"catch22",24,0.8,16,"ToeSegmentation2"
"User",2,0.469230769230769,16,"ToeSegmentation2"
"catch22",24,0.792307692307692,17,"ToeSegmentation2"
"User",2,0.615384615384615,17,"ToeSegmentation2"
"catch22",24,0.830769230769231,18,"ToeSegmentation2"
"User",2,0.469230769230769,18,"ToeSegmentation2"
"catch22",24,0.838461538461538,19,"ToeSegmentation2"
"User",2,0.746153846153846,19,"ToeSegmentation2"
"catch22",24,0.830769230769231,20,"ToeSegmentation2"
"User",2,0.484615384615385,20,"ToeSegmentation2"
"catch22",24,0.761538461538461,21,"ToeSegmentation2"
"User",2,0.407692307692308,21,"ToeSegmentation2"
"catch22",24,0.669230769230769,22,"ToeSegmentation2"
"User",2,0.692307692307692,22,"ToeSegmentation2"
"catch22",24,0.876923076923077,23,"ToeSegmentation2"
"User",2,0.476923076923077,23,"ToeSegmentation2"
"catch22",24,0.723076923076923,24,"ToeSegmentation2"
"User",2,0.776923076923077,24,"ToeSegmentation2"
"catch22",24,0.807692307692308,25,"ToeSegmentation2"
"User",2,0.815384615384615,25,"ToeSegmentation2"
"catch22",24,0.876923076923077,26,"ToeSegmentation2"
"User",2,0.484615384615385,26,"ToeSegmentation2"
"catch22",24,0.7,27,"ToeSegmentation2"
"User",2,0.5,27,"ToeSegmentation2"
"catch22",24,0.761538461538461,28,"ToeSegmentation2"
"User",2,0.469230769230769,28,"ToeSegmentation2"
"catch22",24,0.815384615384615,29,"ToeSegmentation2"
"User",2,0.684615384615385,29,"ToeSegmentation2"
"catch22",24,0.715384615384615,30,"ToeSegmentation2"
"User",2,0.753846153846154,30,"ToeSegmentation2"
