"feature_set","num_features","accuracy","resample","problem"
"catch22",24,0.694029850746269,1,"Tools"
"User",2,0.395522388059701,1,"Tools"
"catch22",24,0.716417910447761,2,"Tools"
"User",2,0.335820895522388,2,"Tools"
"catch22",24,0.67910447761194,3,"Tools"
"User",2,0.41044776119403,3,"Tools"
"catch22",24,0.738805970149254,4,"Tools"
"User",2,0.365671641791045,4,"Tools"
"catch22",24,0.746268656716418,5,"Tools"
"User",2,0.350746268656716,5,"Tools"
"catch22",24,0.723880597014925,6,"Tools"
"User",2,0.343283582089552,6,"Tools"
"catch22",24,0.664179104477612,7,"Tools"
"User",2,0.350746268656716,7,"Tools"
"catch22",24,0.708955223880597,8,"Tools"
"User",2,0.358208955223881,8,"Tools"
"catch22",24,0.723880597014925,9,"Tools"
"User",2,0.358208955223881,9,"Tools"
"catch22",24,0.686567164179104,10,"Tools"
"User",2,0.373134328358209,10,"Tools"
"catch22",24,0.701492537313433,11,"Tools"
"User",2,0.432835820895522,11,"Tools"
"catch22",24,0.716417910447761,12,"Tools"
"User",2,0.380597014925373,12,"Tools"
"catch22",24,0.73134328358209,13,"Tools"
"User",2,0.432835820895522,13,"Tools"
"catch22",24,0.746268656716418,14,"Tools"
"User",2,0.305970149253731,14,"Tools"
"catch22",24,0.73134328358209,15,"Tools"
"User",2,0.395522388059701,15,"Tools"
"catch22",24,0.708955223880597,16,"Tools"
"User",2,0.388059701492537,16,"Tools"
"catch22",24,0.694029850746269,17,"Tools"
"User",2,0.298507462686567,17,"Tools"
"catch22",24,0.664179104477612,18,"Tools"
"User",2,0.358208955223881,18,"Tools"
"catch22",24,0.694029850746269,19,"Tools"
"User",2,0.402985074626866,19,"Tools"
"catch22",24,0.708955223880597,20,"Tools"
"User",2,0.395522388059701,20,"Tools"
"catch22",24,0.671641791044776,21,"Tools"
"User",2,0.358208955223881,21,"Tools"
"catch22",24,0.776119402985075,22,"Tools"
"User",2,0.388059701492537,22,"Tools"
"catch22",24,0.738805970149254,23,"Tools"
"User",2,0.395522388059701,23,"Tools"
"catch22",24,0.798507462686567,24,"Tools"
"User",2,0.440298507462687,24,"Tools"
"catch22",24,0.813432835820896,25,"Tools"
"User",2,0.380597014925373,25,"Tools"
"catch22",24,0.694029850746269,26,"Tools"
"User",2,0.41044776119403,26,"Tools"
"catch22",24,0.723880597014925,27,"Tools"
"User",2,0.358208955223881,27,"Tools"
"catch22",24,0.67910447761194,28,"Tools"
"User",2,0.350746268656716,28,"Tools"
"catch22",24,0.708955223880597,29,"Tools"
"User",2,0.395522388059701,29,"Tools"
"catch22",24,0.73134328358209,30,"Tools"
"User",2,0.417910447761194,30,"Tools"
